id	p	q	method	tumor
gc19_pc.cds::gencode::TP53::ENSG00000141510.11	1e-16	3.0491481678571425e-13	MutSig	Adenocarcinoma
gc19_pc.cds::gencode::KRAS::ENSG00000133703.7	1e-16	3.0491481678571425e-13	MutSig	Adenocarcinoma
gc19_pc.cds::gencode::PIK3CA::ENSG00000121879.3	1e-16	3.0491481678571425e-13	MutSig	Adenocarcinoma
gc19_pc.cds::gencode::CTNNB1::ENSG00000168036.12	1e-16	3.0491481678571425e-13	MutSig	Adenocarcinoma
gc19_pc.cds::gencode::APC::ENSG00000134982.12	1e-16	3.0491481678571425e-13	MutSig	Adenocarcinoma
gc19_pc.cds::gencode::CDKN2A::ENSG00000147889.12	1e-16	3.0491481678571425e-13	MutSig	Adenocarcinoma
gc19_pc.cds::gencode::PTEN::ENSG00000171862.5	1.110223e-16	3.0491481678571425e-13	MutSig	Adenocarcinoma
gc19_pc.cds::gencode::SMAD4::ENSG00000141646.9	2.220446e-16	5.33600929375e-13	MutSig	Adenocarcinoma
gc19_pc.cds::gencode::RNF43::ENSG00000108375.8	5.551115e-16	1.1857798430555556e-12	MutSig	Adenocarcinoma
gc19_pc.cds::gencode::ARID1A::ENSG00000117713.13	1.6653349999999999e-15	3.2016065374999997e-12	MutSig	Adenocarcinoma
gc19_pc.cds::gencode::PBRM1::ENSG00000163939.14	3.3306690000000003e-15	5.821101047727273e-12	MutSig	Adenocarcinoma
gc19_pc.cds::gencode::AXIN1::ENSG00000103126.10	5.77316e-15	9.249083416666666e-12	MutSig	Adenocarcinoma
gc19_pc.cds::gencode::CBFB::ENSG00000067955.9	6.439294e-15	9.522725165384615e-12	MutSig	Adenocarcinoma
gc19_pc.cds::gencode::RB1::ENSG00000139687.9	1.554312e-14	2.1344034428571426e-11	MutSig	Adenocarcinoma
gc19_pc.cds::gencode::MAP2K4::ENSG00000065559.10	2.209344e-14	2.8316425599999997e-11	MutSig	Adenocarcinoma
gc19_pc.cds::gencode::VHL::ENSG00000134086.7	9.192647e-14	1.1045539910937499e-10	MutSig	Adenocarcinoma
gc19_pc.cds::gencode::ARHGAP35::ENSG00000160007.13	2.144951e-13	2.4256872338235296e-10	MutSig	Adenocarcinoma
gc19_pc.cds::gencode::SPOP::ENSG00000121067.13	2.908784e-13	3.1067429111111114e-10	MutSig	Adenocarcinoma
gc19_pc.cds::gencode::CDH1::ENSG00000039068.14	1.0838e-11	1.0966344736842106e-08	MutSig	Adenocarcinoma
gc19_pc.cds::gencode::BRAF::ENSG00000157764.8	2.950296e-11	2.83597203e-08	MutSig	Adenocarcinoma
gc19_pc.cds::gencode::FBXW7::ENSG00000109670.9	5.506973e-11	5.041502663095238e-08	MutSig	Adenocarcinoma
gc19_pc.cds::gencode::FOXA1::ENSG00000129514.4	7.901556999999999e-11	6.904883332954545e-08	MutSig	Adenocarcinoma
gc19_pc.cds::gencode::RPL22::ENSG00000116251.5	9.575762e-11	8.004088019565217e-08	MutSig	Adenocarcinoma
gc19_pc.cds::gencode::ACVR2A::ENSG00000121989.10	1.307894e-10	1.0476775895833334e-07	MutSig	Adenocarcinoma
gc19_pc.cds::gencode::NRAS::ENSG00000213281.4	1.418334e-10	1.0906988459999998e-07	MutSig	Adenocarcinoma
gc19_pc.cds::gencode::PIK3R1::ENSG00000145675.10	1.848071e-10	1.3665063451923077e-07	MutSig	Adenocarcinoma
gc19_pc.cds::gencode::BAP1::ENSG00000163930.5	9.70691e-10	6.730496041964285e-07	MutSig	Adenocarcinoma
gc19_pc.cds::gencode::SF3B1::ENSG00000115524.11	9.802543e-10	6.730496041964285e-07	MutSig	Adenocarcinoma
gc19_pc.cds::gencode::CDK12::ENSG00000167258.9	1.242017e-09	8.233716146551724e-07	MutSig	Adenocarcinoma
gc19_pc.cds::gencode::MAP3K1::ENSG00000095015.5	1.6228290000000002e-09	1.0399629175e-06	MutSig	Adenocarcinoma
gc19_pc.cds::gencode::SETD2::ENSG00000181555.15	2.539572e-09	1.5749442483870968e-06	MutSig	Adenocarcinoma
gc19_pc.cds::gencode::ATM::ENSG00000149311.13	4.549837e-09	2.73345676015625e-06	MutSig	Adenocarcinoma
gc19_pc.cds::gencode::NFE2L2::ENSG00000116044.11	2.63495e-08	1.5350579924242424e-05	MutSig	Adenocarcinoma
gc19_pc.cds::gencode::AKT1::ENSG00000142208.11	7.869128999999999e-08	4.4495295595588236e-05	MutSig	Adenocarcinoma
gc19_pc.cds::gencode::BRD7::ENSG00000166164.11	1.0061460000000001e-07	5.5266162428571436e-05	MutSig	Adenocarcinoma
gc19_pc.cds::gencode::ALB::ENSG00000163631.12	1.2514610000000002e-07	6.683149368055557e-05	MutSig	Adenocarcinoma
gc19_pc.cds::gencode::SSRP1::ENSG00000149136.3	1.8874120000000002e-07	9.806890729729731e-05	MutSig	Adenocarcinoma
gc19_pc.cds::gencode::GATA3::ENSG00000107485.11	2.179505e-07	0.00011026574638157895	MutSig	Adenocarcinoma
gc19_pc.cds::gencode::B2M::ENSG00000166710.13	4.794932e-07	0.0002363655582051282	MutSig	Adenocarcinoma
gc19_pc.cds::gencode::MAP2K7::ENSG00000076984.13	7.990657e-07	0.0003840509520625	MutSig	Adenocarcinoma
gc19_pc.cds::gencode::ARID2::ENSG00000189079.11	2.5600659999999998e-06	0.0012004211914634145	MutSig	Adenocarcinoma
gc19_pc.cds::gencode::U2AF1::ENSG00000160201.7	2.721954e-06	0.0012459420392857143	MutSig	Adenocarcinoma
gc19_pc.cds::gencode::TGFBR2::ENSG00000163513.13	5.277141e-06	0.002359372923837209	MutSig	Adenocarcinoma
gc19_pc.cds::gencode::BAX::ENSG00000087088.15	5.862551999999999e-06	0.0025615355045454542	MutSig	Adenocarcinoma
gc19_pc.cds::gencode::RELA::ENSG00000173039.14	8.795544999999999e-06	0.0037576522805555556	MutSig	Adenocarcinoma
gc19_pc.cds::gencode::MESP1::ENSG00000166823.5	9.516227e-06	0.003977162262499999	MutSig	Adenocarcinoma
gc19_pc.cds::gencode::KMT2B::ENSG00000272333.1	1.324682e-05	0.005418513074468085	MutSig	Adenocarcinoma
gc19_pc.cds::gencode::RPS2::ENSG00000140988.11	1.5922579999999998e-05	0.00627381587755102	MutSig	Adenocarcinoma
gc19_pc.cds::gencode::KRTAP5-11::ENSG00000204571.4	1.5990479999999997e-05	0.00627381587755102	MutSig	Adenocarcinoma
gc19_pc.cds::gencode::PIGR::ENSG00000162896.5	1.808346e-05	0.006953090370000001	MutSig	Adenocarcinoma
gc19_pc.cds::gencode::CDKN1B::ENSG00000111276.6	2.044033e-05	0.007705202828431373	MutSig	Adenocarcinoma
gc19_pc.cds::gencode::CASP8::ENSG00000064012.17	2.2331610000000002e-05	0.008256253889423077	MutSig	Adenocarcinoma
gc19_pc.cds::gencode::TBL1XR1::ENSG00000177565.11	2.4753189999999998e-05	0.008978869391509433	MutSig	Adenocarcinoma
gc19_pc.cds::gencode::RBM10::ENSG00000182872.11	2.770712e-05	0.009864247814814814	MutSig	Adenocarcinoma
gc19_pc.cds::gencode::SMAD3::ENSG00000166949.11	3.3905440000000005e-05	0.011851492436363638	MutSig	Adenocarcinoma
gc19_pc.cds::gencode::KLF6::ENSG00000067082.10	4.7483100000000006e-05	0.0163011178125	MutSig	Adenocarcinoma
gc19_pc.cds::gencode::PCF11::ENSG00000165494.6	4.955854999999999e-05	0.01671514252192982	MutSig	Adenocarcinoma
gc19_pc.cds::gencode::SPN::ENSG00000197471.7	5.357743e-05	0.017759070547413793	MutSig	Adenocarcinoma
gc19_pc.cds::gencode::IGFN1::ENSG00000163395.12	6.908726e-05	0.02251190802542373	MutSig	Adenocarcinoma
gc19_pc.cds::gencode::PCBP1::ENSG00000169564.5	8.502264e-05	0.0272426709	MutSig	Adenocarcinoma
gc19_pc.cds::gencode::PROKR2::ENSG00000101292.6	8.699526e-05	0.027417768418032784	MutSig	Adenocarcinoma
gc19_pc.cds::gencode::BRCA2::ENSG00000139618.10	8.98755e-05	0.027868653024193547	MutSig	Adenocarcinoma
gc19_pc.cds::gencode::CYHR1::ENSG00000187954.8	9.197667e-05	0.028067483821428568	MutSig	Adenocarcinoma
gc19_pc.cds::gencode::ARMC3::ENSG00000165309.9	9.36985e-05	0.0281461509765625	MutSig	Adenocarcinoma
gc19_pc.cds::gencode::DDX5::ENSG00000108654.7	0.0001020175	0.030173637500000003	MutSig	Adenocarcinoma
gc19_pc.cds::gencode::DNAH12::ENSG00000174844.10	0.0001215	0.03539147727272727	MutSig	Adenocarcinoma
gc19_pc.cds::gencode::HLA-A::ENSG00000206503.7	0.0001247083	0.03578383682835821	MutSig	Adenocarcinoma
gc19_pc.cds::gencode::SERPINB10::ENSG00000242550.1	0.00015060399999999998	0.042578851470588236	MutSig	Adenocarcinoma
gc19_pc.cds::gencode::FAM179A::ENSG00000189350.8	0.000155826	0.043416736956521734	MutSig	Adenocarcinoma
gc19_pc.cds::gencode::IDH1::ENSG00000138413.9	0.0001586218	0.04356434435714286	MutSig	Adenocarcinoma
gc19_pc.cds::gencode::GRK4::ENSG00000125388.15	0.0002121833	0.05745385834507042	MutSig	Adenocarcinoma
