cutoff	positive	true_positive	false_positive	precision	recall	F1
80	124	115	124	0.481171548117155	0.92741935483871	0.633608815426997
81	124	115	122	0.485232067510549	0.92741935483871	0.637119113573407
82	124	115	114	0.502183406113537	0.92741935483871	0.651558073654391
83	124	114	107	0.515837104072398	0.919354838709677	0.660869565217391
84	124	114	104	0.522935779816514	0.919354838709677	0.666666666666667
85	124	114	101	0.530232558139535	0.919354838709677	0.672566371681416
86	124	114	95	0.545454545454545	0.919354838709677	0.684684684684684
87	124	114	93	0.550724637681159	0.919354838709677	0.688821752265861
88	124	114	93	0.550724637681159	0.919354838709677	0.688821752265861
89	124	114	92	0.553398058252427	0.919354838709677	0.690909090909091
90	124	114	89	0.561576354679803	0.919354838709677	0.697247706422018
91	124	114	84	0.575757575757576	0.919354838709677	0.708074534161491
92	124	114	77	0.596858638743455	0.919354838709677	0.723809523809524
93	124	113	74	0.60427807486631	0.911290322580645	0.726688102893891
94	124	111	72	0.60655737704918	0.895161290322581	0.723127035830619
95	124	109	66	0.622857142857143	0.879032258064516	0.729096989966555
96	124	109	61	0.641176470588235	0.879032258064516	0.741496598639456
97	124	109	58	0.652694610778443	0.879032258064516	0.74914089347079
98	124	106	51	0.67515923566879	0.854838709677419	0.754448398576512
99	124	103	43	0.705479452054795	0.830645161290323	0.762962962962963
