binID	Length	Mu	nMut	PvalRaw	QvalRaw	nSample	nMutSample	PvalM	QvalM	nEigenAll	nEigen	fscore	MuAdj	Pval	Qval
enhancers::chr6:127484000-127485600::NA::NA	292	0.0004023149666050247	2	0.0063644144290856885	0.04545133438904323	2	2	0.0063644144290856885	0.04707459633150906	1.0	1.0	21.0709	0.00015074482644072214	0.000937769247761815	0.08550751164944281
enhancers::chr1:5951800-5952800::NA::NA	193	0.0003601881391255948	2	0.0022962728864150375	0.04545133438904323	2	2	0.0022962728864150375	0.04707459633150906	2.0	2.0	7.903445	0.0003598092177460243	0.0022915539818318953	0.08550751164944281
enhancers::chr3:63976000-63976800::NA::NA	259	0.00021440316727465653	2	0.0014805864151264151	0.04545133438904323	2	2	0.0014805864151264151	0.04707459633150906	2.0	2.0	6.05366	0.00027962273818594747	0.002490510048042024	0.08550751164944281
enhancers::chr5:75637600-75638600::NA::NA	227	0.0003573683919171343	2	0.0031054983014681477	0.04545133438904323	2	2	0.0031054983014681477	0.04707459633150906	2.0	2.0	6.586688850000001	0.0004283594010609626	0.004414930812907382	0.08778893578150238
enhancers::chr4:47534600-47536200::NA::NA	312	0.00034627675317909555	2	0.005417358324177188	0.04545133438904323	2	2	0.005417358324177188	0.04707459633150906	2.0	2.0	7.63776	0.000357945281792731	0.005774790035941849	0.08778893578150238
enhancers::chr16:9691800-9692800::NA::NA	362	0.0006023294946419587	2	0.02054147707955512	0.05836539155015218	2	2	0.02054147707955512	0.05994283456502116	2.0	2.0	13.327449999999999	0.00035681769312188866	0.007639808684428422	0.08778893578150238
enhancers::chr22:22042400-22046400::NA::NA	293	0.0005020646888569192	2	0.009787925666509779	0.04545133438904323	2	2	0.009787925666509779	0.04707459633150906	2.0	2.0	8.1125	0.0004886121710899566	0.009294369857643365	0.08778893578150238
enhancers::chr18:25654400-25657400::NA::NA	259	0.0003193456679117058	2	0.0032264730419416373	0.04545133438904323	2	2	0.0032264730419416373	0.04707459633150906	2.0	2.0	4.54797	0.0005543738685111334	0.00934291732778518	0.08778893578150238
enhancers::chr5:148316800-148319600::NA::NA	465	0.0003474538190251838	2	0.01170756645267608	0.04545133438904323	2	2	0.01170756645267608	0.04707459633150906	2.0	2.0	8.278475	0.00033136456218412315	0.010700729118065307	0.08778893578150238
enhancers::chr13:72286600-72287800::NA::NA	320	0.00029812424562556886	2	0.004259539817214439	0.04545133438904323	2	2	0.004259539817214439	0.04707459633150906	1.0	1.0	4.85036	0.0004852690984644275	0.010851212497522168	0.08778893578150238
enhancers::chr9:90468800-90470200::NA::NA	260	0.0003670365048627105	2	0.004259409646327483	0.04545133438904323	2	2	0.004259409646327483	0.04707459633150906	2.0	2.0	4.85036	0.0005974404176504392	0.010851333094184559	0.08778893578150238
enhancers::chr8:15308000-15309200::NA::NA	745	0.0006975369151626219	4	0.002000513356995549	0.04545133438904323	4	4	0.002000513356995549	0.04707459633150906	4.0	4.0	4.85036	0.0011354095312051742	0.010898799818008962	0.08778893578150238
enhancers::chr7:93758400-93760400::NA::NA	884	0.00038411214512531935	2	0.0460894708178314	0.07706258873788001	2	2	0.0460894708178314	0.07963134169580934	1.0	1.0	17.0506	0.00017785975346318227	0.01112794882906033	0.08778893578150238
enhancers::chr1:201288600-201290000::NA::NA	335	0.0003201958515570843	2	0.005343867239644419	0.04545133438904323	2	2	0.005343867239644419	0.04707459633150906	2.0	2.0	5.120425	0.0004937066813012218	0.012229794648233651	0.08778893578150238
enhancers::chr3:129150800-129151800::NA::NA	437	0.00038193247761842905	2	0.012449077179060618	0.04545133438904323	2	2	0.012449077179060618	0.04707459633150906	2.0	2.0	7.784750000000001	0.0003873479242089761	0.012784796473034326	0.08778893578150238
enhancers::chr18:1002400-1003200::NA::NA	499	0.0004395903423289463	2	0.02078317981047107	0.05836539155015218	2	2	0.02078317981047107	0.05994283456502116	2.0	2.0	9.57075	0.0003626281241518904	0.014502072141805128	0.09335708941287052
