binID	Length	Mu	nMut	PvalRaw	QvalRaw	nSample	nMutSample	PvalM	QvalM	nEigenAll	nEigen	fscore	MuAdj	Pval	Qval
lncrna.ncrna::gencode::RN7SK::ENSG00000202198.1	331	1.1663707426657096e-05	4	2.4111670181066473e-06	0.0007329947735044208	3	3	0.00010914604952233067	0.03318039905478853	2.0	2.0	25.4756	5.50184747192599e-06	1.1864443481357455e-05	0.0036067908183326667
lncrna.ncrna::gencode::AC093110.3::ENSG00000238018.1	237	1.3023197028215387e-05	2	0.002403215651913913	0.2435258527272765	2	2	0.002403215651913913	0.3652887790909148	2.0	2.0	14.86355	1.0529103940420729e-05	0.001585090452218939	0.24093374873727877
lncrna.ncrna::mitranscriptome::G029129::G029129	1773	1.7228765247442645e-05	6	9.18031011268546e-05	0.0139540713712819	3	4	0.005826208958338639	0.5196305814451183	5.0	5.0	8.199614	2.5249750757613742e-05	0.020859261331365935	1.0
lncrna.ncrna::mitranscriptome::G067348::G067348	1042	2.141916239819969e-05	2	0.09427202793602708	0.9999999900263029	2	2	0.09427202793602708	0.9999999999021556	1.0	1.0	26.09	9.865628435893633e-06	0.023912388069511164	1.0
lncrna.ncrna::mitranscriptome::G025369::G025369	416	1.2725957216921025e-05	2	0.006837244492698924	0.49089619082528135	2	2	0.006837244492698924	0.5196305814451183	2.0	2.0	4.85036	3.15291915823563e-05	0.037306020064736024	1.0
lncrna.ncrna::gencode::RP11-212I21.2::ENSG00000260135.2	911	1.8067696281847386e-05	2	0.05589925619880738	0.8848582768190539	2	2	0.05589925619880738	0.9999999999021556	2.0	2.0	14.384995	1.5093481142018492e-05	0.04061504066176201	1.0
lncrna.ncrna::mitranscriptome::G076757::G076757	1586	2.1740202948462965e-05	2	0.18870708603745948	0.9999999900263029	2	2	0.18870708603745948	0.9999999999021556	2.0	2.0	24.43995	1.0689555124020428e-05	0.058872549225696263	1.0
lncrna.ncrna::gencode::LINC00634::ENSG00000205704.5	1512	2.285229511502326e-05	2	0.18930724099484003	0.9999999900263029	2	2	0.18930724099484003	0.9999999999021556	2.0	2.0	22.51345	1.2197873414141123e-05	0.06815304551451841	1.0
lncrna.ncrna::gencode::AC005682.6::ENSG00000226329.2	1467	1.635735611596584e-05	3	0.018630501213277827	0.5237202372309537	2	2	0.10633431665081489	0.9999999999021556	3.0	3.0	15.119666666666667	1.3000715137309714e-05	0.07220630964989819	1.0
lncrna.ncrna::mitranscriptome::G022205::G022205	742	1.1120426739574764e-05	2	0.015883561543945556	0.5237202372309537	2	2	0.015883561543945556	0.6035753386699312	2.0	2.0	4.85036	2.7551410017582994e-05	0.08130103421233828	1.0
lncrna.ncrna::mitranscriptome::G074898::G074898	1901	1.9083056798062195e-05	2	0.20361098251194112	0.9999999900263029	2	2	0.20361098251194112	0.9999999999021556	2.0	2.0	18.2334	1.2576987627473088e-05	0.10569631666557192	1.0
