binID	Length	Mu	nMut	PvalRaw	QvalRaw	nSample	nMutSample	PvalM	QvalM	nCaddAll	nCadd	fscore	MuAdj	Pval	Qval
enhancers::chr14:57385600-57386400::NA::NA	429	4.642998014977977e-06	3	0.002936269146056312	0.09629189601590547	3	3	0.002936269146056312	0.10561046659808987	3.0	3.0	15.553333333333333	2.6672859363798685e-06	0.0006078907910397539	0.13833239069805123
enhancers::chr8:101282200-101283000::NA::NA	432	3.8090515331908034e-06	4	9.766466633467603e-05	0.03603826187749545	4	4	9.766466633467603e-05	0.03603826187749545	4.0	4.0	5.1945	6.551905948418487e-06	0.0007497690552739904	0.13833239069805123
enhancers::chr10:94966400-94967000::NA::NA	278	3.95436261167236e-06	3	0.0005415416329221276	0.04975824973396154	3	3	0.0005415416329221276	0.06219781216745193	3.0	3.0	6.118666666666667	5.774498246125387e-06	0.0015999070245166162	0.18058121193190418
enhancers::chr4:106836200-106838800::NA::NA	415	4.277013933192117e-06	3	0.0021249594065388213	0.09629189601590547	3	3	0.0021249594065388213	0.10561046659808987	3.0	3.0	9.199	4.1542688871694274e-06	0.001957519912540967	0.18058121193190418
enhancers::chr7:75692000-75693400::NA::NA	241	3.893493040340974e-06	3	0.00034246803837979805	0.04975824973396154	3	3	0.00034246803837979805	0.06219781216745193	3.0	3.0	3.939	8.831774642154508e-06	0.003532424409968637	0.19086283495638684
enhancers::chr16:55945800-55949800::NA::NA	1076	4.639990831363619e-06	4	0.005724065849829342	0.09629189601590547	4	4	0.005724065849829342	0.10561046659808987	4.0	4.0	9.694500000000001	4.27647821736386e-06	0.0043107734225254855	0.19086283495638684
enhancers::chr2:153411400-153416400::NA::NA	291	3.404576802027099e-06	2	0.008774140660519462	0.09629189601590547	2	2	0.008774140660519462	0.10561046659808987	2.0	2.0	12.862499999999999	2.3650063149552677e-06	0.0043539508300480595	0.19086283495638684
enhancers::chr6:4751800-4752600::NA::NA	224	3.729114623174393e-06	2	0.0063274482412882735	0.09629189601590547	2	2	0.0063274482412882735	0.10561046659808987	2.0	2.0	10.216000000000001	3.261515187750901e-06	0.004887224262522786	0.19086283495638684
enhancers::chr5:32779200-32781200::NA::NA	825	4.297204749948684e-06	3	0.01411050708723073	0.10161540336333234	3	3	0.01411050708723073	0.10910893362066106	3.0	3.0	12.783333333333333	3.0035612339602213e-06	0.005376483172371722	0.19086283495638684
enhancers::chr1:186704600-186706200::NA::NA	451	4.645374928057196e-06	3	0.003380520563002758	0.09629189601590547	3	3	0.003380520563002758	0.10561046659808987	3.0	3.0	7.457999999999999	5.5653559911760594e-06	0.0055692118942428	0.19086283495638684
