binID	Length	Mu	nMut	PvalRaw	QvalRaw	nSample	nMutSample	PvalM	QvalM	nEigenAll	nEigen	fscore	MuAdj	Pval	Qval
enhancers::chr7:84158800-84159600::NA::NA	703	4.932058515464497e-06	3	0.006460129084295766	0.08818640461913231	3	3	0.006460129084295766	0.09574523930077222	3.0	3.0	18.277766666666665	4.007408065466908e-06	0.0036476215870287266	0.4040563058643071
enhancers::chr6:12000600-12002200::NA::NA	382	4.4085683217217045e-06	2	0.014410333236898104	0.09175689786920696	2	2	0.014410333236898104	0.09808495979122124	2.0	2.0	23.685499999999998	2.764225663797665e-06	0.005921673714491052	0.4040563058643071
enhancers::chr5:149417800-149418800::NA::NA	124	3.6763052871031746e-06	2	0.0011515419078105616	0.08818640461913231	2	2	0.0011515419078105616	0.09574523930077222	2.0	2.0	5.86894	9.302729124470776e-06	0.007018150859405745	0.4040563058643071
enhancers::chr3:189626200-189627200::NA::NA	279	5.567506266360816e-06	2	0.01237285242558174	0.09175689786920696	2	2	0.01237285242558174	0.09792458134166568	2.0	2.0	16.22055	5.09745751376e-06	0.01046799988703501	0.4040563058643071
enhancers::chr5:87194400-87195800::NA::NA	609	6.441142442803615e-06	3	0.009025714954990464	0.08818640461913231	3	3	0.009025714954990464	0.09574523930077222	3.0	3.0	13.133873333333332	7.283305990459926e-06	0.01253484493151252	0.4040563058643071
enhancers::chr1:221262600-221263800::NA::NA	366	6.951705298204441e-06	3	0.0027455422463134515	0.08818640461913231	3	3	0.0027455422463134515	0.09574523930077222	3.0	3.0	8.054463333333333	1.2817792014568834e-05	0.014536773678816351	0.4040563058643071
enhancers::chr5:167070200-167071600::NA::NA	819	5.763452803428818e-06	3	0.01477455690511355	0.09175689786920696	3	3	0.01477455690511355	0.09808495979122124	2.0	2.0	14.7469	5.804174783292602e-06	0.01505067783608021	0.4040563058643071
enhancers::chr6:128951400-128952200::NA::NA	306	5.871400118238694e-06	2	0.016272105274381048	0.09175689786920696	2	2	0.016272105274381048	0.09808495979122124	2.0	2.0	13.4524	6.4818709627259115e-06	0.019573710572089762	0.4040563058643071
enhancers::chr5:310200-313800::NA::NA	335	4.361472786500712e-06	2	0.011018348314428422	0.09175689786920696	2	2	0.011018348314428422	0.09792458134166568	1.0	1.0	10.8414	5.974564787964357e-06	0.019906008248144924	0.4040563058643071
enhancers::chr5:95451400-95452200::NA::NA	199	4.637176426734456e-06	2	0.004565236837210472	0.08818640461913231	2	2	0.004565236837210472	0.09574523930077222	2.0	2.0	6.8420000000000005	1.0065353353579938e-05	0.019933967705351302	0.4040563058643071
enhancers::chr12:76183600-76184400::NA::NA	393	4.403597110238871e-06	3	0.0009215951170415387	0.08818640461913231	3	3	0.0009215951170415387	0.09574523930077222	2.0	2.0	4.85036	1.348317218224687e-05	0.01997825729820019	0.4040563058643071
enhancers::chr18:32102200-32104000::NA::NA	366	6.165196384575054e-06	2	0.024853756003229508	0.09880908569498904	2	2	0.024853756003229508	0.10469057889111935	2.0	2.0	16.023699999999998	5.714030916765832e-06	0.0215972294891238	0.4040563058643071
