binID	Length	Mu	nMut	PvalRaw	QvalRaw	nSample	nMutSample	PvalM	QvalM	nEigenAll	nEigen	fscore	MuAdj	Pval	Qval
gc19_pc.promCore::gencode::TERT::ENSG00000164362.14	252	2.2810230245939606e-06	5	6.692295208333471e-11	1.7399967541667023e-09	5	5	6.692295208333471e-11	1.7399967541667023e-09	5.0	5.0	14.969799999999998	2.9388410648800427e-06	2.362056765352943e-10	6.141347589917651e-09
gc19_pc.promCore::gencode::RRP7A::ENSG00000189306.6	321	1.0261501544465482e-06	2	9.481251209400374e-05	0.0009520835186435749	2	2	9.481251209400374e-05	0.0009520835186435749	2.0	2.0	20.84375	9.495055071086119e-07	8.123395556982056e-05	0.0010560414224076672
gc19_pc.promCore::gencode::H3F3B::ENSG00000132475.4	1162	7.913303832611079e-07	2	0.0007268159356677055	0.002099690480817816	2	2	0.0007268159356677055	0.002099690480817816	1.0	1.0	36.8289	4.144112359836612e-07	0.00020178294128035375	0.001748785491096399
gc19_pc.promCore::gencode::PON3::ENSG00000105852.6	322	1.1926476373371671e-06	2	0.00012867862665134392	0.0009520835186435749	2	2	0.00012867862665134392	0.0009520835186435749	2.0	2.0	11.2447	2.0456282263251315e-06	0.0003756662588258987	0.0024418306823683414
gc19_pc.promCore::gencode::PREP::ENSG00000085377.9	478	1.2406472489286447e-06	2	0.0003050676818452097	0.0011331085325679217	2	2	0.0003050676818452097	0.0011331085325679217	2.0	2.0	9.925075	2.4108875172592526e-06	0.0011341560744978626	0.0058976115873888854
gc19_pc.promCore::gencode::KRT6C::ENSG00000170465.9	248	1.6703436420516722e-06	2	0.00014959228640237224	0.0009520835186435749	2	2	0.00014959228640237224	0.0009520835186435749	2.0	2.0	4.85036	6.6419298340507495e-06	0.0022853365620201373	0.007554417167243309
gc19_pc.promCore::gencode::ZNF595::ENSG00000197701.7	403	1.4503598228987287e-06	2	0.00029641832516567873	0.0011331085325679217	2	2	0.00029641832516567873	0.0011331085325679217	2.0	2.0	6.803102999999999	4.111792055517239e-06	0.0023122036979937423	0.007554417167243309
gc19_pc.promCore::gencode::ATG9A::ENSG00000198925.6	1283	1.2601684284343882e-06	2	0.002203773222565231	0.004039218683080882	2	2	0.002203773222565231	0.004039218683080882	2.0	2.0	18.76795	1.2950131720497552e-06	0.00232443605145948	0.007554417167243309
gc19_pc.promCore::gencode::PON1::ENSG00000005421.4	720	1.9060347386000742e-06	2	0.0015985788183349777	0.003463587439725785	2	2	0.0015985788183349777	0.003463587439725785	2.0	2.0	11.2447	3.2692291835180814e-06	0.0045762198517029515	0.013220190682697416
gc19_pc.promCore::gencode::IL1R1::ENSG00000115594.7	2733	2.3677451164663437e-06	4	0.00018309298435453364	0.0009520835186435749	4	4	0.00018309298435453364	0.0009520835186435749	4.0	4.0	7.48823675	6.098426747361416e-06	0.005753656294775187	0.014959506366415486
gc19_pc.promCore::gencode::H3F3C::ENSG00000188375.3	275	2.6667892342694206e-06	2	0.0004646958835306614	0.0015102616214746495	2	2	0.0004646958835306614	0.0015102616214746495	2.0	2.0	4.85036	1.0604181397345946e-05	0.0069147654156642285	0.016343990982479087
gc19_pc.promCore::gencode::VEGFA::ENSG00000112715.16	1440	8.948260133292608e-07	2	0.0014126365572049446	0.003338959135211687	2	2	0.0014126365572049446	0.003338959135211687	2.0	2.0	7.3330649999999995	2.353507003753563e-06	0.009218345055582049	0.019973080953761106
gc19_pc.promCore::gencode::CTD-2203A3.1::ENSG00000248789.1	394	2.6878103730676366e-06	2	0.0009602400552367483	0.0024966241436155455	2	2	0.0009602400552367483	0.0024966241436155455	1.0	1.0	4.92778	1.0519854759002673e-05	0.013502879804851558	0.027005759609703115
gc19_pc.promCore::gencode::MYT1L::ENSG00000186487.13	1155	2.6200681336816837e-06	2	0.007424156762552652	0.010723781990353832	2	2	0.007424156762552652	0.010723781990353832	2.0	2.0	13.0523055	3.871575951658905e-06	0.015575920371894232	0.02892670926208929
gc19_pc.promCore::gencode::PRKCZ::ENSG00000067606.11	4509	1.3145020104521663e-06	2	0.026292437165640104	0.02734413465226571	2	2	0.026292437165640104	0.02734413465226571	2.0	2.0	23.0732	1.0987929210248204e-06	0.01886856103826465	0.03270550579965873
gc19_pc.promCore::gencode::UTRN::ENSG00000152818.14	2720	2.22885652287706e-06	2	0.027405485270625314	0.027405485270625314	2	2	0.027405485270625314	0.027405485270625314	1.0	1.0	21.1915	2.0285365769802783e-06	0.023042426349251008	0.03744394281753288
gc19_pc.promCore::gencode::FCHO1::ENSG00000130475.10	2247	1.9120262856939974e-06	2	0.014448091105747593	0.018672075715533046	2	2	0.014448091105747593	0.018672075715533046	2.0	2.0	11.29998	3.2634623928141076e-06	0.03872733951243955	0.059230048666084015
gc19_pc.promCore::gencode::ALDH3B1::ENSG00000006534.11	788	2.8720012426587213e-06	2	0.004240996513593317	0.006891619334589139	2	2	0.004240996513593317	0.006891619334589139	2.0	2.0	4.85036	1.1420183402270034e-05	0.05574170876172999	0.0805158015447211
gc19_pc.promCore::gencode::NRCAM::ENSG00000091129.15	2714	2.0081985880437785e-06	2	0.022524800552570206	0.025462818015948928	2	2	0.022524800552570206	0.025462818015948928	2.0	2.0	10.527930000000001	3.678968738179447e-06	0.06681621340426604	0.08911589336961372
gc19_pc.promCore::gencode::CPNE8::ENSG00000139117.9	1423	1.790946178403505e-06	2	0.005335627201169951	0.008160371013554043	2	2	0.005335627201169951	0.008160371013554043	1.0	1.0	4.85036	7.1214919816777635e-06	0.06855068720739517	0.08911589336961372
gc19_pc.promCore::gencode::FAM135B::ENSG00000147724.7	1188	2.6251203583315804e-06	2	0.007864613267664368	0.010762102366277556	2	2	0.007864613267664368	0.010762102366277556	2.0	2.0	4.85036	1.0438489893349226e-05	0.09658743760926163	0.11677213101727614
gc19_pc.promCore::gencode::GAPDHS::ENSG00000105679.4	537	2.732630394155287e-06	2	0.001822900550822549	0.003645801101645098	2	2	0.001822900550822549	0.003645801101645098	2.0	2.0	2.251327	2.341017948482544e-05	0.09880718778384905	0.11677213101727614
gc19_pc.promCore::gencode::UGT2B4::ENSG00000156096.8	625	2.6618685738605314e-06	2	0.002330318471008201	0.004039218683080882	2	2	0.002330318471008201	0.004039218683080882	2.0	2.0	2.38549	2.152144548800904e-05	0.11049493984665758	0.12490732330491727
gc19_pc.promCore::gencode::NUP214::ENSG00000126883.12	1821	2.472621056453343e-06	2	0.01577905745895019	0.018672075715533046	2	2	0.01577905745895019	0.018672075715533046	2.0	2.0	4.85036	9.832093917505087e-06	0.17405915987286483	0.1812125332232633
gc19_pc.promCore::gencode::PIWIL1::ENSG00000125207.3	1728	2.6074914010306165e-06	2	0.015799448682374116	0.018672075715533046	2	2	0.015799448682374116	0.018672075715533046	2.0	2.0	4.85036	1.0368390367423736e-05	0.17424282040698394	0.1812125332232633
gc19_pc.promCore::gencode::FGF13::ENSG00000129682.9	2525	2.316492165191912e-06	2	0.025660141449632776	0.02734413465226571	2	2	0.025660141449632776	0.02734413465226571			0.0	inf	1.0	1.0
