binID	Length	Mu	nMut	PvalRaw	QvalRaw	nSample	nMutSample	PvalM	QvalM	nCaddAll	nCadd	fscore	MuAdj	Pval	Qval
gc19_pc.cds::gencode::TP53::ENSG00000141510.11	1378	4.748136820710229e-06	7	4.402936202703101e-09	8.057373250946674e-07	7	7	4.402936202703101e-09	8.057373250946674e-07	7.0	7.0	30.142857142857142	5.00759661949122e-06	6.322390421245449e-09	1.1569974470879172e-06
gc19_pc.cds::gencode::RB1::ENSG00000139687.9	2787	7.5808708081076915e-06	4	0.006289903236752358	0.09834515040245842	4	4	0.006289903236752358	0.19669030080491684	4.0	4.0	33.825	7.124785897701213e-06	0.005075743424329727	0.4644305233261701
gc19_pc.cds::gencode::CCT2::ENSG00000166226.8	1735	5.926007468170789e-06	3	0.0054904049733238355	0.09834515040245842	3	3	0.0054904049733238355	0.19669030080491684	3.0	3.0	23.793333333333333	7.91767066740611e-06	0.012013000254298953	0.5534349122210204
gc19_pc.cds::gencode::FZD2::ENSG00000180340.5	1696	4.290449195441514e-06	6	2.577022961352076e-07	2.3579760096371493e-05	2	3	0.0020988105273990992	0.1920411632570176	6.0	6.0	16.795166666666667	8.12098996277217e-06	0.01209693797204416	0.5534349122210204
gc19_pc.cds::gencode::MYRFL::ENSG00000166268.6	2733	8.609689153907264e-06	5	0.0014114310060331756	0.04304864568401185	4	4	0.009080627165381541	0.23241804355649381	5.0	5.0	26.8	1.021276187323552e-05	0.016018117834533156	0.5862631127439135
gc19_pc.cds::gencode::METTL1::ENSG00000037897.12	850	6.634645222225994e-06	4	4.832448773850423e-05	0.0022108453140365684	2	2	0.01619280894409842	0.32925378186333454	4.0	4.0	21.6225	9.754439663062291e-06	0.03299982691638774	0.7725165041601115
gc19_pc.cds::gencode::ARL13B::ENSG00000169379.11	1409	7.472794877581626e-06	2	0.050656089446402416	0.2543219329467746	2	2	0.050656089446402416	0.3517774621434133	2.0	2.0	34.5	6.8858014248788385e-06	0.043800334893689244	0.7725165041601115
gc19_pc.cds::gencode::PHLDB1::ENSG00000019144.12	4344	3.959708994028818e-06	3	0.02164326585035961	0.23298339121269462	3	3	0.02164326585035961	0.3517774621434133	3.0	3.0	22.243333333333336	5.65918547520648e-06	0.05271274527293291	0.7725165041601115
gc19_pc.cds::gencode::MDM2::ENSG00000135679.17	1593	5.195296531575432e-06	2	0.03289059171618288	0.2543219329467746	2	2	0.03289059171618288	0.3517774621434133	2.0	2.0	23.3	7.088346641149485e-06	0.05729235726293103	0.7725165041601115
gc19_pc.cds::gencode::DGCR2::ENSG00000070413.14	1847	4.655274226717987e-06	2	0.03524927880471836	0.2543219329467746	2	2	0.03524927880471836	0.3517774621434133	2.0	2.0	23.62	6.2655024414633705e-06	0.05980679660131381	0.7725165041601115
gc19_pc.cds::gencode::TAF6L::ENSG00000162227.3	1869	4.825057914660396e-06	2	0.038416952814540425	0.2543219329467746	2	2	0.038416952814540425	0.3517774621434133	2.0	2.0	24.25	6.3253027260640825e-06	0.062074417927018066	0.7725165041601115
gc19_pc.cds::gencode::ABCC10::ENSG00000124574.10	4670	5.4256203874702495e-06	3	0.05666453079542009	0.2592402283890469	3	3	0.05666453079542009	0.3575727288124785	3.0	3.0	30.46666666666667	5.661284642812229e-06	0.06267521544845443	0.7725165041601115
gc19_pc.cds::gencode::BCAN::ENSG00000132692.14	2810	9.35644992407985e-06	3	0.06185789697932514	0.26952369398134524	3	3	0.06185789697932514	0.36990470121039865	3.0	3.0	30.513333333333332	9.74792035459357e-06	0.06811046203166689	0.7725165041601115
gc19_pc.cds::gencode::KLK11::ENSG00000167757.9	924	1.1018733237190596e-05	2	0.04772759171849706	0.2543219329467746	2	2	0.04772759171849706	0.3517774621434133	2.0	2.0	25.4	1.3790768882294847e-05	0.07068215895386332	0.7725165041601115
gc19_pc.cds::gencode::ATP9A::ENSG00000054793.9	3132	5.031957425586421e-06	2	0.10126153572540075	0.3029183155111431	2	2	0.10126153572540075	0.3766691225696016	2.0	2.0	38.5	4.154959131412788e-06	0.07328351025500278	0.7725165041601115
gc19_pc.cds::gencode::ANXA10::ENSG00000109511.6	975	9.946596936968623e-06	2	0.0437665316992788	0.2543219329467746	2	2	0.0437665316992788	0.3517774621434133	2.0	2.0	23.25	1.3600099639837961e-05	0.07568020333197616	0.7725165041601115
