binID	Length	Mu	nMut	PvalRaw	QvalRaw	nSample	nMutSample	PvalM	QvalM	nEigenAll	nEigen	fscore	MuAdj	Pval	Qval
gc19_pc.cds::gencode::TP53::ENSG00000141510.11	1378	4.00082614968234e-06	7	1.3689651682223161e-09	2.5052062578468384e-07	7	7	1.3689651682223161e-09	2.5052062578468384e-07	5.0	5.0	5.3793252	7.3971076754967855e-06	8.80132415323495e-08	1.6106423200419957e-05
gc19_pc.cds::gencode::RB1::ENSG00000139687.9	2787	6.450945911087799e-06	4	0.0035858088126807593	0.08202537659007236	4	4	0.0035858088126807593	0.16405075318014473	1.0	1.0	11.65589	5.504501830175805e-06	0.002039417371037515	0.1866066894499326
gc19_pc.cds::gencode::FZD2::ENSG00000180340.5	1696	2.7033511195103065e-06	6	1.7436378772165895e-08	1.5954286576531794e-06	2	3	0.0005619202020895926	0.051415698491197724	6.0	4.0	4.2429041	6.336935712357201e-06	0.006198275716092588	0.37809481868164785
gc19_pc.cds::gencode::METTL21B::ENSG00000123427.11	871	2.5072363555859987e-06	4	1.1931878377640941e-06	7.278445810360973e-05	2	2	0.0026236796739197523	0.1600444601091049	4.0	3.0	2.7198648500000004	9.168283040412462e-06	0.030819118990340847	1.0
gc19_pc.cds::gencode::ATP9A::ENSG00000054793.9	3132	4.867112513974933e-06	2	0.09579989076471887	0.28089132828695845	2	2	0.09579989076471887	0.34388336444755685	1.0	1.0	18.56637	2.6072606202296885e-06	0.03209912334081871	1.0
gc19_pc.cds::gencode::ABCC10::ENSG00000124574.10	4670	4.898700541866943e-06	3	0.04428569754538853	0.252902591962382	3	3	0.04428569754538853	0.34044579687243737	3.0	3.0	10.176135333333333	4.787822903124662e-06	0.041873061578398874	1.0
gc19_pc.cds::gencode::NRP2::ENSG00000118257.12	3146	4.709029983319718e-06	2	0.09132679505076303	0.28089132828695845	2	2	0.09132679505076303	0.34388336444755685	1.0	1.0	11.90011	3.9356868888677185e-06	0.06726294346151862	1.0
gc19_pc.cds::gencode::SMARCC2::ENSG00000139613.7	3716	4.207313424384797e-06	3	0.0168945467296097	0.19323137821991093	2	2	0.09992383454014157	0.34388336444755685	3.0	2.0	11.055356666666668	3.785054767983546e-06	0.08367180107258827	1.0
gc19_pc.cds::gencode::MARCH9::ENSG00000139266.5	1176	7.0216151969743525e-06	2	0.032755622684001	0.2520655471530124	2	2	0.032755622684001	0.34044579687243737	2.0	2.0	5.6826439	1.2289285774810788e-05	0.08759872571605525	1.0
gc19_pc.cds::gencode::SRGAP1::ENSG00000196935.4	3292	4.9527647453783245e-06	3	0.01884586247539862	0.20287016664693808	2	2	0.10711121187710787	0.34388336444755685	3.0	3.0	9.954427666666668	4.948475958438044e-06	0.10695837675725639	1.0
