chr	start	end	element_ID	p-value
chr6	16762809	16805537	lncrna.ncrna::mitranscriptome::G069659::G069659	0.004819951800482
chr14	32671269	32671659	lncrna.ncrna::mitranscriptome::G024151::G024151	0.00636942675159236
chr14	55116953	55120133	lncrna.ncrna::mitranscriptome::G024705::G024705	0.00833333333333333
chr4	85399156	85404146	lncrna.ncrna::mitranscriptome::G061920::G061920	0.00917431192660551
chr11	13022636	13030706	lncrna.ncrna::gencode::CTC-497E21.3::ENSG00000254670.1	0.0127388535031847
chr21	34129007	34131805	lncrna.ncrna::mitranscriptome::G052054::G052054	0.0201342281879195
chr2	213311003	213313901	lncrna.ncrna::mitranscriptome::G047908::G047908	0.0254237288135593
chr8	94271894	94310204	lncrna.ncrna::gencode::RP11-388K12.2::ENSG00000254089.1	0.0303030303030303
chr2	174251367	174256779	lncrna.ncrna::mitranscriptome::G046904::G046904	0.032051282051282
chr17	73872593	73875627	lncrna.ncrna::gencode::RP11-552F3.9::ENSG00000267801.1	0.0333333333333333
chr4	184716248	184719369	lncrna.ncrna::mitranscriptome::G064037::G064037	0.034889651103489
chrX	110547991	110553086	lncrna.ncrna::mitranscriptome::G089632::G089632	0.036144578313253
chr2	21116520	21119116	lncrna.ncrna::mitranscriptome::G042655::G042655	0.040983606557377
chr10	103043557	103048073	lncrna.ncrna::mitranscriptome::G011055::G011055	0.0416666666666667
chr6	16761368	16762883	lncrna.ncrna::gencode::RP1-151F17.1::ENSG00000229931.1	0.042549574504255
chr5	124634883	124668576	lncrna.ncrna::mitranscriptome::G067381::G067381	0.0454545454545455
chr7	131530167	131534098	lncrna.ncrna::mitranscriptome::G078182::G078182	0.0571428571428571
chr1	218337078	218373054	lncrna.ncrna::mitranscriptome::G006858::G006858	0.0650406504065041
chr8	19697727	19799200	lncrna.ncrna::mitranscriptome::G079738::G079738	0.0662251655629139
chr20	33575314	33584865	lncrna.ncrna::mitranscriptome::G050163::G050163	0.0666666666666667
chr3	183524244	183528242	lncrna.ncrna::gencode::YEATS2-AS1::ENSG00000233885.3	0.0689655172413793
chr3	168873399	169000578	lncrna.ncrna::mitranscriptome::G058571::G058571	0.0714285714285714
chr13	51568646	51654998	lncrna.ncrna::gencode::GUCY1B2::ENSG00000123201.10	0.08
chr9	139602406	139614566	lncrna.ncrna::mitranscriptome::G087242::G087242	0.0916666666666667
chr2	68615629	68622791	lncrna.ncrna::mitranscriptome::G044009::G044009	0.0921052631578947
chr15	89938641	89941720	lncrna.ncrna::mitranscriptome::G028753::G028753	0.0933333333333333
chr2	50847465	50860090	lncrna.ncrna::mitranscriptome::G043523::G043523	0.09375
chr17	46782359	46784708	lncrna.ncrna::gencode::CTD-2377D24.6::ENSG00000244649.2	0.0967741935483871
chr6	98903262	98915392	lncrna.ncrna::mitranscriptome::G072191::G072191	0.1
chr2	120197853	120206258	lncrna.ncrna::mitranscriptome::G045626::G045626	0.101351351351351
chr5	166110446	166111492	lncrna.ncrna::mitranscriptome::G068506::G068506	0.102564102564103
chr10	62916312	62977550	lncrna.ncrna::mitranscriptome::G009815::G009815	0.105590062111801
chr12	56808607	56810902	lncrna.ncrna::mitranscriptome::G018538::G018538	0.108333333333333
chr6	351415	387395	lncrna.ncrna::mitranscriptome::G069092::G069092	0.108527131782946
chr2	25450706	25455844	lncrna.ncrna::mitranscriptome::G042751::G042751	0.10862344691844
chr21	35287837	35349992	lncrna.ncrna::gencode::LINC00649::ENSG00000237945.3	0.112601549215946
chr9	76188530	76194414	lncrna.ncrna::gencode::RP11-128I7.1::ENSG00000232590.1	0.11864406779661
chr11	134306366	134375555	lncrna.ncrna::gencode::RP11-627G23.1::ENSG00000255545.3	0.118811881188119
chr12	21912913	21919639	lncrna.ncrna::gencode::RP11-59N23.1::ENSG00000255644.1	0.121212121212121
chr17	4385260	4389648	lncrna.ncrna::gencode::RP13-580F15.2::ENSG00000262823.1	0.125
chr6	35159798	35226944	lncrna.ncrna::mitranscriptome::G070587::G070587	0.133333333333333
chr7	140771382	140773831	lncrna.ncrna::mitranscriptome::G078435::G078435	0.137931034482759
chr19	4043354	4044361	lncrna.ncrna::mitranscriptome::G038666::G038666	0.141666666666667
chrX	124338145	124342819	lncrna.ncrna::mitranscriptome::G089928::G089928	0.142857142857143
chr22	51160871	51169128	lncrna.ncrna::mitranscriptome::G054367::G054367	0.15
chr22	42487159	42535286	lncrna.ncrna::gencode::NDUFA6-AS1::ENSG00000237037.5	0.158333333333333
chr17	61688757	61689921	lncrna.ncrna::mitranscriptome::G035297::G035297	0.170542635658915
chr14	86401053	86596117	lncrna.ncrna::gencode::CTD-2341M24.1::ENSG00000258733.1	0.186046511627907
chr2	60735979	60773099	lncrna.ncrna::mitranscriptome::G043732::G043732	0.186258137418626
chr8	66317488	66412953	lncrna.ncrna::mitranscriptome::G081205::G081205	0.198412698412698
chr19	15345522	15347646	lncrna.ncrna::mitranscriptome::G039423::G039423	0.202614379084967
chr5	141227990	141232937	lncrna.ncrna::mitranscriptome::G067882::G067882	0.204081632653061
chr6	137639184	137699043	lncrna.ncrna::mitranscriptome::G073158::G073158	0.20625
chr9	16625673	16626388	lncrna.ncrna::gencode::RP11-62F24.1::ENSG00000230694.1	0.207407407407407
chr15	38104471	38176534	lncrna.ncrna::mitranscriptome::G027021::G027021	0.207692307692308
chr2	207507141	207514173	lncrna.ncrna::gencode::AC010731.4::ENSG00000235118.3	0.208333333333333
chr6	111438098	111438933	lncrna.ncrna::mitranscriptome::G072536::G072536	0.20863309352518
chr12	23707182	23720274	lncrna.ncrna::mitranscriptome::G017335::G017335	0.210526315789474
chr1	87969270	87995139	lncrna.ncrna::mitranscriptome::G003183::G003183	0.211180124223602
chr7	27149653	27168125	lncrna.ncrna::gencode::HOXA-AS2::ENSG00000253552.3	0.211920529801325
