binID	Length	Mu	nMut	PvalRaw	QvalRaw	nSample	nMutSample	PvalM	QvalM	nEigenAll	nEigen	fscore	MuAdj	Pval	Qval
lncrna.ncrna::gencode::RN7SK::ENSG00000202198.1	331	0.00028565433843652066	2	0.004186852139202327	0.31762072466565316	2	2	0.004186852139202327	0.36006928397140014	1.0	1.0	15.0953	0.00022487603349405808	0.002629311970371504	0.2933373994529201
lncrna.ncrna::mitranscriptome::G037318::G037318	383	0.0004349658665531921	2	0.012401869017665476	0.5332803677596155	2	2	0.012401869017665476	0.711040490346154	2.0	2.0	23.27415	0.00022208817993099033	0.0034108999936386056	0.2933373994529201
lncrna.ncrna::gencode::HOXC-AS3::ENSG00000251151.2	2899	0.00010689569454092916	7	4.127188277631601e-08	7.098763837526354e-06	2	3	0.003935325950523446	0.36006928397140014	7.0	7.0	4.850360000000001	0.00026189688690312105	0.04172039479859215	1.0
lncrna.ncrna::mitranscriptome::G067882::G067882	4426	0.00021573045403205568	2	0.24762541452307663	0.9999999902418142	2	2	0.24762541452307663	0.9999999902418142	2.0	2.0	27.5689	9.298997176207712e-05	0.06467434470510967	1.0
lncrna.ncrna::mitranscriptome::G031024::G031024	2673	0.00030506212891079983	2	0.19675497478791654	0.9999999902418142	2	2	0.19675497478791654	0.9999999902418142	2.0	2.0	23.4907	0.0001543250529335236	0.06492519531969243	1.0
lncrna.ncrna::mitranscriptome::G043523::G043523	1489	0.0004108857581922986	2	0.12577851464110246	0.9999999902418142	2	2	0.12577851464110246	0.9999999902418142	2.0	2.0	14.18924	0.00034411693831628713	0.09395873074328288	1.0
lncrna.ncrna::mitranscriptome::G079019::G079019	2778	0.0003497629023902243	3	0.07512763234577519	0.9999999902418142	3	3	0.07512763234577519	0.9999999902418142	3.0	3.0	9.485996666666667	0.0004381621640178166	0.12422965146498784	1.0
lncrna.ncrna::mitranscriptome::G042751::G042751	5033	0.0002308915751195749	2	0.3236319394137916	0.9999999902418142	2	2	0.3236319394137916	0.9999999902418142	2.0	2.0	22.4677	0.00012212190394418008	0.1267372942504354	1.0
lncrna.ncrna::mitranscriptome::G043732::G043732	37029	0.00029823066547759894	18	0.03320596657619476	0.8817293165476954	9	12	0.4258889996254794	0.9999999902418142	17.0	17.0	15.732745294117649	0.00022526404706991207	0.13809619574510137	1.0
lncrna.ncrna::mitranscriptome::G064037::G064037	2783	0.0003973021316453591	5	0.005539896360447439	0.31762072466565316	2	3	0.10069668520996636	0.9999999902418142	5.0	5.0	9.729846	0.00048524271624048694	0.15461714619381198	1.0
lncrna.ncrna::mitranscriptome::G027950::G027950	6350	8.610929580905405e-05	2	0.10470562996579005	0.9999999902418142	2	2	0.10470562996579005	0.9999999902418142	2.0	2.0	9.2063	0.00011114988333284546	0.15781851934444363	1.0
