binID	Length	Mu	nMut	PvalRaw	QvalRaw	nSample	nMutSample	PvalM	QvalM	nEigenAll	nEigen	fscore	MuAdj	Pval	Qval
enhancers::chr19:1575000-1578600::NA::NA	156	1.8429996555302211e-06	3	9.25796489917744e-06	0.0013146310156831966	3	3	9.25796489917744e-06	0.0013146310156831966	3.0	3.0	2.8787066666666665	8.081287169506766e-06	0.0007081642925078964	0.07214807326322596
enhancers::chr7:27719600-27720800::NA::NA	197	1.6620649248329417e-06	2	0.0009347869073589135	0.015364515620070846	2	2	0.0009347869073589135	0.021143178225355736	2.0	2.0	10.999115	1.907405106503256e-06	0.001225843197987327	0.07214807326322596
enhancers::chr20:8074800-8076400::NA::NA	830	1.866222064975457e-06	3	0.0012765130728352682	0.015745067079426325	3	3	0.0012765130728352682	0.021143178225355736	3.0	3.0	11.763196666666667	2.002583627684285e-06	0.0015596300045640987	0.07214807326322596
enhancers::chr5:58717800-58719200::NA::NA	241	2.0512048039808698e-06	2	0.0020993924681310676	0.018632108154663225	2	2	0.0020993924681310676	0.02293182542112397	2.0	2.0	11.8149	2.1914505439801073e-06	0.0023891049255702797	0.07214807326322596
enhancers::chr7:2698000-2704400::NA::NA	874	1.802797291006382e-06	4	6.997234355164293e-05	0.004968036392166648	3	3	0.0013400605917478986	0.021143178225355736	3.0	3.0	9.97105	2.2822262801662526e-06	0.002607921844999946	0.07214807326322596
enhancers::chr12:101099000-101101200::NA::NA	354	2.28945892437076e-06	3	0.00019681974269963613	0.008651043793629163	3	3	0.00019681974269963613	0.013974201731674164	3.0	3.0	4.85036	5.9581520454679785e-06	0.003048510137882787	0.07214807326322596
enhancers::chr7:20515800-20517000::NA::NA	278	2.5012065496654263e-06	2	0.0040802456861239065	0.02524504977919515	2	2	0.0040802456861239065	0.027472407546273333	2.0	2.0	13.05415	2.418542134481776e-06	0.0038227790932454904	0.07677161939143087
enhancers::chr2:227495600-227497400::NA::NA	403	1.8035322047382416e-06	2	0.004445768504947917	0.02524504977919515	2	2	0.004445768504947917	0.027472407546273333	1.0	1.0	11.4062	1.9958854794572256e-06	0.005407403666082166	0.07677161939143087
enhancers::chr7:26228400-26233200::NA::NA	1186	1.5895964555458595e-06	2	0.027012006231383254	0.04677688883971246	2	2	0.027012006231383254	0.04677688883971246	1.0	1.0	27.1027	7.403328615515621e-07	0.006401820453343974	0.07677161939143087
enhancers::chr12:53672800-53673400::NA::NA	219	1.5628709732778664e-06	2	0.001020109076964477	0.015364515620070846	2	2	0.001020109076964477	0.021143178225355736	2.0	2.0	4.85036	4.067259205708324e-06	0.006580731347766017	0.07677161939143087
