binID	Length	Mu	nMut	PvalRaw	QvalRaw	nSample	nMutSample	PvalM	QvalM	nEigenAll	nEigen	fscore	MuAdj	Pval	Qval
lncrna.ncrna::gencode::RP11-524K22.1::ENSG00000233470.1	285	1.209320523826605e-05	2	0.007862578836158625	0.7655407457709952	2	2	0.007862578836158625	0.9795044773188955	1.0	1.0	17.3042	1.0698770799695513e-05	0.0062155024263186665	1.0
lncrna.ncrna::gencode::RP11-180P8.3::ENSG00000266411.1	912	9.63158851236417e-06	2	0.04473383137932787	0.7655407457709952	2	2	0.04473383137932787	0.9795044773188955	1.0	1.0	28.6635	5.144138900585477e-06	0.014122545630209937	1.0
lncrna.ncrna::gencode::RP11-126K15.1::ENSG00000265380.1	555	1.546441768213777e-05	2	0.042919118402452945	0.7655407457709952	2	2	0.042919118402452945	0.9795044773188955	2.0	2.0	15.092600000000001	1.568604639718e-05	0.04402458534780334	1.0
lncrna.ncrna::mitranscriptome::G043903::G043903	1774	7.390198496753009e-06	3	0.014250258252792468	0.7655407457709952	3	3	0.014250258252792468	0.9795044773188955	2.0	2.0	9.04653	1.250598956361634e-05	0.05381014952145844	1.0
lncrna.ncrna::gencode::RP11-458K10.2::ENSG00000240973.1	1257	1.1325646975089612e-05	2	0.10287566042205848	0.7985561530579993	2	2	0.10287566042205848	0.9999996785295253	2.0	2.0	19.92225	8.702992733097384e-06	0.06581169035258401	1.0
lncrna.ncrna::gencode::RP11-310H4.1::ENSG00000223475.1	552	9.83366288033239e-06	2	0.01856209713349374	0.7655407457709952	2	2	0.01856209713349374	0.9795044773188955	2.0	2.0	7.0006900000000005	2.1503960562276076e-05	0.07574386302381446	1.0
lncrna.ncrna::gencode::RP11-396B14.2::ENSG00000263033.1	602	1.166273149567767e-05	2	0.029849783779901554	0.7655407457709952	2	2	0.029849783779901554	0.9795044773188955	2.0	2.0	8.316757	2.146793397885496e-05	0.08751556296839369	1.0
lncrna.ncrna::mitranscriptome::G071670::G071670	727	1.3328580393145376e-05	2	0.053237485288399035	0.7655407457709952	2	2	0.053237485288399035	0.9795044773188955	2.0	2.0	8.489955	2.4033802815282672e-05	0.1433768782577619	1.0
lncrna.ncrna::gencode::AC099342.1::ENSG00000226097.1	1457	9.034203821958072e-06	2	0.09026026260182039	0.7655407457709952	2	2	0.09026026260182039	0.9842666731341366	2.0	2.0	10.95561	1.2624009333115538e-05	0.15543625379041412	1.0
lncrna.ncrna::mitranscriptome::G085418::G085418	953	6.2799099418397e-06	2	0.022253912716329108	0.7655407457709952	2	2	0.022253912716329108	0.9795044773188955	1.0	1.0	4.85036	1.982090263581049e-05	0.16201241363071162	1.0
lncrna.ncrna::gencode::RP11-582J16.5::ENSG00000253200.1	1326	5.005084938644179e-06	2	0.026927665110401778	0.7655407457709952	2	2	0.026927665110401778	0.9795044773188955	2.0	2.0	4.85036	1.579724903248622e-05	0.18976720767975278	1.0
lncrna.ncrna::gencode::RP11-305L7.1::ENSG00000230537.1	815	9.51093543834023e-06	2	0.03573288010318688	0.7655407457709952	2	2	0.03573288010318688	0.9795044773188955	2.0	2.0	4.85036	3.0018794384748086e-05	0.23839429055429107	1.0
lncrna.ncrna::gencode::RP11-576I22.2::ENSG00000231407.1	3110	1.213077050647972e-05	2	0.41971645487794534	0.9999984023766657	2	2	0.41971645487794534	0.9999996785295253	2.0	2.0	21.8483	8.49991773303403e-06	0.2659040362635481	1.0
lncrna.ncrna::mitranscriptome::G063694::G063694	899	1.3414025197702036e-05	2	0.07781714346814333	0.7655407457709952	2	2	0.07781714346814333	0.9795044773188955	2.0	2.0	6.873197	2.987750392562597e-05	0.2718467087174777	1.0
lncrna.ncrna::mitranscriptome::G050177::G050177	3228	7.654189890351322e-06	2	0.2417756499230788	0.8523835417988284	2	2	0.2417756499230788	0.9999996785295253	2.0	2.0	14.02689	8.353756792303878e-06	0.27332878608159533	1.0
lncrna.ncrna::gencode::SNHG12::ENSG00000197989.9	3252	8.829000269055192e-06	4	0.025085607128095495	0.7655407457709952	2	2	0.2976933882484745	0.9999996785295253	4.0	4.0	16.0707525	8.410451359943413e-06	0.2787061961667135	1.0
lncrna.ncrna::mitranscriptome::G075440::G075440	1842	1.071403419310847e-05	2	0.17333663796922408	0.8384791259941592	2	2	0.17333663796922408	0.9999996785295253	1.0	1.0	10.8514	1.5115107549152942e-05	0.2855655873990308	1.0
lncrna.ncrna::gencode::RP11-44N21.1::ENSG00000257556.1	1150	8.341498455668027e-06	2	0.05230020975323529	0.7655407457709952	2	2	0.05230020975323529	0.9795044773188955	2.0	2.0	4.85036	2.6327770661966586e-05	0.3194223124015355	1.0
lncrna.ncrna::mitranscriptome::G029129::G029129	1773	1.3052104720114268e-05	2	0.2199788066765449	0.8523835417988284	2	2	0.2199788066765449	0.9999996785295253	2.0	2.0	11.03884	1.8100938681035078e-05	0.34442140494334084	1.0
lncrna.ncrna::mitranscriptome::G027030::G027030	1736	7.375733505203435e-06	2	0.08615603241891315	0.7655407457709952	2	2	0.08615603241891315	0.9842666731341366	2.0	2.0	6.082871	1.8562676515383748e-05	0.34622527905117906	1.0
lncrna.ncrna::mitranscriptome::G031084::G031084	2118	8.406472080349462e-06	2	0.14770798461428009	0.8384791259941592	2	2	0.14770798461428009	0.9999996785295253	2.0	2.0	7.672255	1.6773926365959145e-05	0.39079785542206436	1.0
lncrna.ncrna::gencode::RP4-734G22.3::ENSG00000272078.1	4723	8.3866348484613e-06	3	0.1924547867422518	0.8384791259941592	2	2	0.4439084993218151	0.9999996785295253	3.0	3.0	16.619766666666667	7.725147819861642e-06	0.40348543380896335	1.0
lncrna.ncrna::gencode::RP13-539F13.3::ENSG00000250406.1	2807	1.2996747573206652e-05	2	0.4034330729151801	0.9933997171782392	2	2	0.4034330729151801	0.9999996785295253	2.0	2.0	14.750355	1.3488889516453217e-05	0.4214898026988328	1.0
lncrna.ncrna::mitranscriptome::G024284::G024284	916	1.3238205378959478e-05	2	0.07855593985136257	0.7655407457709952	2	2	0.07855593985136257	0.9795044773188955	2.0	2.0	4.85036	4.1782952672781544e-05	0.42679510544089994	1.0
