binID	Length	Mu	nMut	PvalRaw	QvalRaw	nSample	nMutSample	PvalM	QvalM	nCaddAll	nCadd	fscore	MuAdj	Pval	Qval
lncrna.ncrna::mitranscriptome::G006001::G006001	990	2.468433523269062e-06	3	0.011661133984917896	0.5458083990398056	3	3	0.011661133984917896	0.5458083990398056	2.0	2.0	17.52	1.741098032467233e-06	0.004522427609818063	0.9999999999999999
lncrna.ncrna::gencode::RN7SK::ENSG00000202198.1	331	2.030111132202214e-06	2	0.007413244510990565	0.5458083990398056	2	2	0.007413244510990565	0.5458083990398056	2.0	2.0	14.11	1.777987443859581e-06	0.005745752206625552	0.9999999999999999
lncrna.ncrna::mitranscriptome::G051564::G051564	839	2.5830043815678058e-06	3	0.008450354896268638	0.5458083990398056	3	3	0.008450354896268638	0.5458083990398056	3.0	3.0	10.442333333333332	3.0567750594581092e-06	0.013255243497254451	0.9999999999999999
lncrna.ncrna::mitranscriptome::G012891::G012891	762	1.932009176475846e-06	2	0.03222592100618567	0.786691601033356	2	2	0.03222592100618567	0.8358598260979406	2.0	2.0	17.509999999999998	1.363511890329911e-06	0.016932977683294055	0.9999999999999999
lncrna.ncrna::gencode::RP11-474P2.2::ENSG00000258096.1	627	1.3700872273968127e-06	2	0.011836808653875302	0.5458083990398056	2	2	0.011836808653875302	0.5458083990398056	2.0	2.0	8.8815	1.906328708623568e-06	0.021980471087058567	0.9999999999999999
lncrna.ncrna::gencode::MKLN1-AS1::ENSG00000231721.2	4182	1.2625014195347274e-06	4	0.01885828545954266	0.6967006572418094	4	4	0.01885828545954266	0.6967006572418094	4.0	4.0	11.6695	1.336951083346615e-06	0.02266500543866572	0.9999999999999999
lncrna.ncrna::gencode::RP11-10C24.3::ENSG00000271643.1	1263	2.3107272524048194e-06	9	7.937102816942096e-09	3.29389766903097e-06	2	4	0.002491227571953257	0.5169297211803008	9.0	9.0	5.571	5.125679165442545e-06	0.03584618632731621	0.9999999999999999
lncrna.ncrna::mitranscriptome::G066033::G066033	658	2.190225881589816e-06	2	0.031000180591927717	0.786691601033356	2	2	0.031000180591927717	0.8358598260979406	2.0	2.0	10.1195	2.6746425085852454e-06	0.04445538093531185	0.9999999999999999
lncrna.ncrna::gencode::CTD-2234B20.1::ENSG00000249404.1	440	3.0006855938009476e-06	2	0.026408721396657675	0.7611021665773183	2	2	0.026408721396657675	0.8154666070471268	2.0	2.0	9.1425	4.055939002267901e-06	0.0455738020827924	0.9999999999999999
lncrna.ncrna::mitranscriptome::G071909::G071909	630	3.723373407944562e-06	3	0.010454234394844383	0.5458083990398056	3	3	0.010454234394844383	0.5458083990398056	3.0	3.0	6.849666666666667	6.717428399632992e-06	0.047399617408319876	0.9999999999999999
