binID	Length	Mu	nMut	PvalRaw	QvalRaw	nSample	nMutSample	PvalM	QvalM	nEigenAll	nEigen	fscore	MuAdj	Pval	Qval
enhancers::chr6:127484000-127485600::NA::NA	292	1.0490755573277265e-05	2	0.006271113545737892	0.04031887699403743	2	2	0.006271113545737892	0.04319879677932582	1.0	1.0	21.0709	6.0659543326959375e-06	0.0021658714857859113	0.10812402934551803
enhancers::chr1:5951800-5952800::NA::NA	193	6.989697605236066e-06	2	0.0012697058992118613	0.037341724075705365	2	2	0.0012697058992118613	0.038275198168284334	2.0	2.0	7.903445	1.0775003153013147e-05	0.0029623021738498087	0.10812402934551803
enhancers::chr3:129150800-129151800::NA::NA	437	5.109344899330161e-06	2	0.003401958799092884	0.037341724075705365	2	2	0.003401958799092884	0.038275198168284334	2.0	2.0	7.784750000000001	7.996427498475141e-06	0.008073058408431076	0.16390743715949702
enhancers::chr16:9691800-9692800::NA::NA	362	1.1784161774069155e-05	2	0.01180082428502549	0.04278313930611451	2	2	0.01180082428502549	0.044727827456392436	2.0	2.0	13.327449999999999	1.0772762566713052e-05	0.009952774160300477	0.16390743715949702
enhancers::chr5:75637600-75638600::NA::NA	227	1.1750786569962278e-05	2	0.004802376126230501	0.037341724075705365	2	2	0.004802376126230501	0.04149080452856152	2.0	2.0	6.586688850000001	2.1735780717781945e-05	0.015525437305907636	0.16390743715949702
enhancers::chr22:22042400-22046400::NA::NA	293	1.1985178989395857e-05	2	0.008149098221244011	0.04031887699403743	2	2	0.008149098221244011	0.04319879677932582	2.0	2.0	8.1125	1.7999700068944e-05	0.0175888872727745	0.16390743715949702
enhancers::chr18:25654400-25657400::NA::NA	259	7.697290563881196e-06	2	0.0027284020733646733	0.037341724075705365	2	2	0.0027284020733646733	0.038275198168284334	2.0	2.0	4.54797	2.062033628798123e-05	0.01800685927870243	0.16390743715949702
enhancers::chr8:126029000-126030000::NA::NA	224	1.0207119926881606e-05	2	0.0035623011035165316	0.037341724075705365	2	2	0.0035623011035165316	0.038275198168284334	2.0	2.0	4.85036	2.5639213440972402e-05	0.020615716384983246	0.16390743715949702
enhancers::chr9:90468800-90470200::NA::NA	260	8.929949085939683e-06	2	0.0036702244818902787	0.037341724075705365	2	2	0.0036702244818902787	0.038275198168284334	2.0	2.0	4.85036	2.243109439994333e-05	0.02121221457219083	0.16390743715949702
enhancers::chr7:93758400-93760400::NA::NA	884	1.015391624409949e-05	2	0.0464911030785548	0.07713296647123866	2	2	0.0464911030785548	0.07892675638917443	1.0	1.0	17.0506	7.25553371623457e-06	0.02528886105294966	0.16390743715949702
enhancers::chr5:148316800-148319600::NA::NA	465	9.842851635318629e-06	2	0.013479619233433337	0.04278313930611451	2	2	0.013479619233433337	0.044727827456392436	2.0	2.0	8.278475	1.4485918960896746e-05	0.027669918748995086	0.16390743715949702
