binID	Length	Mu	nMut	PvalRaw	QvalRaw	nSample	nMutSample	PvalM	QvalM	nCaddAll	nCadd	fscore	MuAdj	Pval	Qval
gc19_pc.promCore::gencode::TERT::ENSG00000164362.14	252	4.916621424991543e-06	12	3.384280377468143e-28	4.0611364529617715e-27	11	11	1.4931176688246381e-25	1.791741202589566e-24	12.0	12.0	6.230916666666668	9.997954369254744e-06	3.577605394542667e-22	4.2931264734512004e-21
gc19_pc.promCore::gencode::MNX1::ENSG00000130675.10	1116	1.7281477599209367e-06	2	0.000875036090528339	0.0032444562874486844	2	2	0.000875036090528339	0.004325941716598246	2.0	2.0	12.305	1.7794901099683237e-06	0.0009270256506228614	0.005562153903737169
gc19_pc.promCore::gencode::ERC2::ENSG00000187672.8	587	3.6585283293052825e-06	2	0.0010814854291495615	0.0032444562874486844	2	2	0.0010814854291495615	0.004325941716598246	2.0	2.0	7.335	6.319789718621306e-06	0.0031544076098522595	0.012617630439409038
gc19_pc.promCore::gencode::ZNF575::ENSG00000176472.6	1237	4.452892302453782e-06	2	0.006775140226472098	0.013550280452944196	2	2	0.006775140226472098	0.013550280452944196	2.0	2.0	12.396	4.551525160145476e-06	0.007066082432379287	0.021198247297137863
gc19_pc.promCore::gencode::SYCE1::ENSG00000171772.11	746	4.836988678309602e-06	2	0.0029889009276277186	0.007173362226306525	2	2	0.0029889009276277186	0.008966702782883156	2.0	2.0	6.8205	8.98576758634597e-06	0.00986160891758243	0.02366786140219783
gc19_pc.promCore::gencode::FBXL7::ENSG00000183580.8	1031	6.552077366172803e-06	2	0.010007260090037032	0.017155303011492054	2	2	0.010007260090037032	0.017155303011492054	2.0	2.0	10.7325	7.735251588529696e-06	0.013703852208658935	0.02740770441731787
gc19_pc.promCore::gencode::PTPRC::ENSG00000081237.14	780	1.1719510233764657e-05	2	0.017703960721924	0.023164030667031852	2	2	0.017703960721924	0.023164030667031852	2.0	2.0	13.180499999999999	1.1266107763755747e-05	0.016444256095653694	0.028190153306834904
gc19_pc.promCore::gencode::ACYP2::ENSG00000170634.8	1298	7.4054423378527166e-06	2	0.01944344881355845	0.023164030667031852	2	2	0.01944344881355845	0.023164030667031852	2.0	2.0	7.75	1.2107253232250088e-05	0.04762229998271682	0.07143344997407523
gc19_pc.promCore::gencode::ZMYM3::ENSG00000147130.10	1383	6.557957650903732e-06	2	0.017446174436020867	0.023164030667031852	2	2	0.017446174436020867	0.023164030667031852	2.0	2.0	6.5925	1.2604185705362083e-05	0.05718104594830726	0.07624139459774301
gc19_pc.promCore::gencode::ST5::ENSG00000166444.13	8162	2.9896797343105645e-06	2	0.10157405495631314	0.10157405495631314	2	2	0.10157405495631314	0.10157405495631314	2.0	2.0	15.544999999999998	2.4368582373471907e-06	0.071900392066193	0.0862804704794316
gc19_pc.promCore::gencode::PLEKHS1::ENSG00000148735.10	1834	2.5991138718395175e-06	4	4.6338912537377735e-06	2.7803347522426643e-05	2	2	0.0051289200376639366	0.012309408090393447	4.0	4.0	1.862	1.768650228071052e-05	0.16055034010524644	0.17514582556935976
gc19_pc.promCore::gencode::PDE6B::ENSG00000133256.8	2016	4.999399715030627e-06	2	0.02123369477811253	0.023164030667031852	2	2	0.02123369477811253	0.023164030667031852	2.0	2.0	1.3065	4.848470650154932e-05	0.6331804749636858	0.6331804749636858
