binID	Length	Mu	nMut	PvalRaw	QvalRaw	nSample	nMutSample	PvalM	QvalM	nEigenAll	nEigen	fscore	MuAdj	Pval	Qval
enhancers::chr8:101282200-101283000::NA::NA	432	3.030611165780675e-06	4	9.357673994718817e-05	0.01988505723877749	4	4	9.357673994718817e-05	0.03977011447755498	4.0	4.0	4.85036	6.0888413341428075e-06	0.001271338852146281	0.17184895041455225
enhancers::chr21:34949000-34949800::NA::NA	318	2.916060513517437e-06	2	0.01169795210567899	0.0945639858144915	2	2	0.01169795210567899	0.1018381385694524	2.0	2.0	29.872799999999998	9.512595125856256e-07	0.001337542346098406	0.17184895041455225
enhancers::chr7:75692000-75693400::NA::NA	241	3.1219944710455957e-06	3	0.0003390891312824478	0.0480376269316801	3	3	0.0003390891312824478	0.07205644039752017	3.0	3.0	5.003606666666666	6.080333198339276e-06	0.0022845008456519726	0.17184895041455225
enhancers::chr2:153411400-153416400::NA::NA	291	3.1357980015969325e-06	2	0.01134694935375497	0.0945639858144915	2	2	0.01134694935375497	0.1018381385694524	1.0	1.0	21.7693	1.4037249736608884e-06	0.0024093129606565914	0.17184895041455225
enhancers::chr5:95901200-95903400::NA::NA	325	3.3331545481431486e-06	2	0.015681912190100004	0.09801195118812503	2	2	0.015681912190100004	0.10749697872245971	2.0	2.0	23.908250000000002	1.3585826824947357e-06	0.002804322584621269	0.17184895041455225
enhancers::chr5:32779200-32781200::NA::NA	825	3.256042334221156e-06	3	0.012036605466933728	0.0945639858144915	3	3	0.012036605466933728	0.1018381385694524	3.0	3.0	15.704743333333335	2.020401171687965e-06	0.0032763600335017993	0.17184895041455225
enhancers::chr2:157557200-157561600::NA::NA	1907	3.598068105835958e-06	4	0.03324229457988744	0.11130607232927518	4	4	0.03324229457988744	0.11389458563925832	3.0	3.0	19.450819999999997	1.8026436232573878e-06	0.0033216028121208874	0.17184895041455225
enhancers::chr7:17735400-17737000::NA::NA	418	3.155530804140141e-06	2	0.02263362391077597	0.10613782520999575	2	2	0.02263362391077597	0.11295112301923517	2.0	2.0	23.1618	1.3276344977710605e-06	0.004372486143744885	0.17184895041455225
enhancers::chr10:94966400-94967000::NA::NA	278	3.3572660934844793e-06	3	0.0006322441328646366	0.052080188758657005	3	3	0.0006322441328646366	0.07812028313798551	3.0	3.0	4.85036	6.745128108329493e-06	0.004541388694398934	0.17184895041455225
enhancers::chr20:1075200-1076000::NA::NA	246	3.4376112439760997e-06	2	0.009819841539453691	0.0945639858144915	2	2	0.009819841539453691	0.1018381385694524	2.0	2.0	14.17165	2.363821917453599e-06	0.004786174808193497	0.17184895041455225
enhancers::chr5:137521200-137522000::NA::NA	215	2.4841932084869912e-06	2	0.004059789535564308	0.0945639858144915	2	2	0.004059789535564308	0.1018381385694524	2.0	2.0	8.551915	2.830742767418604e-06	0.005226506565361514	0.17184895041455225
enhancers::chr10:11019600-11021200::NA::NA	277	3.5509356883012376e-06	3	0.0007352497236516283	0.052080188758657005	3	3	0.0007352497236516283	0.07812028313798551	2.0	2.0	4.85036	7.134232275634706e-06	0.005247316705746251	0.17184895041455225
