chr	start	end	element_ID	pvalue
chr17	7565256	7579912	gc19_pc.cds::gencode::TP53::ENSG00000141510.11	2.9999700003e-05
chr2	209101802	209116275	gc19_pc.cds::gencode::IDH1::ENSG00000138413.9	0.00970873786407767
chr1	78414450	78444688	gc19_pc.cds::gencode::FUBP1::ENSG00000162613.12	0.0106666666666667
chr5	36953798	37064994	gc19_pc.cds::gencode::NIPBL::ENSG00000164190.12	0.0444444444444444
chr3	164697149	164793800	gc19_pc.cds::gencode::SI::ENSG00000090402.3	0.0526315789473684
chr5	893113	917218	gc19_pc.cds::gencode::TRIP13::ENSG00000071539.9	0.0555555555555556
chr14	51324806	51411121	gc19_pc.cds::gencode::PYGL::ENSG00000100504.12	0.0662983425414365
chr10	12391817	12870886	gc19_pc.cds::gencode::CAMK1D::ENSG00000183049.8	0.0666666666666667
chr9	133779334	133813994	gc19_pc.cds::gencode::FIBCD1::ENSG00000130720.8	0.0677966101694915
chr16	66413240	66437072	gc19_pc.cds::gencode::CDH5::ENSG00000179776.13	0.0681818181818182
chr1	44010746	44087674	gc19_pc.cds::gencode::PTPRF::ENSG00000142949.12	0.0689655172413793
chr18	6942077	7117719	gc19_pc.cds::gencode::LAMA1::ENSG00000101680.9	0.0713743356112377
chr22	29083884	29133271	gc19_pc.cds::gencode::CHEK2::ENSG00000183765.16	0.0789473684210526
chr4	162306898	163032548	gc19_pc.cds::gencode::FSTL5::ENSG00000168843.9	0.0833333333333333
chr17	41052893	41063443	gc19_pc.cds::gencode::G6PC::ENSG00000131482.5	0.0839160839160839
chr20	17207950	17462715	gc19_pc.cds::gencode::PCSK2::ENSG00000125851.5	0.0840965861781848
chr16	1496272	1524975	gc19_pc.cds::gencode::CLCN7::ENSG00000103249.13	0.0845070422535211
chr1	26759436	26795622	gc19_pc.cds::gencode::DHDDS::ENSG00000117682.12	0.0845070422535211
chr12	57522747	57606338	gc19_pc.cds::gencode::LRP1::ENSG00000123384.9	0.0845070422535211
chr22	21336660	21351637	gc19_pc.cds::gencode::LZTR1::ENSG00000099949.14	0.0845070422535211
chr10	1087126	1094943	gc19_pc.cds::gencode::IDI1::ENSG00000067064.6	0.0869565217391304
chr1	51436040	51439942	gc19_pc.cds::gencode::CDKN2C::ENSG00000123080.6	0.0961538461538462
chr9	19056340	19102649	gc19_pc.cds::gencode::HAUS6::ENSG00000147874.6	0.0988790112098879
chr14	102431028	102516900	gc19_pc.cds::gencode::DYNC1H1::ENSG00000197102.6	0.1
chr17	74079728	74116483	gc19_pc.cds::gencode::EXOC7::ENSG00000182473.16	0.105263157894737
chr20	47538426	47649736	gc19_pc.cds::gencode::ARFGEF2::ENSG00000124198.8	0.111111111111111
chr7	4714885	4802095	gc19_pc.cds::gencode::FOXK1::ENSG00000164916.9	0.142857142857143
chr6	152443570	152949466	gc19_pc.cds::gencode::SYNE1::ENSG00000131018.18	0.148179508890771
chr18	674304	712587	gc19_pc.cds::gencode::ENOSF1::ENSG00000132199.14	0.176470588235294
chr12	112856915	112942568	gc19_pc.cds::gencode::PTPN11::ENSG00000179295.11	0.176470588235294
chr9	124103479	124132465	gc19_pc.cds::gencode::STOM::ENSG00000148175.8	0.176470588235294
chr1	220324592	220445679	gc19_pc.cds::gencode::RAB3GAP2::ENSG00000118873.11	0.180851063829787
chr6	16306559	16328541	gc19_pc.cds::gencode::ATXN1::ENSG00000124788.13	0.19672131147541
chr4	183812551	183838466	gc19_pc.cds::gencode::DCTD::ENSG00000129187.10	0.2
chr8	124968238	125132031	gc19_pc.cds::gencode::FER1L6::ENSG00000214814.2	0.2
chr10	95372482	95425175	gc19_pc.cds::gencode::PDE6C::ENSG00000095464.9	0.2
chr1	186823486	186957640	gc19_pc.cds::gencode::PLA2G4A::ENSG00000116711.8	0.2
chr19	42775935	42799343	gc19_pc.cds::gencode::CIC::ENSG00000079432.3	0.201487985120149
chr3	64507846	64673333	gc19_pc.cds::gencode::ADAMTS9::ENSG00000163638.9	0.202931485058516
chr17	6348430	6353742	gc19_pc.cds::gencode::FAM64A::ENSG00000129195.11	0.211267605633803
chr14	21820831	21852086	gc19_pc.cds::gencode::SUPT16H::ENSG00000092201.5	0.212121212121212
