binID	Length	Mu	nMut	PvalRaw	QvalRaw	nSample	nMutSample	PvalM	QvalM	nCaddAll	nCadd	fscore	MuAdj	Pval	Qval
enhancers::chr14:106178000-106178600::NA::NA	508	0.0015129596292242523	25	2.4305969451313333e-29	9.527940024914827e-27	12	17	1.2121452759944454e-17	4.7516094818982265e-15	23.0	23.0	2.7806956521739132	0.0055520070211514385	7.422232282066897e-09	2.909515054570224e-06
enhancers::chr14:106445600-106455000::NA::NA	1142	0.0009316741968062396	23	4.74607717844136e-23	9.302311269745066e-21	4	9	1.8121611761147532e-06	0.00035518359051849165	20.0	20.0	5.6802	0.0016736959486351036	0.00016742673449999295	0.03281563996199862
enhancers::chr10:54299800-54301200::NA::NA	541	0.0009233058495742807	4	0.001730889410021128	0.08481358109103528	4	4	0.001730889410021128	0.12007930797357182	4.0	4.0	10.406749999999999	0.0009053293291856322	0.001612176064570818	0.21065767243725356
enhancers::chr10:60494000-60495000::NA::NA	528	0.0009498944041119154	3	0.014450804051083595	0.29356891909408805	3	3	0.014450804051083595	0.30455812996926784	3.0	3.0	9.903333333333334	0.0009787461277830905	0.015633962236515947	0.869744691816095
enhancers::chr11:34056200-34059400::NA::NA	693	0.0004925543524778082	2	0.04651312802195005	0.29356891909408805	2	2	0.04651312802195005	0.30455812996926784	2.0	2.0	16.009999999999998	0.00031393443389114446	0.02047603503339766	0.869744691816095
enhancers::chr10:25072400-25074400::NA::NA	549	0.0006305500874434935	2	0.047679783402243825	0.29356891909408805	2	2	0.047679783402243825	0.30455812996926784	2.0	2.0	16.0	0.0004021385728511503	0.021036167458677663	0.869744691816095
enhancers::chr2:47922000-47926400::NA::NA	1132	0.0007522441183785923	7	3.0283814024537533e-05	0.0023742510195237424	5	5	0.0018379485914322216	0.12007930797357182	7.0	7.0	5.425571428571429	0.0014147817210052032	0.023673112729133135	0.869744691816095
enhancers::chr5:42648000-42651400::NA::NA	572	0.0007026323187278121	3	0.00799857787352189	0.26128687720171506	3	3	0.00799857787352189	0.30455812996926784	3.0	3.0	6.3406666666666665	0.001130757101977883	0.027905939517767903	0.869744691816095
enhancers::chr5:180662400-180663200::NA::NA	800	0.0005643933929048712	2	0.07582967510189882	0.29356891909408805	2	2	0.07582967510189882	0.30455812996926784	2.0	2.0	15.149999999999999	0.0003801416127824223	0.037825153895187646	0.869744691816095
enhancers::chr8:32642200-32643200::NA::NA	641	0.0008710635525276978	2	0.10832543663051598	0.29356891909408805	2	2	0.10832543663051598	0.30455812996926784	2.0	2.0	18.445	0.00048188932674435547	0.0388948685253243	0.869744691816095
enhancers::chr1:159398600-159400000::NA::NA	603	0.0006539609221728759	3	0.007598640943367626	0.26128687720171506	3	3	0.007598640943367626	0.30455812996926784	3.0	3.0	5.427	0.0012296120222298975	0.03927702305887106	0.869744691816095
enhancers::chr14:29348600-29349200::NA::NA	529	0.0009023334696810823	2	0.08334007965804176	0.29356891909408805	2	2	0.08334007965804176	0.30455812996926784	2.0	2.0	14.775	0.0006231831496280921	0.04370215956292394	0.869744691816095
enhancers::chr17:27415400-27420800::NA::NA	1146	0.0004151504906423855	2	0.08291267453606553	0.29356891909408805	2	2	0.08291267453606553	0.30455812996926784	2.0	2.0	14.1325	0.0002997524118106249	0.047057623388288575	0.869744691816095
enhancers::chr3:152389000-152390400::NA::NA	564	0.0005427712109743635	2	0.03826431182996849	0.29356891909408805	2	2	0.03826431182996849	0.30455812996926784	2.0	2.0	8.8565	0.0006253610123951002	0.04928935888444427	0.869744691816095
enhancers::chr13:100703000-100703800::NA::NA	796	0.0006343826778721464	2	0.09166664757828984	0.29356891909408805	2	2	0.09166664757828984	0.30455812996926784	2.0	2.0	14.525	0.00044566784367397146	0.04981237323225593	0.869744691816095
enhancers::chr5:125474600-125476200::NA::NA	660	0.0007686844327583885	2	0.092377657939114	0.29356891909408805	2	2	0.092377657939114	0.30455812996926784	2.0	2.0	14.23	0.0005512128210206818	0.05207357993609133	0.869744691816095
enhancers::chr5:86447200-86450200::NA::NA	1032	0.0006406464740421722	3	0.029537441576777314	0.29356891909408805	3	3	0.029537441576777314	0.30455812996926784	3.0	3.0	7.91	0.0008264528496404807	0.055253752274087915	0.869744691816095
