binID	Length	Mu	nMut	PvalRaw	QvalRaw	nSample	nMutSample	PvalM	QvalM	nCaddAll	nCadd	fscore	MuAdj	Pval	Qval
enhancers::chr9:117707400-117709800::NA::NA	857	0.0005128198481317201	3	0.010187949330367234	0.10688582464775122	3	3	0.010187949330367234	0.11223011588013877	3.0	3.0	7.207	0.0006574795888354508	0.019616869124077153	0.29439568341345784
enhancers::chr5:74305600-74307200::NA::NA	595	0.0004443332064510016	2	0.029324986957448087	0.10688582464775122	2	2	0.029324986957448087	0.11223011588013877	2.0	2.0	10.7425	0.0003821865327072148	0.022224030633168784	0.29439568341345784
enhancers::chr14:93245200-93247400::NA::NA	657	0.0003746920884561018	2	0.025730943058385247	0.10688582464775122	2	2	0.025730943058385247	0.11223011588013877	2.0	2.0	8.584	0.0004033265257845271	0.029451380355071072	0.29439568341345784
enhancers::chr3:167694800-167696800::NA::NA	1000	0.00046324484860967897	2	0.07923367739543798	0.13394264512085943	2	2	0.07923367739543798	0.13720953890429502	2.0	2.0	14.559999999999999	0.00029398230777152705	0.03558559665650888	0.29439568341345784
enhancers::chr5:134679000-134683800::NA::NA	833	0.00031071540632741636	2	0.028217010200796335	0.10688582464775122	2	2	0.028217010200796335	0.11223011588013877	2.0	2.0	7.9014999999999995	0.00036335004169655476	0.03750333944303064	0.29439568341345784
enhancers::chr20:50611400-50612400::NA::NA	527	0.00042771818912992944	2	0.021861073750929914	0.10688582464775122	2	2	0.021861073750929914	0.11223011588013877	2.0	2.0	6.6385000000000005	0.0005953326907525115	0.03999158149441559	0.29439568341345784
enhancers::chr10:54169400-54170200::NA::NA	564	0.000468744330441388	2	0.02932185258645192	0.10688582464775122	2	2	0.02932185258645192	0.11223011588013877	2.0	2.0	7.6685	0.0005648037573552097	0.041102086922756215	0.29439568341345784
enhancers::chr9:81585000-81588000::NA::NA	730	0.0004416278972703381	2	0.04200469071840821	0.10808556304362357	2	2	0.04200469071840821	0.11566213816798877	2.0	2.0	9.24	0.00044162789727033815	0.04200469071840821	0.29439568341345784
enhancers::chr8:13357600-13358600::NA::NA	665	0.0004142531268587577	2	0.03161411714933487	0.10688582464775122	2	2	0.03161411714933487	0.11223011588013877	2.0	2.0	7.7	0.0004971037522305093	0.043928144601275844	0.29439568341345784
enhancers::chr9:6247600-6248600::NA::NA	633	0.00043436977717612916	2	0.03150345942638943	0.10688582464775122	2	2	0.03150345942638943	0.11223011588013877	2.0	2.0	7.6285	0.0005261292182090102	0.044512919257712565	0.29439568341345784
