binID	Length	Mu	nMut	PvalRaw	QvalRaw	nSample	nMutSample	PvalM	QvalM	nCaddAll	nCadd	fscore	MuAdj	Pval	Qval
enhancers::chr5:115830200-115831800::NA::NA	212	0.00017548995832540783	2	0.0006721072335809845	0.05905544449742437	2	2	0.0006721072335809845	0.06438691152457715	2.0	2.0	8.736	0.00018117490088562875	0.0007157897526772292	0.14745268905150924
enhancers::chr7:127724200-127726200::NA::NA	382	0.0002409704559781051	2	0.003976246150235781	0.05905544449742437	2	2	0.003976246150235781	0.06438691152457715	2.0	2.0	13.2725	0.00016374552966408207	0.001872093329802896	0.1494498171837825
enhancers::chr1:5951800-5952800::NA::NA	193	0.0004268814199102565	2	0.0031982557023449688	0.05905544449742437	2	2	0.0031982557023449688	0.06438691152457715	2.0	2.0	10.3595	0.00037164375946431805	0.0024411159569118815	0.1494498171837825
enhancers::chr11:10932600-10936000::NA::NA	323	0.0004753122521783945	2	0.010619067164352576	0.05930373429895264	2	2	0.010619067164352576	0.06438691152457715	2.0	2.0	16.725	0.00025631337533016076	0.003234663598836274	0.1494498171837825
enhancers::chr6:127484000-127485600::NA::NA	292	0.00047890118209915005	2	0.008886984366117259	0.05905544449742437	2	2	0.008886984366117259	0.06438691152457715	2.0	2.0	13.91	0.00031051112590598374	0.0038585466505843976	0.1494498171837825
enhancers::chr1:99023000-99023800::NA::NA	369	0.0004225561246068916	2	0.010939523802719418	0.05930373429895264	2	2	0.010939523802719418	0.06438691152457715	2.0	2.0	13.275	0.0002870835169739777	0.0052177979998372	0.1494498171837825
enhancers::chr13:72286600-72287800::NA::NA	320	0.0004815169738046545	2	0.010692451963048384	0.05930373429895264	2	2	0.010692451963048384	0.06438691152457715	1.0	1.0	12.83	0.0003384880426145111	0.00544463945934028	0.1494498171837825
enhancers::chrX:54820200-54821200::NA::NA	315	0.00040513188769716944	2	0.0074623989925198045	0.05905544449742437	2	2	0.0074623989925198045	0.06438691152457715	2.0	2.0	9.3235	0.00039190051966973464	0.00700203271921062	0.1494498171837825
enhancers::chr4:47534600-47536200::NA::NA	312	0.00044452495909356863	2	0.008749903359201205	0.05905544449742437	2	2	0.008749903359201205	0.06438691152457715	2.0	2.0	9.433	0.0004250154358173322	0.008030676594365682	0.1494498171837825
enhancers::chr2:66248400-66249600::NA::NA	278	0.0004012163916443894	2	0.00575883358656176	0.05905544449742437	2	2	0.00575883358656176	0.06438691152457715	2.0	2.0	7.5365	0.0004801394063876796	0.008129569459091065	0.1494498171837825
