binID	Length	Mu	nMut	PvalRaw	QvalRaw	nSample	nMutSample	PvalM	QvalM	nEigenAll	nEigen	fscore	MuAdj	Pval	Qval
lncrna.ncrna::gencode::MKLN1-AS1::ENSG00000231721.2	4182	1.3351214838460352e-06	4	0.022566280593830108	0.7952308931082607	4	4	0.022566280593830108	0.8513642224035904	4.0	4.0	26.9301325	5.106899822191802e-07	0.0008026431153620567	0.22329802334596247
lncrna.ncrna::gencode::RN7SK::ENSG00000202198.1	331	2.172845808157417e-06	2	0.008442476372798054	0.6062407492266062	2	2	0.008442476372798054	0.6062407492266062	2.0	2.0	29.7121	7.533045751297048e-07	0.0010761350522696988	0.22329802334596247
lncrna.ncrna::mitranscriptome::G051564::G051564	839	2.5666366805907417e-06	3	0.00830654151278947	0.6062407492266062	3	3	0.00830654151278947	0.6062407492266062	3.0	3.0	12.904773333333333	2.0487504429772073e-06	0.0044878479514053795	0.5884687999970033
lncrna.ncrna::mitranscriptome::G006001::G006001	990	2.5054961075163487e-06	3	0.012132589350693546	0.6293780725672277	3	3	0.012132589350693546	0.6293780725672277	1.0	1.0	13.6513	1.8905787241820793e-06	0.0056719884337060565	0.5884687999970033
lncrna.ncrna::mitranscriptome::G071909::G071909	630	3.928221418469719e-06	3	0.012059063920771476	0.6293780725672277	3	3	0.012059063920771476	0.6293780725672277	3.0	3.0	9.85759	4.104877989939778e-06	0.01355019731678679	1.0
lncrna.ncrna::gencode::CTD-2234B20.1::ENSG00000249404.1	440	3.0425644349188663e-06	2	0.027089382759114496	0.8030067032166083	2	2	0.027089382759114496	0.8647764496178858	2.0	2.0	12.8179	2.4451074559765974e-06	0.018072684030552438	1.0
lncrna.ncrna::gencode::AC007392.4::ENSG00000237179.1	745	2.4443751697977897e-06	2	0.04724328952587888	0.9709841893877451	2	2	0.04724328952587888	0.9999999348608511	2.0	2.0	17.1171	1.4710001608592886e-06	0.018706087728156975	1.0
lncrna.ncrna::mitranscriptome::G047528::G047528	601	2.7456549437690423e-06	2	0.039611749778953875	0.9647409963880111	2	2	0.039611749778953875	0.9999999348608511	1.0	1.0	13.8689	2.0392899778140796e-06	0.023024211820625754	1.0
lncrna.ncrna::gencode::RP11-677M14.6::ENSG00000254509.1	433	1.6545185964116844e-06	2	0.008379695896713266	0.6062407492266062	2	2	0.008379695896713266	0.6062407492266062	2.0	2.0	4.85036	3.513765090884248e-06	0.034210976987126676	1.0
lncrna.ncrna::gencode::RP3-512E2.2::ENSG00000226455.1	519	1.842818665349761e-06	2	0.014496091578113286	0.6684308894352238	2	2	0.014496091578113286	0.6684308894352238	2.0	2.0	6.420565	2.956544363532703e-06	0.03474202537246928	1.0
lncrna.ncrna::mitranscriptome::G065965::G065965	1939	1.7733227232974165e-06	2	0.13858071020302512	0.9709841893877451	2	2	0.13858071020302512	0.9999999348608511	2.0	2.0	22.710700000000003	8.043263624831546e-07	0.03577933611081534	1.0
lncrna.ncrna::mitranscriptome::G039624::G039624	1787	2.670857046652358e-06	3	0.06319686015226564	0.9709841893877451	3	3	0.06319686015226564	0.9999999348608511	3.0	3.0	13.026200000000001	2.1120682424106893e-06	0.0357840117659467	1.0
lncrna.ncrna::gencode::RP11-10C24.3::ENSG00000271643.1	1263	2.378395868270153e-06	9	1.0143808729803681e-08	4.209680622868527e-06	2	4	0.0027609147724801776	0.5728898152896368	9.0	9.0	4.645600222222223	5.273723457107339e-06	0.03910144710598189	1.0
lncrna.ncrna::mitranscriptome::G066033::G066033	658	2.198865595482487e-06	2	0.03122337880919189	0.8579447965678074	2	2	0.03122337880919189	0.9151411163389946	2.0	2.0	8.7764785	2.5807945653725183e-06	0.041704684828733074	1.0
lncrna.ncrna::gencode::RP11-53A1.2::ENSG00000272167.1	1874	2.1264780986025706e-06	2	0.17448164556779644	0.9709841893877451	2	2	0.17448164556779644	0.9999999348608511	1.0	1.0	23.4184	9.353598822490399e-07	0.04413813340718799	1.0
lncrna.ncrna::mitranscriptome::G026398::G026398	3474	1.875302731846057e-06	6	0.0017055681537020463	0.35390539189317455	6	6	0.0017055681537020463	0.5728898152896368	6.0	6.0	4.850360000000001	3.982652892685252e-06	0.050144109905400865	1.0
lncrna.ncrna::gencode::RP11-272L13.3::ENSG00000269998.1	870	2.7390998491159427e-06	2	0.07555094850397726	0.9709841893877451	2	2	0.07555094850397726	0.9999999348608511	2.0	2.0	12.69656	2.2222700809084392e-06	0.052524776098131915	1.0
lncrna.ncrna::gencode::RP11-553L6.5::ENSG00000259976.1	1679	2.1007683126743484e-06	2	0.14429518113414413	0.9709841893877451	2	2	0.14429518113414413	0.9999999348608511	2.0	2.0	18.67635	1.1586738313279763e-06	0.05310291652463505	1.0
lncrna.ncrna::gencode::RP11-192C21.2::ENSG00000249847.1	646	3.5184453849720206e-06	2	0.06965456414465686	0.9709841893877451	2	2	0.06965456414465686	0.9999999348608511	2.0	2.0	12.006450000000001	3.0186394405275593e-06	0.05332558244854537	1.0
lncrna.ncrna::mitranscriptome::G005750::G005750	3344	2.4883009911843447e-06	4	0.0750884126098625	0.9709841893877451	4	4	0.0750884126098625	0.9999999348608511	4.0	4.0	11.54483025	2.2201913462684155e-06	0.05408619454620773	1.0
