binID	Length	Mu	nMut	PvalRaw	QvalRaw	nSample	nMutSample	PvalM	QvalM	nEigenAll	nEigen	fscore	MuAdj	Pval	Qval
lncrna.ncrna::gencode::RP11-112L6.4::ENSG00000231742.1	782	1.643112174807488e-06	2	0.006325683370098603	0.37350047880228315	2	2	0.006325683370098603	0.37350047880228315	2.0	2.0	7.86617	2.015800543106467e-06	0.009355643705374464	0.7390958527245827
lncrna.ncrna::mitranscriptome::G043800::G043800	1560	1.1485578956356677e-06	2	0.011932206460919376	0.37350047880228315	2	2	0.011932206460919376	0.37350047880228315	1.0	1.0	5.66235	1.9574913584782387e-06	0.03215040579013412	0.9194690836072771
lncrna.ncrna::mitranscriptome::G061920::G061920	4471	2.5377647281761803e-06	3	0.08637860835061054	0.5195965814354858	3	3	0.08637860835061054	0.5195965814354858	3.0	3.0	12.911913333333333	1.8967252545875333e-06	0.0434406301259338	0.9194690836072771
lncrna.ncrna::gencode::SNHG10::ENSG00000247092.2	1453	1.3513715028420673e-06	2	0.014183562486162652	0.37350047880228315	2	2	0.014183562486162652	0.37350047880228315	2.0	2.0	4.85036	2.6887130493339114e-06	0.050036701458663416	0.9194690836072771
lncrna.ncrna::gencode::RP11-132M7.3::ENSG00000228290.2	1748	2.7026412111695348e-06	2	0.06974485287549151	0.500894852469439	2	2	0.06974485287549151	0.500894852469439	2.0	2.0	10.024685	2.601724652481975e-06	0.06530371358150595	0.9194690836072771
lncrna.ncrna::gencode::SLC25A3P1::ENSG00000236253.3	3138	2.4123018200153275e-06	3	0.03279915950629348	0.4318556001661975	3	3	0.03279915950629348	0.4318556001661975	3.0	3.0	6.975966666666667	3.3371130550403266e-06	0.07185160672075593	0.9194690836072771
lncrna.ncrna::mitranscriptome::G058571::G058571	8541	2.655686044787036e-06	4	0.15462089121062536	0.6107525202819701	4	4	0.15462089121062536	0.6107525202819701	4.0	4.0	12.1272075	2.1132924190562564e-06	0.08478149683083304	0.9194690836072771
lncrna.ncrna::mitranscriptome::G009751::G009751	1045	2.6930965079682622e-06	2	0.027697311995102978	0.4318556001661975	2	2	0.027697311995102978	0.4318556001661975	1.0	1.0	4.85036	5.358233253299626e-06	0.09311079327668628	0.9194690836072771
lncrna.ncrna::gencode::GATA3-AS1::ENSG00000197308.4	2103	1.6487675168095427e-06	2	0.04044931361726081	0.45649939653765775	2	2	0.04044931361726081	0.45649939653765775	2.0	2.0	4.85036	3.2804175080209403e-06	0.13113188292788627	1.0
lncrna.ncrna::gencode::WEE2-AS1::ENSG00000228775.3	2547	2.817957383857129e-06	2	0.13968991589768717	0.6021390621079917	2	2	0.13968991589768717	0.6021390621079917	2.0	2.0	8.387715	3.2421598828441746e-06	0.17387508021869058	1.0
lncrna.ncrna::mitranscriptome::G027726::G027726	4898	2.25672622301314e-06	2	0.2663981684817745	0.7257053555193167	2	2	0.2663981684817745	0.7257053555193167	2.0	2.0	12.27939	1.7735594660694762e-06	0.18779967617282833	1.0
lncrna.ncrna::gencode::RP11-60A8.1::ENSG00000249743.1	1485	2.6521188496172054e-06	2	0.05075721175884179	0.4967037807957133	2	2	0.05075721175884179	0.4967037807957133	2.0	2.0	3.89738	6.5669529129845854e-06	0.222919589431156	1.0
lncrna.ncrna::mitranscriptome::G071412::G071412	5550	2.6315985658117105e-06	2	0.3834475977781034	0.8187124384991937	2	2	0.3834475977781034	0.8187124384991937	2.0	2.0	13.744465	1.8477170807420788e-06	0.23968179771370568	1.0
lncrna.ncrna::gencode::RP11-276H19.2::ENSG00000269994.1	2012	2.6910626762838578e-06	2	0.08800173435962919	0.5195965814354858	2	2	0.08800173435962919	0.5195965814354858	2.0	2.0	4.85036	5.3541867051975635e-06	0.25699756577241417	1.0
lncrna.ncrna::mitranscriptome::G073680::G073680	7359	1.3816723800604286e-06	2	0.23677352568575366	0.723866476025725	2	2	0.23677352568575366	0.723866476025725	1.0	1.0	8.83238	1.5096316854000039e-06	0.2682706232000515	1.0
lncrna.ncrna::mitranscriptome::G062257::G062257	1947	2.2133783113836048e-06	2	0.059462008804050205	0.4967037807957133	2	2	0.059462008804050205	0.4967037807957133	2.0	2.0	3.614125	5.910118014143941e-06	0.2815756222644652	1.0
lncrna.ncrna::gencode::RP11-356I2.4::ENSG00000237499.2	3627	2.659340611399453e-06	2	0.21938107923264175	0.723866476025725	2	2	0.21938107923264175	0.723866476025725	2.0	2.0	7.99622	3.209466919409041e-06	0.2860465695207298	1.0
lncrna.ncrna::gencode::LINC00966::ENSG00000254377.1	3451	1.8174926410357734e-06	2	0.11237231554854113	0.5270466048309225	2	2	0.11237231554854113	0.5270466048309225	2.0	2.0	4.85036	3.6161160500602486e-06	0.3139859148211338	1.0
lncrna.ncrna::mitranscriptome::G070592::G070592	6543	1.9394131712703048e-06	3	0.11085136957397745	0.5270466048309225	3	3	0.11085136957397745	0.5270466048309225	3.0	3.0	5.583214333333333	3.3521983864574657e-06	0.3222253368628896	1.0
lncrna.ncrna::gencode::AF127936.7::ENSG00000235609.4	7028	2.6193350288684447e-06	2	0.4990106553203468	0.8469752630317529	2	2	0.4990106553203468	0.8469752630317529	2.0	2.0	12.49165	2.0235545469864656e-06	0.37110662520214255	1.0
lncrna.ncrna::gencode::AC068282.3::ENSG00000236682.1	2689	2.3457246127744894e-06	2	0.11341509217880612	0.5270466048309225	2	2	0.11341509217880612	0.5270466048309225	2.0	2.0	4.071115000000001	5.5604165404736935e-06	0.39450023484111285	1.0
lncrna.ncrna::mitranscriptome::G003073::G003073	15398	2.586989193291048e-06	3	0.701644158525599	0.8940304600568117	3	3	0.701644158525599	0.8940304600568117	3.0	3.0	13.745626666666666	1.8162421176745458e-06	0.4676647814388702	1.0
