binID	Length	Mu	nMut	PvalRaw	QvalRaw	nSample	nMutSample	PvalM	QvalM	nCaddAll	nCadd	fscore	MuAdj	Pval	Qval
gc19_pc.promCore::gencode::TERT::ENSG00000164362.14	252	0.0008716714999674421	42	3.5936916526062594e-81	1.3224785281591035e-78	42	42	3.5936916526062594e-81	1.3224785281591035e-78	42.0	42.0	6.031166666666668	0.0017522158050033612	1.6325682906025467e-68	6.007851309417372e-66
gc19_pc.promCore::gencode::A4GNT::ENSG00000118017.3	394	0.0005182039775398567	3	0.0012101901263710875	0.086476921345156	3	3	0.0012101901263710875	0.129715382017734	3.0	3.0	14.17	0.0004433706787296683	0.0007746319564270703	0.14253227998258094
gc19_pc.promCore::gencode::AK1::ENSG00000106992.13	1444	0.0004143336474361967	4	0.003314792744473337	0.11423113132397075	4	4	0.003314792744473337	0.24028902983076778	4.0	4.0	10.48925	0.00047889669897880244	0.005501001777108131	0.4633885068407001
gc19_pc.promCore::gencode::BMF::ENSG00000104081.9	1281	0.00047017308350509715	4	0.003392320926014088	0.11423113132397075	3	3	0.023309642046696298	0.24028902983076778	4.0	4.0	18.464999999999996	0.0003087056142332973	0.007671612303437653	0.4633885068407001
gc19_pc.promCore::gencode::GBF1::ENSG00000107862.4	400	0.000479399059289788	2	0.016165454821145727	0.2280945749434899	2	2	0.016165454821145727	0.24028902983076778	2.0	2.0	16.36	0.000355262980445482	0.009170693660552958	0.4633885068407001
gc19_pc.promCore::gencode::PEG10::ENSG00000242265.1	381	0.0005802020724229471	2	0.021073955293692	0.2280945749434899	2	2	0.021073955293692	0.24028902983076778	2.0	2.0	18.825	0.0003736632334919466	0.009201834425071848	0.4633885068407001
gc19_pc.promCore::gencode::GALNTL5::ENSG00000106648.9	410	0.0005254027244957401	3	0.001409949804540587	0.086476921345156	3	3	0.001409949804540587	0.129715382017734	3.0	3.0	5.973333333333333	0.0010663791539124636	0.010020645336129912	0.4633885068407001
gc19_pc.promCore::gencode::MARCKS::ENSG00000155130.5	400	0.00041697285146368937	2	0.012430735511353073	0.2280945749434899	2	2	0.012430735511353073	0.24028902983076778	2.0	2.0	13.545	0.0003732199471104922	0.010073663192189133	0.4633885068407001
gc19_pc.promCore::gencode::CYYR1::ENSG00000166265.7	220	0.0009385014750471205	2	0.018533613463311078	0.2280945749434899	2	2	0.018533613463311078	0.24028902983076778	2.0	2.0	14.2905	0.0007962026378059304	0.01361386034577725	0.4714512004071743
gc19_pc.promCore::gencode::UBE2D1::ENSG00000072401.10	400	0.0005874516258754449	2	0.023599629260542165	0.2289144011997255	2	2	0.023599629260542165	0.24028902983076778	1.0	1.0	16.06	0.0004434683663086412	0.013963571414557716	0.4714512004071743
gc19_pc.promCore::gencode::SIDT2::ENSG00000149577.11	1407	0.0004077810223614488	3	0.020574418443837547	0.2280945749434899	3	3	0.020574418443837547	0.24028902983076778	3.0	3.0	14.014333333333333	0.00035276918692736406	0.014092291316518797	0.4714512004071743
gc19_pc.promCore::gencode::HSPA1A::ENSG00000204389.8	423	0.0005197015282078206	2	0.020861926577538097	0.2280945749434899	2	2	0.020861926577538097	0.24028902983076778	1.0	1.0	13.03	0.00048355475134853105	0.01824175893794163	0.49642883781993963
gc19_pc.promCore::gencode::CIB4::ENSG00000157884.6	340	0.0005019369057798513	2	0.012976799590781862	0.2280945749434899	2	2	0.012976799590781862	0.24028902983076778	2.0	2.0	9.959	0.0006110397643363619	0.01877139315969144	0.49642883781993963
gc19_pc.promCore::gencode::CCKAR::ENSG00000163394.5	395	0.0005396211417609704	2	0.019695902490714103	0.2280945749434899	2	2	0.019695902490714103	0.24028902983076778	2.0	2.0	11.923	0.0005487057222927132	0.020317091499828428	0.49642883781993963
gc19_pc.promCore::gencode::IFT81::ENSG00000122970.11	309	0.0007765310623412587	2	0.024515893771408986	0.2289144011997255	2	2	0.024515893771408986	0.24028902983076778	2.0	2.0	12.715	0.0007404206884611305	0.022450982918475353	0.49642883781993963
gc19_pc.promCore::gencode::KLK1::ENSG00000167748.6	350	0.0005960919946807637	3	0.0012859514283609067	0.086476921345156	2	2	0.018920857035278894	0.24028902983076778	3.0	3.0	10.877666666666665	0.000664375517256554	0.023141201762825605	0.49642883781993963
gc19_pc.promCore::gencode::B3GNT8::ENSG00000177191.2	394	0.00038519034708961084	3	0.0005166208556851948	0.08097146749635728	2	2	0.010393524235770267	0.24028902983076778	3.0	3.0	7.144666666666667	0.0006536262723853211	0.027932984369476204	0.49642883781993963
gc19_pc.promCore::gencode::GPR157::ENSG00000180758.10	184	0.0006746585455304756	2	0.007063667724086114	0.18567355160454926	2	2	0.007063667724086114	0.24028902983076778	2.0	2.0	5.747999999999999	0.0014229948982100668	0.02873699873254315	0.49642883781993963
gc19_pc.promCore::gencode::RPS6KC1::ENSG00000136643.7	358	0.0005061909446559126	2	0.014533184306737355	0.2280945749434899	2	2	0.014533184306737355	0.24028902983076778	2.0	2.0	8.383	0.0007320672564116073	0.028838713221674406	0.49642883781993963
gc19_pc.promCore::gencode::TPTE::ENSG00000166157.12	432	0.0015641054131379905	5	0.0006600934850246517	0.08097146749635728	5	5	0.0006600934850246517	0.1214572012445359	5.0	5.0	4.761799999999999	0.003982272228967278	0.030628986665119776	0.49642883781993963
gc19_pc.promCore::gencode::SLC10A7::ENSG00000120519.10	548	0.0005747450424859824	2	0.04027321454720285	0.2289144011997255	2	2	0.04027321454720285	0.24028902983076778	2.0	2.0	13.765	0.0005062150991800484	0.032011207447782616	0.49642883781993963
gc19_pc.promCore::gencode::DPF2::ENSG00000133884.5	680	0.0004332687371017531	2	0.035715220158097284	0.2289144011997255	2	2	0.035715220158097284	0.24028902983076778	2.0	2.0	12.66	0.000414915562379064	0.03301976383985612	0.49642883781993963
gc19_pc.promCore::gencode::LAMP2::ENSG00000005893.11	694	0.0005124453278105018	2	0.050027478400292494	0.2289144011997255	2	2	0.050027478400292494	0.24028902983076778	2.0	2.0	14.2	0.0004375173402753081	0.03771388543887193	0.49642883781993963
gc19_pc.promCore::gencode::RRP7A::ENSG00000189306.6	321	0.0006277518439992067	2	0.01772950491770429	0.2280945749434899	2	2	0.01772950491770429	0.24028902983076778	2.0	2.0	7.787	0.0009773585109656199	0.03995957708508568	0.49642883781993963
gc19_pc.promCore::gencode::KHDRBS2::ENSG00000112232.8	400	0.001054510591573742	2	0.06740757423463803	0.2289144011997255	2	2	0.06740757423463803	0.24028902983076778	2.0	2.0	15.64	0.000817429438735765	0.04305028957163136	0.49642883781993963
gc19_pc.promCore::gencode::MGEA5::ENSG00000198408.9	1036	0.0003200099168140408	2	0.044169582461084975	0.2289144011997255	2	2	0.044169582461084975	0.24028902983076778	2.0	2.0	12.24	0.0003169699533273126	0.04342275677000831	0.49642883781993963
gc19_pc.promCore::gencode::ALOXE3::ENSG00000179148.5	625	0.0005239344491493689	2	0.04318854957824586	0.2289144011997255	2	2	0.04318854957824586	0.24028902983076778	2.0	2.0	12.0045	0.0005291380048742915	0.04395819744015475	0.49642883781993963
gc19_pc.promCore::gencode::H3F3B::ENSG00000132475.4	1162	0.0003843962865380206	2	0.07445480583265102	0.2289144011997255	2	2	0.07445480583265102	0.24028902983076778	2.0	2.0	16.175	0.0002881183844827303	0.04495123087037396	0.49642883781993963
gc19_pc.promCore::gencode::BACH2::ENSG00000112182.10	531	0.0007584268029988141	2	0.062222935924079084	0.2289144011997255	2	2	0.062222935924079084	0.24028902983076778	2.0	2.0	14.1195	0.0006512240512898329	0.04758706305530065	0.49642883781993963
gc19_pc.promCore::gencode::TNKS1BP1::ENSG00000149115.9	889	0.0004576527256057958	2	0.06336209191158808	0.2289144011997255	2	2	0.06336209191158808	0.24028902983076778	2.0	2.0	14.195	0.0003908739549661941	0.04802138460835796	0.49642883781993963
gc19_pc.promCore::gencode::TNFRSF11B::ENSG00000164761.4	400	0.0006489735685698343	2	0.028344591536262936	0.2289144011997255	2	2	0.028344591536262936	0.24028902983076778	2.0	2.0	8.9685	0.0008772901909582776	0.04882678797662562	0.49642883781993963
gc19_pc.promCore::gencode::CCDC148::ENSG00000153237.13	844	0.0004995394435849282	2	0.06739867930020298	0.2289144011997255	2	2	0.06739867930020298	0.24028902983076778	2.0	2.0	14.57	0.0004156677310004587	0.04884101251108796	0.49642883781993963
gc19_pc.promCore::gencode::PHLDB1::ENSG00000019144.12	1260	0.00037337474780500726	2	0.08135045869104812	0.2289144011997255	2	2	0.08135045869104812	0.24028902983076778	2.0	2.0	16.015	0.0002826533102923672	0.05017212837791189	0.49642883781993963
gc19_pc.promCore::gencode::PON3::ENSG00000105852.6	322	0.000979810256246102	2	0.040365108355437315	0.2289144011997255	2	2	0.040365108355437315	0.24028902983076778	2.0	2.0	10.187999999999999	0.00116597468579773	0.05499761949975302	0.49642883781993963
gc19_pc.promCore::gencode::ZNF207::ENSG00000010244.12	810	0.0004842424659696062	2	0.05944348403926133	0.2289144011997255	2	2	0.05944348403926133	0.24028902983076778	2.0	2.0	12.672500000000001	0.0004632726368701805	0.05500456742063514	0.49642883781993963
