binID	Length	Mu	nMut	PvalRaw	QvalRaw	nSample	nMutSample	PvalM	QvalM	nCaddAll	nCadd	fscore	MuAdj	Pval	Qval
lncrna.ncrna::gencode::RP11-211G3.2::ENSG00000223401.1	518	3.882526665228693e-05	7	0.0007560491178652378	0.024949620889552847	5	5	0.01623243970857181	0.49970995352196096	7.0	7.0	11.174428571428573	4.284591608605176e-05	0.023568323984257226	0.8577749651089633
lncrna.ncrna::mitranscriptome::G008782::G008782	866	3.8172291649901645e-06	2	0.024207022894122122	0.49970995352196096	2	2	0.024207022894122122	0.49970995352196096	2.0	2.0	11.864	3.967687002842367e-06	0.025993180760877678	0.8577749651089633
lncrna.ncrna::mitranscriptome::G028994::G028994	1614	4.611876539050825e-06	2	0.10129100051512124	0.5941246726197418	2	2	0.10129100051512124	0.6481360064942638	2.0	2.0	19.775	2.8759510506130284e-06	0.04483390577637295	0.986345927080205
lncrna.ncrna::gencode::MALAT1::ENSG00000251562.3	8682	9.746935263978029e-07	5	0.00042272940089800473	0.024949620889552847	5	5	0.00042272940089800473	0.02790014045926831	5.0	5.0	3.522	3.4127072849134887e-06	0.0654795938684871	0.9999999999999999
lncrna.ncrna::mitranscriptome::G084276::G084276	1398	3.41332534621637e-06	2	0.04709483437295413	0.49970995352196096	2	2	0.04709483437295413	0.49970995352196096	2.0	2.0	8.4525	4.979810490687423e-06	0.0905822850896993	0.9999999999999999
lncrna.ncrna::gencode::RP5-1198O20.4::ENSG00000230615.2	3710	3.8099705402128893e-06	3	0.083589040496704	0.5941246726197418	3	3	0.083589040496704	0.6481360064942638	3.0	3.0	9.210666666666667	5.1009475929667894e-06	0.15752951727847847	0.9999999999999999
lncrna.ncrna::gencode::RP11-1007O24.3::ENSG00000261423.1	1744	2.2563988214952233e-06	2	0.03330465764421927	0.49970995352196096	2	2	0.03330465764421927	0.49970995352196096	2.0	2.0	3.0935	8.994686962056258e-06	0.31173672571325467	0.9999999999999999
lncrna.ncrna::mitranscriptome::G017367::G017367	3581	2.9238545111862138e-06	2	0.17472793541420567	0.7513484279464805	2	2	0.17472793541420567	0.7983077046931355	2.0	2.0	7.836500000000001	4.601017978243692e-06	0.3324119642266677	0.9999999999999999
lncrna.ncrna::gencode::RP11-486B10.4::ENSG00000230638.3	2294	3.197491687636093e-06	2	0.09884919523848651	0.5941246726197418	2	2	0.09884919523848651	0.6481360064942638	2.0	2.0	5.3125	7.422168175537965e-06	0.3467149408692675	0.9999999999999999
lncrna.ncrna::mitranscriptome::G010760::G010760	7067	3.3222256638160105e-06	2	0.503776339926771	0.9737921397669128	2	2	0.503776339926771	0.9737921397669128	2.0	2.0	14.915	2.7467945726822066e-06	0.40735071749906737	0.9999999999999999
lncrna.ncrna::gencode::LINC00176::ENSG00000196421.3	3893	4.071489867189849e-06	3	0.10802266774904397	0.5941246726197418	3	3	0.10802266774904397	0.6481360064942638	3.0	3.0	5.549666666666667	9.047045390140854e-06	0.4653502362782279	0.9999999999999999
lncrna.ncrna::gencode::MTHFD2P1::ENSG00000244681.1	2702	6.559188931532202e-06	4	0.040742407595861105	0.49970995352196096	4	4	0.040742407595861105	0.49970995352196096	4.0	4.0	4.285500000000001	1.8874217292685983e-05	0.499960412887309	0.9999999999999999
lncrna.ncrna::mitranscriptome::G068521::G068521	5116	4.020808305920047e-06	2	0.4358202197250718	0.9678218272124052	2	2	0.4358202197250718	0.9678218272124052	2.0	2.0	10.657	4.652632093974974e-06	0.5110305100139579	0.9999999999999999
lncrna.ncrna::mitranscriptome::G025135::G025135	1896	2.1958967352338514e-05	6	0.08368025382853204	0.5941246726197418	4	4	0.3522444193878737	0.9193941958222119	6.0	6.0	9.735833333333334	2.781372087062721e-05	0.5258843596860554	0.9999999999999999
lncrna.ncrna::gencode::RP11-30P6.6::ENSG00000234155.1	2512	5.8414749295803665e-06	2	0.2850202146328608	0.9095730396443094	2	2	0.2850202146328608	0.9193941958222119	2.0	2.0	6.874999999999999	1.0477800476870764e-05	0.5648459651039928	0.9999999999999999
lncrna.ncrna::mitranscriptome::G046537::G046537	4731	3.522810339873755e-06	2	0.3373663304890775	0.9095730396443094	2	2	0.3373663304890775	0.9193941958222119	2.0	2.0	7.372	5.892834516745211e-06	0.5959640056961809	0.9999999999999999
lncrna.ncrna::mitranscriptome::G003967::G003967	10346	1.6323800986887225e-06	2	0.34314047229067723	0.9095730396443094	2	2	0.34314047229067723	0.9193941958222119	2.0	2.0	6.8999999999999995	2.917376700651061e-06	0.6388468008738688	0.9999999999999999
lncrna.ncrna::gencode::LINC00535::ENSG00000246662.2	2187	3.958992124441252e-06	2	0.12966450302705376	0.6172895253699507	2	2	0.12966450302705376	0.6647733350137932	2.0	2.0	3.3845	1.4424820876514362e-05	0.6624971728210076	0.9999999999999999
lncrna.ncrna::mitranscriptome::G046301::G046301	4196	3.9670575417123654e-06	2	0.3368291000732338	0.9095730396443094	2	2	0.3368291000732338	0.9193941958222119	2.0	2.0	5.771000000000001	8.476913179313593e-06	0.7249897619038088	0.9999999999999999
