chr	start	end	element_ID	pvalue
chr1	226252052	226259180	gc19_pc.cds::gencode::H3F3A::ENSG00000163041.5	0.0540540540540541
chr16	66413240	66437072	gc19_pc.cds::gencode::CDH5::ENSG00000179776.13	0.0666666666666667
chr11	17757549	17803281	gc19_pc.cds::gencode::KCNC1::ENSG00000129159.6	0.111111111111111
chr1	185703911	186159010	gc19_pc.cds::gencode::HMCN1::ENSG00000143341.7	0.125
chr17	73774671	73775255	gc19_pc.cds::gencode::H3F3B::ENSG00000132475.4	0.142857142857143
chr19	3778180	3789345	gc19_pc.cds::gencode::MATK::ENSG00000007264.9	0.166666666666667
chr21	47401764	47423927	gc19_pc.cds::gencode::COL6A1::ENSG00000142156.10	0.2
chr9	94973088	95055727	gc19_pc.cds::gencode::IARS::ENSG00000196305.13	0.2
chr5	74324500	74325862	gc19_pc.cds::gencode::GCNT4::ENSG00000176928.4	0.222222222222222
chr2	176944834	176948504	gc19_pc.cds::gencode::EVX2::ENSG00000174279.4	0.25
chr16	1877230	1889307	gc19_pc.cds::gencode::FAHD1::ENSG00000180185.7	0.285714285714286
chr6	38690585	38998168	gc19_pc.cds::gencode::DNAH8::ENSG00000124721.13	0.333333333333333
chr1	20879466	20880456	gc19_pc.cds::gencode::FAM43B::ENSG00000183114.6	0.333333333333333
chr6	89967388	90024959	gc19_pc.cds::gencode::GABRR2::ENSG00000111886.9	0.333333333333333
chr7	2770814	2883795	gc19_pc.cds::gencode::GNA12::ENSG00000146535.9	0.333333333333333
chr1	61331042	61921051	gc19_pc.cds::gencode::NFIA::ENSG00000162599.11	0.333333333333333
chr4	68919626	68995538	gc19_pc.cds::gencode::TMPRSS11F::ENSG00000198092.5	0.333333333333333
chr18	77794495	77806155	gc19_pc.cds::gencode::RBFA::ENSG00000101546.8	0.375
chr4	175896676	175899139	gc19_pc.cds::gencode::ADAM29::ENSG00000168594.11	0.4
chr1	228294460	228295961	gc19_pc.cds::gencode::MRPL55::ENSG00000162910.14	0.4
chr11	2323379	2339154	gc19_pc.cds::gencode::TSPAN32::ENSG00000064201.11	0.454545454545455
chr1	159141555	159170712	gc19_pc.cds::gencode::CADM3::ENSG00000162706.8	0.5
chr14	105334787	105361295	gc19_pc.cds::gencode::CEP170B::ENSG00000099814.11	0.5
chr2	47596214	47613752	gc19_pc.cds::gencode::EPCAM::ENSG00000119888.6	0.5
chr1	1337462	1342597	gc19_pc.cds::gencode::MRPL20::ENSG00000242485.1	0.5
chr2	95753101	95787536	gc19_pc.cds::gencode::MRPS5::ENSG00000144029.7	0.5
chr13	109318271	109859184	gc19_pc.cds::gencode::MYO16::ENSG00000041515.11	0.5
chr6	108487969	108508667	gc19_pc.cds::gencode::NR2E1::ENSG00000112333.7	0.5
chr19	38229392	38264369	gc19_pc.cds::gencode::ZNF573::ENSG00000189144.9	0.5
chr11	117104988	117155867	gc19_pc.cds::gencode::RNF214::ENSG00000167257.6	0.5625
chr1	224215759	224216371	gc19_pc.cds::gencode::AC138393.1::ENSG00000269358.1	0.571428571428571
chr16	2479482	2507021	gc19_pc.cds::gencode::CCNF::ENSG00000162063.8	0.571428571428571
chr1	32674694	32681498	gc19_pc.cds::gencode::DCDC2B::ENSG00000222046.2	0.571428571428571
chr4	57164395	57193970	gc19_pc.cds::gencode::KIAA1211::ENSG00000109265.8	0.58
chr3	44959386	45000928	gc19_pc.cds::gencode::ZDHHC3::ENSG00000163812.9	0.6
chr10	49917777	50190620	gc19_pc.cds::gencode::WDFY4::ENSG00000128815.13	0.666666666666667
chr12	50721027	50790267	gc19_pc.cds::gencode::FAM186A::ENSG00000185958.5	0.714285714285714
chr1	152323085	152331360	gc19_pc.cds::gencode::FLG2::ENSG00000143520.6	0.75
chr19	45971844	45976270	gc19_pc.cds::gencode::FOSB::ENSG00000125740.9	0.75
chr6	30668241	30682952	gc19_pc.cds::gencode::MDC1::ENSG00000137337.10	0.75
chr7	36429635	36492209	gc19_pc.cds::gencode::ANLN::ENSG00000011426.6	1
chr19	45445534	45452506	gc19_pc.cds::gencode::APOC4-APOC2::ENSG00000224916.4	1
chr11	134251831	134257741	gc19_pc.cds::gencode::B3GAT1::ENSG00000109956.8	1
chr5	17275325	17276009	gc19_pc.cds::gencode::BASP1::ENSG00000176788.7	1
chr2	160176775	160335230	gc19_pc.cds::gencode::BAZ2B::ENSG00000123636.13	1
chr2	105953930	105961828	gc19_pc.cds::gencode::C2orf49::ENSG00000135974.5	1
chr15	63618483	63673919	gc19_pc.cds::gencode::CA12::ENSG00000074410.9	1
chr20	40033232	40192787	gc19_pc.cds::gencode::CHD6::ENSG00000124177.10	1
chr1	152382069	152384709	gc19_pc.cds::gencode::CRNN::ENSG00000143536.7	1
chr18	49867157	51057023	gc19_pc.cds::gencode::DCC::ENSG00000187323.7	1
chr1	38181543	38230738	gc19_pc.cds::gencode::EPHA10::ENSG00000183317.12	1
chr17	16346901	16395304	gc19_pc.cds::gencode::FAM211A::ENSG00000181350.7	1
chr6	10509324	10626840	gc19_pc.cds::gencode::GCNT2::ENSG00000111846.11	1
chr16	9857005	10274268	gc19_pc.cds::gencode::GRIN2A::ENSG00000183454.9	1
chr12	112600190	112757291	gc19_pc.cds::gencode::HECTD4::ENSG00000173064.6	1
chr1	92632541	92649887	gc19_pc.cds::gencode::KIAA1107::ENSG00000069712.9	1
chr21	46117116	46117854	gc19_pc.cds::gencode::KRTAP10-12::ENSG00000189169.6	1
chr22	21336660	21351637	gc19_pc.cds::gencode::LZTR1::ENSG00000099949.14	1
chr12	57881873	57910364	gc19_pc.cds::gencode::MARS::ENSG00000166986.8	1
chr1	11086941	11107264	gc19_pc.cds::gencode::MASP2::ENSG00000009724.12	1
chr15	37184373	37391667	gc19_pc.cds::gencode::MEIS2::ENSG00000134138.15	1
chr7	100612903	100661917	gc19_pc.cds::gencode::MUC12::ENSG00000205277.5	1
chr7	23221704	23240364	gc19_pc.cds::gencode::NUPL2::ENSG00000136243.12	1
chr17	3300759	3301704	gc19_pc.cds::gencode::OR1E1::ENSG00000180016.2	1
chr15	22368575	22369517	gc19_pc.cds::gencode::OR4M2::ENSG00000182974.2	1
chr6	166720742	166721630	gc19_pc.cds::gencode::PRR18::ENSG00000176381.4	1
chr7	157333407	158380361	gc19_pc.cds::gencode::PTPRN2::ENSG00000155093.13	1
chr10	100143554	100174892	gc19_pc.cds::gencode::PYROXD2::ENSG00000119943.6	1
chr8	42705933	42743007	gc19_pc.cds::gencode::RNF170::ENSG00000120925.9	1
chr13	23903555	23985378	gc19_pc.cds::gencode::SACS::ENSG00000151835.9	1
chr10	69644479	69676350	gc19_pc.cds::gencode::SIRT1::ENSG00000096717.7	1
chr2	55777046	55844421	gc19_pc.cds::gencode::SMEK2::ENSG00000138041.11	1
chr1	152079860	152086556	gc19_pc.cds::gencode::TCHH::ENSG00000159450.8	1
chr11	117772953	117800022	gc19_pc.cds::gencode::TMPRSS13::ENSG00000137747.10	1
chr17	16836378	16875389	gc19_pc.cds::gencode::TNFRSF13B::ENSG00000240505.4	1
chr12	113659001	113733881	gc19_pc.cds::gencode::TPCN1::ENSG00000186815.8	1
chr4	8442549	8477728	gc19_pc.cds::gencode::TRMT44::ENSG00000155275.14	1
chr19	36545873	36595930	gc19_pc.cds::gencode::WDR62::ENSG00000075702.12	1
chr19	44740868	44809060	gc19_pc.cds::gencode::ZNF235::ENSG00000159917.10	1
