binID	Length	Mu	nMut	PvalRaw	QvalRaw	nSample	nMutSample	PvalM	QvalM	nCaddAll	nCadd	fscore	MuAdj	Pval	Qval
lncrna.ncrna::gencode::RP11-20A20.2::ENSG00000269957.1	877	5.431341303732141e-06	2	0.041283231309662834	0.6786576218928849	2	2	0.041283231309662834	0.6786576218928849	2.0	2.0	12.99	4.255501904356612e-06	0.02650825852396654	0.9999999999999999
lncrna.ncrna::mitranscriptome::G008407::G008407	1142	5.33033641588941e-06	2	0.06366735977835797	0.6786576218928849	2	2	0.06366735977835797	0.6786576218928849	2.0	2.0	14.115	3.843497323076786e-06	0.03562975012145915	0.9999999999999999
lncrna.ncrna::gencode::RP11-474P2.2::ENSG00000258096.1	627	6.485902680908537e-06	2	0.031017576396040317	0.6786576218928849	2	2	0.031017576396040317	0.6786576218928849	2.0	2.0	8.1635	8.086244644843987e-06	0.04615334548025195	0.9999999999999999
lncrna.ncrna::mitranscriptome::G026054::G026054	1873	5.524031644049447e-06	2	0.15345005580350224	0.8105156891921466	2	2	0.15345005580350224	0.8809953143392898	2.0	2.0	18.729999999999997	3.001727237907922e-06	0.05541311809668171	0.9999999999999999
lncrna.ncrna::mitranscriptome::G063965::G063965	677	4.8202950065609824e-06	2	0.020687862320636272	0.6786576218928849	2	2	0.020687862320636272	0.6786576218928849	2.0	2.0	5.090999999999999	9.636589670084702e-06	0.07176823205661188	0.9999999999999999
lncrna.ncrna::gencode::CTB-118N6.3::ENSG00000248445.1	2348	3.967283305717495e-06	2	0.12990465728786466	0.8105156891921466	2	2	0.12990465728786466	0.8809953143392898	2.0	2.0	13.3	3.03594863510142e-06	0.08348941187217622	0.9999999999999999
lncrna.ncrna::mitranscriptome::G067635::G067635	1361	3.376979595250826e-06	2	0.03871615843658619	0.6786576218928849	2	2	0.03871615843658619	0.6786576218928849	2.0	2.0	6.055499999999999	5.675854760144329e-06	0.095576154348309	0.9999999999999999
lncrna.ncrna::gencode::RP1-179N16.6::ENSG00000246982.2	1362	4.141259268276636e-06	2	0.055727813323804436	0.6786576218928849	2	2	0.055727813323804436	0.6786576218928849	2.0	2.0	6.8454999999999995	6.157155072556315e-06	0.109510444540504	0.9999999999999999
lncrna.ncrna::gencode::RP4-657D16.3::ENSG00000266993.1	1573	3.1742756248988603e-06	2	0.04491323832119693	0.6786576218928849	2	2	0.04491323832119693	0.6786576218928849	2.0	2.0	4.726	6.836026893399281e-06	0.16294550794118465	0.9999999999999999
lncrna.ncrna::gencode::ZEB1-AS1::ENSG00000237036.4	3503	3.734826891117066e-06	2	0.21895548375652388	0.8898198623092942	2	2	0.21895548375652388	0.9033019814351927	2.0	2.0	10.709	3.549559040222149e-06	0.2031465953789738	0.9999999999999999
lncrna.ncrna::mitranscriptome::G017171::G017171	3542	4.2815670712402045e-06	2	0.27015483675154095	0.8898198623092942	2	2	0.27015483675154095	0.9033019814351927	2.0	2.0	10.9205	3.990369149626095e-06	0.24474199248801834	0.9999999999999999
lncrna.ncrna::gencode::MIR7-3HG::ENSG00000176840.7	1012	4.570530396536362e-06	3	0.003938710364171589	0.5041549266139634	2	2	0.03916144976695226	0.6786576218928849	3.0	3.0	3.316666666666667	1.402547638390187e-05	0.24621619259640232	0.9999999999999999
lncrna.ncrna::gencode::CASC7::ENSG00000259758.1	9346	3.1964887082229127e-06	3	0.32375224312198775	0.8898198623092942	3	3	0.32375224312198775	0.9033019814351927	3.0	3.0	11.679333333333332	2.785530811889959e-06	0.25450062010975805	0.9999999999999999
lncrna.ncrna::mitranscriptome::G018803::G018803	1353	4.87042997280929e-06	2	0.07301529060818018	0.6786576218928849	2	2	0.07301529060818018	0.6786576218928849	2.0	2.0	4.555	1.088257747892625e-05	0.2592809509139668	0.9999999999999999
lncrna.ncrna::mitranscriptome::G082582::G082582	1501	5.3701458541789545e-06	2	0.10258601368250479	0.8105156891921466	2	2	0.10258601368250479	0.8206881094600383	2.0	2.0	5.4655	1.0000207889674543e-05	0.26633468446245206	0.9999999999999999
lncrna.ncrna::mitranscriptome::G024286::G024286	3616	4.790251199178463e-06	2	0.32306770892375125	0.8898198623092942	2	2	0.32306770892375125	0.9033019814351927	2.0	2.0	11.5475	4.222047966981476e-06	0.2726589639901469	0.9999999999999999
lncrna.ncrna::gencode::CTC-297N7.5::ENSG00000263400.2	1883	3.533338205207456e-06	2	0.07422817739453429	0.6786576218928849	2	2	0.07422817739453429	0.6786576218928849	2.0	2.0	4.3635	8.241439498454294e-06	0.2788599665630873	0.9999999999999999
lncrna.ncrna::gencode::PLK1S1::ENSG00000088970.11	4736	4.416698334215997e-06	2	0.40867545937662614	0.8898198623092942	2	2	0.40867545937662614	0.9033019814351927	2.0	2.0	13.33	3.372255205440752e-06	0.28999334849366804	0.9999999999999999
lncrna.ncrna::gencode::AC016629.8::ENSG00000267858.1	1698	3.23955745074383e-06	2	0.053323965951920106	0.6786576218928849	2	2	0.053323965951920106	0.6786576218928849	2.0	2.0	3.4734999999999996	9.492295043398384e-06	0.2936049299073174	0.9999999999999999
lncrna.ncrna::gencode::AIRN::ENSG00000268257.2	4266	4.560244173310869e-06	3	0.14367502194354734	0.8105156891921466	3	3	0.14367502194354734	0.8809953143392898	3.0	3.0	6.901666666666667	6.7249175282809505e-06	0.3022570857512237	0.9999999999999999
lncrna.ncrna::mitranscriptome::G037120::G037120	3806	4.732184894108304e-06	2	0.3397991452891231	0.8898198623092942	2	2	0.3397991452891231	0.9033019814351927	2.0	2.0	10.969000000000001	4.390839010906476e-06	0.3081673338248076	0.9999999999999999
lncrna.ncrna::gencode::LINC00936::ENSG00000271614.1	3159	4.855284973956719e-06	3	0.08545382979610594	0.729206014260104	3	3	0.08545382979610594	0.729206014260104	3.0	3.0	5.321333333333333	9.286394016376664e-06	0.31398448738836937	0.9999999999999999
lncrna.ncrna::mitranscriptome::G089669::G089669	1177	4.8456990061475676e-06	2	0.05682455430302596	0.6786576218928849	2	2	0.05682455430302596	0.6786576218928849	2.0	2.0	3.312	1.4890831582818105e-05	0.32805649545004434	0.9999999999999999
lncrna.ncrna::mitranscriptome::G089694::G089694	5852	3.6329545603138805e-06	2	0.416569593847408	0.8898198623092942	2	2	0.416569593847408	0.9033019814351927	2.0	2.0	11.5765	3.1940045868871084e-06	0.3561943398544743	0.9999999999999999
lncrna.ncrna::gencode::CASP8AP2::ENSG00000118412.8	9513	3.260611501563886e-06	4	0.1572594266213262	0.8105156891921466	4	4	0.1572594266213262	0.8809953143392898	4.0	4.0	6.94525	4.778196641637002e-06	0.3629572847422654	0.9999999999999999
lncrna.ncrna::gencode::LEF1-AS1::ENSG00000232021.2	4436	3.293873637911359e-06	2	0.2565084027455582	0.8898198623092942	2	2	0.2565084027455582	0.9033019814351927	2.0	2.0	7.213000000000001	4.647761647732327e-06	0.40171908150764807	0.9999999999999999
lncrna.ncrna::gencode::NEFL::ENSG00000104725.9	4082	5.167587758637992e-06	2	0.4127519679726659	0.8898198623092942	2	2	0.4127519679726659	0.9033019814351927	2.0	2.0	10.2835	5.114459619795964e-06	0.40774431216123525	0.9999999999999999
lncrna.ncrna::mitranscriptome::G035975::G035975	1976	5.513462435441098e-06	2	0.16627548645842224	0.818587010256848	2	2	0.16627548645842224	0.8868025944449186	2.0	2.0	5.188000000000001	1.0816264483205767e-05	0.41915985101019704	0.9999999999999999
lncrna.ncrna::mitranscriptome::G043939::G043939	5769	4.860649795578417e-06	2	0.5601832608731836	0.8938793217679024	2	2	0.5601832608731836	0.9039511529243008	2.0	2.0	13.2575	3.731518006652319e-06	0.4226869569591984	0.9999999999999999
lncrna.ncrna::gencode::BDNF-AS::ENSG00000245573.3	2938	5.3577767188349706e-06	2	0.2843385851129997	0.8898198623092942	2	2	0.2843385851129997	0.9033019814351927	2.0	2.0	7.4415	7.327856741858577e-06	0.4227355560759802	0.9999999999999999
lncrna.ncrna::gencode::ERVK3-1::ENSG00000142396.6	4862	3.2705531123851707e-06	2	0.28828231431678425	0.8898198623092942	2	2	0.28828231431678425	0.9033019814351927	2.0	2.0	7.212	4.615495521825566e-06	0.443351129039379	0.9999999999999999
lncrna.ncrna::mitranscriptome::G037531::G037531	4612	4.800625932142008e-06	2	0.43660800927658316	0.8898198623092942	2	2	0.43660800927658316	0.9033019814351927	2.0	2.0	9.689	5.042800144133206e-06	0.4614767640642648	0.9999999999999999
lncrna.ncrna::mitranscriptome::G019474::G019474	1380	4.403410757603389e-06	2	0.06347602901816898	0.6786576218928849	2	2	0.06347602901816898	0.6786576218928849	2.0	2.0	2.6029999999999998	1.7217412187271163e-05	0.47245726445730224	0.9999999999999999
lncrna.ncrna::gencode::RP11-294O2.2::ENSG00000248771.1	3164	4.32383379697653e-06	2	0.23359731668169106	0.8898198623092942	2	2	0.23359731668169106	0.9033019814351927	2.0	2.0	5.668	7.76411565332089e-06	0.48976806523954175	0.9999999999999999
lncrna.ncrna::mitranscriptome::G025356::G025356	5735	4.426601067480739e-06	2	0.5070342114173554	0.8938793217679024	2	2	0.5070342114173554	0.9039511529243008	2.0	2.0	10.408	4.328684634855764e-06	0.49526391706106054	0.9999999999999999
lncrna.ncrna::mitranscriptome::G027997::G027997	3872	2.499376427162134e-06	2	0.13808102611025677	0.8105156891921466	2	2	0.13808102611025677	0.8809953143392898	2.0	2.0	3.854	6.600438743113671e-06	0.5105692096996111	0.9999999999999999
lncrna.ncrna::mitranscriptome::G016609::G016609	6667	4.529678535609618e-06	4	0.1471153607535958	0.8105156891921466	2	2	0.6002800624887935	0.9039511529243008	4.0	4.0	11.961749999999999	3.8541224283875e-06	0.5134313124037035	0.9999999999999999
lncrna.ncrna::mitranscriptome::G060458::G060458	4887	4.487810858579568e-06	2	0.4318949206656893	0.8898198623092942	2	2	0.4318949206656893	0.9033019814351927	2.0	2.0	8.2925	5.5081011951980296e-06	0.5382079278870493	0.9999999999999999
lncrna.ncrna::mitranscriptome::G017079::G017079	3905	3.5248654140278238e-06	2	0.23566039720414697	0.8898198623092942	2	2	0.23566039720414697	0.9033019814351927	2.0	2.0	4.856	7.387826830571878e-06	0.5755325060528687	0.9999999999999999
