binID	Length	Mu	nMut	PvalRaw	QvalRaw	nSample	nMutSample	PvalM	QvalM	nEigenAll	nEigen	fscore	MuAdj	Pval	Qval
gc19_pc.5utr::gencode::DTL::ENSG00000143476.13	314	0.0005978861998046879	3	0.000950687363883223	0.1417287926878914	3	3	0.000950687363883223	0.1663091872440483	3.0	3.0	36.44833333333333	0.0002772766625421668	0.00010213794886701072	0.03738248928532593
gc19_pc.5utr::gencode::FZD1::ENSG00000157240.2	413	0.0006795066978431678	3	0.0029716092633077862	0.1417287926878914	3	3	0.0029716092633077862	0.1663091872440483	3.0	3.0	23.29903333333333	0.0004929788666691575	0.0012009121858147943	0.21976693000410735
gc19_pc.5utr::gencode::RABGGTB::ENSG00000137955.11	273	0.00031987881015859153	2	0.0035864272234406936	0.1417287926878914	2	2	0.0035864272234406936	0.1663091872440483	2.0	2.0	15.74085	0.00034350238311203665	0.004118229413794386	0.3502737643709045
gc19_pc.5utr::gencode::S100A4::ENSG00000196154.7	375	0.0004076280711973636	2	0.010535462046466961	0.1417287926878914	2	2	0.010535462046466961	0.1663091872440483	2.0	2.0	22.46725	0.000306680829292551	0.006113376966734286	0.3502737643709045
gc19_pc.5utr::gencode::TMEM45A::ENSG00000181458.6	632	0.0003757786561254848	2	0.024083024382334863	0.14690644873224268	2	2	0.024083024382334863	0.1663091872440483	2.0	2.0	33.9076	0.00018733008086050065	0.006470358216577854	0.3502737643709045
gc19_pc.5utr::gencode::RP1-170O19.20::ENSG00000257184.2	358	0.0008011389593864148	2	0.033988432920799845	0.16041780621433904	2	2	0.033988432920799845	0.1733808612619624	1.0	1.0	37.7728	0.0003585098858148553	0.007546815266575985	0.3502737643709045
gc19_pc.5utr::gencode::SOX4::ENSG00000124766.4	768	0.0003614826055037635	2	0.03206694151091789	0.16041780621433904	2	2	0.03206694151091789	0.1733808612619624	2.0	2.0	36.298	0.00016833606483027916	0.0076620822808191906	0.3502737643709045
gc19_pc.5utr::gencode::RPL27::ENSG00000131469.8	624	0.00027895234546574765	3	0.000768631004976369	0.1417287926878914	2	2	0.013484277350464785	0.1663091872440483	1.0	1.0	19.3368	0.0002438472571378991	0.010452977164344998	0.3502737643709045
gc19_pc.5utr::gencode::EDEM3::ENSG00000116406.14	267	0.0012516274085727997	2	0.04472853591722039	0.16041780621433904	2	2	0.04472853591722039	0.1733808612619624	2.0	2.0	35.4932	0.0005960770094372	0.011363876719901219	0.3502737643709045
gc19_pc.5utr::gencode::CYLD::ENSG00000083799.13	502	0.0003632631597066858	2	0.01471501126267725	0.1417287926878914	2	2	0.01471501126267725	0.1663091872440483	2.0	2.0	19.084	0.00032175433818059697	0.011702819191837542	0.3502737643709045
gc19_pc.5utr::gencode::CCDC97::ENSG00000142039.3	337	0.0006435740514243378	2	0.02033601403428609	0.14690644873224268	2	2	0.02033601403428609	0.1663091872440483	2.0	2.0	21.8951	0.0004968485824439231	0.012517702180498436	0.3502737643709045
gc19_pc.5utr::gencode::C1orf21::ENSG00000116667.8	435	0.0007375534792059272	2	0.0416192884459744	0.16041780621433904	2	2	0.0416192884459744	0.1733808612619624	2.0	2.0	29.691000000000003	0.00041989543576561987	0.014756536175214172	0.3502737643709045
gc19_pc.5utr::gencode::HDGF::ENSG00000143321.14	387	0.000555737542759662	2	0.02002650577573223	0.14690644873224268	2	2	0.02002650577573223	0.1663091872440483	1.0	1.0	19.7769	0.0004749894698707709	0.014930939895775687	0.3502737643709045
gc19_pc.5utr::gencode::HOXA10::ENSG00000253293.3	606	0.0006802374723972999	2	0.06480461209677793	0.18824196847159305	2	2	0.06480461209677793	0.1976540668951727	1.0	1.0	37.7728	0.0003044064399800517	0.015041027389790646	0.3502737643709045
gc19_pc.5utr::gencode::PDGFA::ENSG00000197461.9	699	0.00043020039358943307	2	0.03706075065802068	0.16041780621433904	2	2	0.03706075065802068	0.1733808612619624	1.0	1.0	27.4009	0.0002653862626948394	0.01520249527912579	0.3502737643709045
gc19_pc.5utr::gencode::PBX4::ENSG00000105717.9	286	0.0005184407192348695	2	0.009935842006138276	0.1417287926878914	2	2	0.009935842006138276	0.1663091872440483	2.0	2.0	12.7131	0.0006893187696918723	0.017013471085869716	0.3502737643709045
gc19_pc.5utr::gencode::ZNF677::ENSG00000197928.6	395	0.00034894333648260745	2	0.008651505906023364	0.1417287926878914	2	2	0.008651505906023364	0.1663091872440483	2.0	2.0	11.754950000000001	0.0005017721883071878	0.01719669471785625	0.3502737643709045
gc19_pc.5utr::gencode::CTPS1::ENSG00000171793.9	642	0.0005316111268549261	2	0.046498886186171165	0.16041780621433904	2	2	0.046498886186171165	0.1733808612619624	2.0	2.0	27.706699999999998	0.0003243259679421992	0.018868901776140555	0.3502737643709045
gc19_pc.5utr::gencode::ATP6V0D1::ENSG00000159720.7	364	0.000559663511210026	3	0.001201876344516619	0.1417287926878914	2	2	0.018099284377806293	0.1663091872440483	3.0	3.0	16.452433333333335	0.0005750019480249995	0.01903556011675032	0.3502737643709045
gc19_pc.5utr::gencode::COL1A2::ENSG00000164692.13	471	0.0005714442119809707	2	0.030290120078754673	0.15891887644956976	2	2	0.030290120078754673	0.1733808612619624	2.0	2.0	21.259349999999998	0.0004543560540437922	0.019848485236451958	0.3502737643709045
gc19_pc.5utr::gencode::SOS1::ENSG00000115904.8	274	0.0007119661110605047	2	0.01667918139923816	0.14690644873224268	2	2	0.01667918139923816	0.1663091872440483	2.0	2.0	14.96725	0.0008040624339018989	0.02092691458144884	0.3502737643709045
gc19_pc.5utr::gencode::FMO1::ENSG00000010932.11	230	0.0006487390301425151	2	0.010048558322838061	0.1417287926878914	2	2	0.010048558322838061	0.1663091872440483	2.0	2.0	11.13904	0.000984452410254529	0.022005276106958377	0.3502737643709045
gc19_pc.5utr::gencode::LRRD1::ENSG00000240720.3	628	0.00027353708288190427	2	0.013152358676057605	0.1417287926878914	2	2	0.013152358676057605	0.1663091872440483	2.0	2.0	12.64805	0.0003655654136976294	0.02262036336685549	0.3502737643709045
gc19_pc.5utr::gencode::KNG1::ENSG00000113889.7	267	0.0006512468321415874	2	0.013434982671230049	0.1417287926878914	2	2	0.013434982671230049	0.1663091872440483	1.0	1.0	12.6869	0.0008676859594932649	0.022968771434157674	0.3502737643709045
gc19_pc.5utr::gencode::DNAJB9::ENSG00000128590.4	544	0.0009122060558423409	2	0.08899640932947823	0.227551640773236	2	2	0.08899640932947823	0.2356208478928543	2.0	2.0	34.8626	0.0004422884934413078	0.024663984681122717	0.3532418836323349
gc19_pc.5utr::gencode::CLDN7::ENSG00000181885.14	1052	0.0002879697436088055	3	0.0036901817051419893	0.1417287926878914	2	2	0.03757041672103156	0.1733808612619624	2.0	2.0	20.3084	0.00023968652212917358	0.02690144986440858	0.3532418836323349
gc19_pc.5utr::gencode::C20orf166::ENSG00000174407.7	714	0.0008203717344929288	3	0.021675132633724583	0.14690644873224268	3	3	0.021675132633724583	0.1663091872440483	3.0	3.0	15.341433333333335	0.0009038933978525063	0.027768322774628738	0.3532418836323349
gc19_pc.5utr::gencode::NPIPA8::ENSG00000214940.4	288	0.00047031197681214994	2	0.008361513002429065	0.1417287926878914	2	2	0.008361513002429065	0.1663091872440483	2.0	2.0	8.820105000000002	0.0009013319086731899	0.028324677450480708	0.3532418836323349
gc19_pc.5utr::gencode::CNP::ENSG00000173786.12	532	0.0006184235978515833	2	0.04354558702180939	0.16041780621433904	2	2	0.04354558702180939	0.1733808612619624	2.0	2.0	21.322249999999997	0.0004902588982142875	0.028602693422256846	0.3532418836323349
gc19_pc.5utr::gencode::TMEM205::ENSG00000105518.9	773	0.000348739052113875	2	0.030394320632431374	0.15891887644956976	2	2	0.030394320632431374	0.1733808612619624	2.0	2.0	17.3181	0.00034038687253861095	0.029077681966637736	0.3532418836323349
gc19_pc.5utr::gencode::INHBA::ENSG00000122641.9	319	0.0005401120301983307	2	0.013210827888199527	0.1417287926878914	2	2	0.013210827888199527	0.1663091872440483	2.0	2.0	10.818109999999999	0.0008439270754551932	0.03028245659808741	0.3532418836323349
gc19_pc.5utr::gencode::AHR::ENSG00000106546.8	642	0.00047813554145707034	2	0.0384588734076819	0.16041780621433904	2	2	0.0384588734076819	0.1733808612619624	2.0	2.0	19.07775	0.0004236393929050387	0.030884536273865344	0.3532418836323349
gc19_pc.5utr::gencode::MARK1::ENSG00000116141.11	558	0.00036991987944078535	2	0.018562330074829658	0.14690644873224268	2	2	0.018562330074829658	0.1663091872440483	2.0	2.0	12.4461	0.0005023967805293954	0.03262992815248064	0.36189556678205803
gc19_pc.5utr::gencode::BLOC1S6::ENSG00000104164.6	688	0.001234666580286718	3	0.05468423762394955	0.1710635125672268	3	3	0.05468423762394955	0.1836186327556471	2.0	2.0	20.352899999999998	0.001025406006345889	0.03472998212597748	0.3738580428855222
gc19_pc.5utr::gencode::PRKCB::ENSG00000166501.8	334	0.0009269580178237262	2	0.0390217041792041	0.16041780621433904	2	2	0.0390217041792041	0.1733808612619624	2.0	2.0	17.4283	0.0008990368666826634	0.03692815341295472	0.3856958927351238
gc19_pc.5utr::gencode::NBR1::ENSG00000188554.9	567	0.0008011558166952744	2	0.07660022079149954	0.20345623654015477	2	2	0.07660022079149954	0.21270424729197995	2.0	2.0	25.20265	0.0005373326677824895	0.03793730092476627	0.3856958927351238
gc19_pc.5utr::gencode::U2AF2::ENSG00000063244.8	909	0.0004790701352034658	2	0.07127079368504559	0.1991229808299747	2	2	0.07127079368504559	0.20868088390981349	2.0	2.0	23.585900000000002	0.000343335814258299	0.0396343187911861	0.3920583966911922
gc19_pc.5utr::gencode::ATG4B::ENSG00000168397.12	723	0.0008040859107268796	3	0.021259497795333197	0.14690644873224268	3	3	0.021259497795333197	0.1663091872440483	3.0	2.0	12.861500000000001	0.0010567768555776011	0.04230493106462915	0.39403011003361166
gc19_pc.5utr::gencode::C11orf31::ENSG00000211450.5	243	0.0003882786507721824	2	0.004165700664874865	0.1417287926878914	2	2	0.004165700664874865	0.1663091872440483	2.0	2.0	4.85036	0.001353137721333434	0.043442370343224776	0.39403011003361166
gc19_pc.5utr::gencode::MRPS33::ENSG00000090263.11	437	0.0007736712712890682	2	0.04570565156420792	0.16041780621433904	2	2	0.04570565156420792	0.1733808612619624	2.0	2.0	17.243699999999997	0.000758400262858504	0.04410864311734325	0.39403011003361166
gc19_pc.5utr::gencode::WDR7::ENSG00000091157.9	586	0.0005655024143350534	2	0.04411532949983335	0.16041780621433904	2	2	0.04411532949983335	0.1733808612619624	2.0	2.0	16.89805	0.0005656793633922403	0.04413998500376524	0.39403011003361166
gc19_pc.5utr::gencode::SEZ6::ENSG00000063015.15	514	0.0006922772132361064	2	0.05006122589985189	0.16503145175726416	2	2	0.05006122589985189	0.17772617881551528	2.0	2.0	17.63615	0.0006635118990760101	0.04642788520107526	0.4025124628262674
gc19_pc.5utr::gencode::RBM15::ENSG00000162775.10	900	0.0011049830153304894	2	0.26221100798919394	0.35818474041661563	2	2	0.26221100798919394	0.3720678698901279	2.0	2.0	48.796350000000004	0.00038277249917051046	0.04728971557794945	0.4025124628262674
gc19_pc.5utr::gencode::STAG3::ENSG00000066923.13	546	0.0008973518550564986	2	0.08710412059697943	0.2245078037922146	2	2	0.08710412059697943	0.2344125598418711	2.0	2.0	23.40665	0.0006480312758242243	0.04956578951980527	0.4122972491874711
gc19_pc.5utr::gencode::PRKCSH::ENSG00000130175.5	664	0.0005090489546846041	2	0.04570611003841143	0.16041780621433904	2	2	0.04570611003841143	0.1733808612619624	2.0	2.0	15.58402	0.0005521442018847556	0.05278911708398151	0.429351485616383
gc19_pc.5utr::gencode::TF::ENSG00000091513.10	479	0.0005198677298371272	2	0.026269923366815075	0.15206748917062057	2	2	0.026269923366815075	0.17074244398104765	2.0	2.0	10.879335000000001	0.0008077239732755523	0.058009181988774396	0.4301309591702404
gc19_pc.5utr::gencode::IRF9::ENSG00000213928.4	287	0.00038818991443630347	2	0.005746697736394681	0.1417287926878914	2	2	0.005746697736394681	0.1663091872440483	2.0	2.0	4.85036	0.001352828478259956	0.05832342465655307	0.4301309591702404
gc19_pc.5utr::gencode::POT1::ENSG00000128513.10	598	0.0005130649486590606	2	0.03842223299637193	0.16041780621433904	2	2	0.03842223299637193	0.1733808612619624	2.0	2.0	13.154	0.0006593059135323305	0.05996772896757121	0.4301309591702404
gc19_pc.5utr::gencode::PSMG4::ENSG00000180822.7	411	0.00044377042675455874	2	0.01471479464648701	0.1417287926878914	2	2	0.01471479464648701	0.1663091872440483	1.0	1.0	7.81503	0.0009598429303472075	0.060004764863368115	0.4301309591702404
gc19_pc.5utr::gencode::ADK::ENSG00000156110.9	264	0.0009631503773450672	3	0.002245962273879286	0.1417287926878914	3	3	0.002245962273879286	0.1663091872440483	3.0	3.0	4.85036	0.003356545883504735	0.060288790311780624	0.4301309591702404
gc19_pc.5utr::gencode::PPIG::ENSG00000138398.11	429	0.0007532258450683662	2	0.04215421661168197	0.16041780621433904	2	2	0.04215421661168197	0.1733808612619624	2.0	2.0	13.589325	0.0009369141346544664	0.06199639455033509	0.4301309591702404
gc19_pc.5utr::gencode::GIMAP8::ENSG00000171115.3	574	0.000619244815385011	3	0.005724500692855937	0.1417287926878914	3	3	0.005724500692855937	0.1663091872440483	3.0	3.0	6.698266666666666	0.0015626884730743332	0.06221952501660818	0.4301309591702404
gc19_pc.5utr::gencode::ESD::ENSG00000139684.9	248	0.0004670029444588784	2	0.0061894236264402915	0.1417287926878914	2	2	0.0061894236264402915	0.1663091872440483	2.0	2.0	4.85036	0.0016274891726969086	0.06239334895123752	0.4301309591702404
