binID	Length	Mu	nMut	PvalRaw	QvalRaw	nSample	nMutSample	PvalM	QvalM	nCaddAll	nCadd	fscore	MuAdj	Pval	Qval
gc19_pc.promCore::gencode::TERT::ENSG00000164362.14	252	0.0005534511015811086	37	8.893942604759484e-77	1.7165309227185803e-74	37	37	8.893942604759484e-77	1.7165309227185803e-74	37.0	37.0	6.024837837837839	0.0011693519372971287	8.186540195199156e-65	1.580002257673437e-62
gc19_pc.promCore::gencode::UBE2D1::ENSG00000072401.10	400	0.00017203011352588218	2	0.002256543907564942	0.06282943150956413	2	2	0.002256543907564942	0.08710259483200677	1.0	1.0	16.06	0.000136354752809945	0.001431085986519225	0.13809979769910521
gc19_pc.promCore::gencode::KHDRBS2::ENSG00000112232.8	400	0.0002439312189002451	2	0.004451849155602384	0.08592068870312602	2	2	0.004451849155602384	0.11566790337524051	2.0	2.0	15.64	0.00019853724111193536	0.0029845767763516974	0.16041826716570556
gc19_pc.promCore::gencode::MARCKS::ENSG00000155130.5	400	0.00022330295710356002	2	0.0037510559923605367	0.08043931183617596	2	2	0.0037510559923605367	0.11566790337524051	2.0	2.0	13.545	0.00020985861885934048	0.0033247309257141053	0.16041826716570556
gc19_pc.promCore::gencode::ERO1LB::ENSG00000086619.9	809	0.00013717934134918912	2	0.0057148158918287	0.09364157011654956	2	2	0.0057148158918287	0.11566790337524051	2.0	2.0	14.267	0.00012239604862301134	0.004585468419441586	0.17699908099044523
gc19_pc.promCore::gencode::GPR157::ENSG00000180758.10	184	0.0002692828609548949	2	0.0011816646945981054	0.04561398067515645	2	2	0.0011816646945981054	0.05701747584394556	2.0	2.0	5.747999999999999	0.0005963528494302948	0.005571304890655964	0.1792103073161002
gc19_pc.promCore::gencode::GALNTL5::ENSG00000106648.9	410	0.0004937935130430175	3	0.0011817093439159701	0.04561398067515645	3	3	0.0011817093439159701	0.05701747584394556	3.0	3.0	5.973333333333333	0.001052300980627415	0.009669562192479022	0.2036605419626943
gc19_pc.promCore::gencode::LAMP2::ENSG00000005893.11	694	0.0002420800832631263	2	0.01261292231434756	0.10445263234411657	2	2	0.01261292231434756	0.11659828726785107	2.0	2.0	14.2	0.00021701115633084267	0.010252223185998834	0.2036605419626943
gc19_pc.promCore::gencode::CIB4::ENSG00000157884.6	340	0.00035574169491065465	2	0.006734039866793891	0.09997459186855545	2	2	0.006734039866793891	0.11659828726785107	2.0	2.0	9.959	0.0004547056838402629	0.010761947549049335	0.2036605419626943
gc19_pc.promCore::gencode::CYYR1::ENSG00000166265.7	220	0.0008195230940397528	2	0.01437492287396213	0.10445263234411657	2	2	0.01437492287396213	0.11659828726785107	2.0	2.0	14.2905	0.0007300037945193682	0.011553308236522666	0.2036605419626943
gc19_pc.promCore::gencode::TPTE::ENSG00000166157.12	432	0.0011644897186358768	5	0.00017373156101197184	0.014418371252600566	5	5	0.00017373156101197184	0.016765095637655283	5.0	5.0	4.761799999999999	0.0031129765788935684	0.012038076320495302	0.2036605419626943
gc19_pc.promCore::gencode::IFT81::ENSG00000122970.11	309	0.0005545487339276222	2	0.013074030339698258	0.10445263234411657	2	2	0.013074030339698258	0.11659828726785107	2.0	2.0	12.715	0.0005551811331916372	0.013102193931074773	0.2036605419626943
gc19_pc.promCore::gencode::ALOXE3::ENSG00000179148.5	625	0.00027205921170080755	2	0.01290127160436093	0.10445263234411657	2	2	0.01290127160436093	0.11659828726785107	2.0	2.0	12.0045	0.0002884899608767903	0.014409414909819169	0.2036605419626943
gc19_pc.promCore::gencode::PHOX2B::ENSG00000109132.5	685	0.00033589506667897913	2	0.022716127697802915	0.10445263234411657	2	2	0.022716127697802915	0.11659828726785107	2.0	2.0	15.86	0.0002695949717080747	0.015074234108247063	0.2036605419626943
gc19_pc.promCore::gencode::B3GNT8::ENSG00000177191.2	394	0.0002888787800737328	3	0.00022411976040311762	0.014418371252600566	2	2	0.005993155615297435	0.11566790337524051	3.0	3.0	7.144666666666667	0.0005146891524141897	0.01794809190340139	0.2036605419626943
gc19_pc.promCore::gencode::SPOCK3::ENSG00000196104.6	908	0.0002357416539457599	2	0.019872277483568027	0.10445263234411657	2	2	0.019872277483568027	0.11659828726785107	2.0	2.0	13.1995	0.00022734750436778287	0.018574563625259603	0.2036605419626943
gc19_pc.promCore::gencode::DHRS1::ENSG00000157379.9	688	0.00021869668960598762	2	0.01023369507536662	0.10445263234411657	2	2	0.01023369507536662	0.11659828726785107	2.0	2.0	9.120000000000001	0.00030525213929160293	0.019174822118310612	0.2036605419626943
gc19_pc.promCore::gencode::BACH2::ENSG00000112182.10	531	0.0004401171880981883	2	0.023373190320693706	0.10445263234411657	2	2	0.023373190320693706	0.11659828726785107	2.0	2.0	14.1195	0.0003967896700234347	0.019284835869019794	0.2036605419626943
gc19_pc.promCore::gencode::CD9::ENSG00000010278.7	1089	0.00018900176483852888	2	0.018475056325084473	0.10445263234411657	2	2	0.018475056325084473	0.11659828726785107	2.0	2.0	11.5855	0.00020766457774908746	0.02200956896268824	0.2036605419626943
gc19_pc.promCore::gencode::A4GNT::ENSG00000118017.3	394	0.0005403329944255647	2	0.019651264193760114	0.10445263234411657	2	2	0.019651264193760114	0.11659828726785107	2.0	2.0	11.850000000000001	0.0005804361900877826	0.0224443811728893	0.2036605419626943
gc19_pc.promCore::gencode::NEDD4L::ENSG00000049759.12	2967	0.00019616083314010104	4	0.003010909091300971	0.07263818182763593	3	3	0.021362193138447515	0.11659828726785107	4.0	4.0	12.177999999999999	0.0002050442868662273	0.023935466770508052	0.2036605419626943
gc19_pc.promCore::gencode::PIGA::ENSG00000165195.9	411	0.00038471927945921434	2	0.011236223237914601	0.10445263234411657	2	2	0.011236223237914601	0.11659828726785107	2.0	2.0	8.4865	0.0005770675859159923	0.024009256236995086	0.2036605419626943
gc19_pc.promCore::gencode::PALM2::ENSG00000243444.3	1218	0.00019937607440460826	2	0.02510565325380653	0.10445263234411657	2	2	0.02510565325380653	0.11659828726785107	2.0	2.0	12.7875	0.0001984717684561846	0.02489630105900969	0.2036605419626943
gc19_pc.promCore::gencode::PLAU::ENSG00000122861.11	842	0.00029354283912633216	2	0.0259276881113262	0.10445263234411657	2	2	0.0259276881113262	0.11659828726785107	2.0	2.0	12.6225	0.0002960311800878308	0.026333168105676746	0.2036605419626943
gc19_pc.promCore::gencode::MPPED2::ENSG00000066382.12	1095	0.00029245520410056425	2	0.04151557479358682	0.11165780581169484	2	2	0.04151557479358682	0.11963336336967303	2.0	2.0	16.34	0.00022783405878813538	0.026380899217965582	0.2036605419626943
gc19_pc.promCore::gencode::MSI2::ENSG00000153944.6	1368	0.00021270922366125732	2	0.03493785463890893	0.11165780581169484	2	2	0.03493785463890893	0.11963336336967303	2.0	2.0	13.437	0.0002015094189622665	0.03166927224997423	0.2077033622969932
gc19_pc.promCore::gencode::PDCD2::ENSG00000071994.6	539	0.0003508125725329653	2	0.01575333793329275	0.10445263234411657	2	2	0.01575333793329275	0.11659828726785107	2.0	2.0	8.535499999999999	0.0005231877033634094	0.03298076871358469	0.2077033622969932
gc19_pc.promCore::gencode::MLEC::ENSG00000110917.3	996	0.0002473634372895572	2	0.025778930169157208	0.10445263234411657	2	2	0.025778930169157208	0.11659828726785107	2.0	2.0	11.0795	0.00028420171262037264	0.03322621754615584	0.2077033622969932
gc19_pc.promCore::gencode::ZMYM3::ENSG00000147130.10	1383	0.0002250790145654355	2	0.039459230091754297	0.11165780581169484	2	2	0.039459230091754297	0.11963336336967303	2.0	2.0	13.96	0.00020523949254374715	0.03339904858628159	0.2077033622969932
gc19_pc.promCore::gencode::RBM47::ENSG00000163694.10	2764	0.00021792293964412518	3	0.02333185134706292	0.10445263234411657	3	3	0.02333185134706292	0.11659828726785107	3.0	3.0	10.841666666666667	0.00025586933683626975	0.03500583396692216	0.2077033622969932
gc19_pc.promCore::gencode::BMF::ENSG00000104081.9	1281	0.00032698307520695924	3	0.008961453134321134	0.10445263234411657	2	2	0.06665444585079493	0.1383258930021873	3.0	3.0	18.263333333333332	0.00022790642758789854	0.03514614551096185	0.2077033622969932
gc19_pc.promCore::gencode::ZNF207::ENSG00000010244.12	810	0.00036457787165603337	2	0.03587103551632809	0.11165780581169484	2	2	0.03587103551632809	0.11963336336967303	2.0	2.0	12.672500000000001	0.00036621771688660293	0.036163287178020205	0.2077033622969932
gc19_pc.promCore::gencode::NONO::ENSG00000147140.11	1518	0.00020847499600049713	2	0.04064851975531465	0.11165780581169484	2	2	0.04064851975531465	0.11963336336967303	2.0	2.0	13.5	0.00019657647863617243	0.03656679764615256	0.2077033622969932
