binID	Length	Mu	nMut	PvalRaw	QvalRaw	nSample	nMutSample	PvalM	QvalM	nCaddAll	nCadd	fscore	MuAdj	Pval	Qval
lncrna.ncrna::gencode::RP11-180P8.3::ENSG00000266411.1	912	1.7145861190254216e-06	2	0.0016969638057316649	0.38860471151255127	2	2	0.0016969638057316649	0.38860471151255127	2.0	2.0	9.1645	2.228353912299e-06	0.0028326763990667563	0.6200362062686624
lncrna.ncrna::gencode::RP11-524K22.1::ENSG00000233470.1	285	1.1765615485603342e-05	2	0.007459802518361881	0.569431592234957	2	2	0.007459802518361881	0.8541473883524354	2.0	2.0	14.07	9.959882004465327e-06	0.005415163373525436	0.6200362062686624
lncrna.ncrna::gencode::RP11-44N21.1::ENSG00000257556.1	1150	4.5394497085796175e-06	2	0.017257408213339556	0.6586577468091265	2	2	0.017257408213339556	0.9374478497014108	2.0	2.0	8.1955	6.597226490026038e-06	0.03437110548325303	0.9999999999999999
lncrna.ncrna::mitranscriptome::G085418::G085418	953	6.208255476418305e-06	2	0.021785905006544384	0.7127103209283806	2	2	0.021785905006544384	0.9374478497014108	2.0	2.0	8.5495	8.648932414460243e-06	0.03991681920313423	0.9999999999999999
lncrna.ncrna::mitranscriptome::G071670::G071670	727	1.3240050406627296e-05	2	0.0526156475826388	0.7888739781067882	2	2	0.0526156475826388	0.9374478497014108	2.0	2.0	10.137	1.5556569436043706e-05	0.069705250660038	0.9999999999999999
lncrna.ncrna::gencode::RP11-458K10.2::ENSG00000240973.1	1257	1.0278290185607904e-05	2	0.08747204907072265	0.7888739781067882	2	2	0.08747204907072265	0.9538618684378802	2.0	2.0	12.65	9.677518030411184e-06	0.07898120149420804	0.9999999999999999
lncrna.ncrna::gencode::RP11-126K15.1::ENSG00000265380.1	555	1.9426155935064665e-05	2	0.06416933153296156	0.7888739781067882	2	2	0.06416933153296156	0.9374478497014108	2.0	2.0	10.2075	2.2667369373517628e-05	0.08362168705348437	0.9999999999999999
lncrna.ncrna::gencode::RP11-310H4.1::ENSG00000223475.1	552	1.1878307904140192e-05	2	0.026334694013467108	0.753830616135496	2	2	0.026334694013467108	0.9374478497014108	2.0	2.0	5.5184999999999995	2.563699811960717e-05	0.10186213742669656	0.9999999999999999
lncrna.ncrna::gencode::ACTA2-AS1::ENSG00000180139.10	2113	5.880038203649379e-06	2	0.08187317464641142	0.7888739781067882	2	2	0.08187317464641142	0.9374478497014108	2.0	2.0	9.603	7.293010832904955e-06	0.11717741525901387	0.9999999999999999
lncrna.ncrna::gencode::RP11-582J16.5::ENSG00000253200.1	1326	3.448213679128695e-06	2	0.013454497105037209	0.6162159674107042	2	2	0.013454497105037209	0.9374478497014108	2.0	2.0	3.4035	1.20670761999795e-05	0.12455371707425285	0.9999999999999999
lncrna.ncrna::gencode::RP11-396B14.2::ENSG00000263033.1	602	1.5744232880553936e-05	2	0.05120039705542583	0.7888739781067882	2	2	0.05120039705542583	0.9374478497014108	2.0	2.0	6.155	3.0466817245674362e-05	0.1547469608433994	0.9999999999999999
