binID	Length	Mu	nMut	PvalRaw	QvalRaw	nSample	nMutSample	PvalM	QvalM	nCaddAll	nCadd	fscore	MuAdj	Pval	Qval
enhancers::chr8:101282200-101283000::NA::NA	432	3.0306111657801046e-06	4	9.3576739947121e-05	0.019885057238763215	4	4	9.3576739947121e-05	0.03977011447752643	4.0	4.0	5.1945	5.171846325955206e-06	0.0006987180716955929	0.15683897826318527
enhancers::chr14:57385600-57386400::NA::NA	429	4.028140671188928e-06	3	0.0036222449337319374	0.09456398581446454	3	3	0.0036222449337319374	0.10183813856942335	3.0	3.0	15.553333333333333	2.2958329914587247e-06	0.0007380657800620483	0.15683897826318527
enhancers::chr4:106836200-106838800::NA::NA	415	3.3654156511430847e-06	3	0.0019956014932620116	0.09456398581446454	3	3	0.0019956014932620116	0.10183813856942335	3.0	3.0	9.199	3.24307681064496e-06	0.0017975116776882771	0.19232892033836146
enhancers::chr10:94966400-94967000::NA::NA	278	3.3572660934860776e-06	3	0.0006322441328655076	0.05208018875864923	3	3	0.0006322441328655076	0.07812028313797385	3.0	3.0	6.118666666666667	4.863938932063088e-06	0.0018213541485726634	0.19232892033836146
enhancers::chr7:75692000-75693400::NA::NA	241	3.121994471044703e-06	3	0.00033908913128216796	0.04803762693164046	3	3	0.00033908913128216796	0.0720564403974607	3.0	3.0	3.939	7.025953843113195e-06	0.0034228779582753527	0.19232892033836146
enhancers::chr16:55945800-55949800::NA::NA	1076	3.7251467940763438e-06	4	0.005680880805543642	0.09456398581446454	4	4	0.005680880805543642	0.10183813856942335	4.0	4.0	9.694500000000001	3.406254708419119e-06	0.0041610696787092605	0.19232892033836146
enhancers::chr5:32779200-32781200::NA::NA	825	3.256042334221619e-06	3	0.012036605466938272	0.09456398581446454	3	3	0.012036605466938272	0.10183813856942335	3.0	3.0	12.783333333333333	2.257901919891079e-06	0.004459274503121553	0.19232892033836146
enhancers::chr1:186704600-186706200::NA::NA	451	3.7091160146621943e-06	3	0.0033091614557014403	0.09456398581446454	3	3	0.0033091614557014403	0.10183813856942335	3.0	3.0	7.457999999999999	4.408665838505563e-06	0.00533630060666127	0.19232892033836146
enhancers::chr2:153411400-153416400::NA::NA	291	3.135798001596119e-06	2	0.011346949353749396	0.09456398581446454	2	2	0.011346949353749396	0.10183813856942335	2.0	2.0	12.862499999999999	2.161134691152494e-06	0.005567671544195433	0.19232892033836146
enhancers::chr6:4751800-4752600::NA::NA	224	3.369881201064947e-06	2	0.007906161020628064	0.09456398581446454	2	2	0.007906161020628064	0.10183813856942335	2.0	2.0	10.216000000000001	2.924104237956179e-06	0.0060214427297551896	0.19232892033836146
enhancers::chr11:32553000-32553600::NA::NA	283	3.816879727404813e-06	2	0.015597821580901854	0.09801195118802239	2	2	0.015597821580901854	0.10749697872234715	2.0	2.0	14.1915	2.3841815193286614e-06	0.006375119648399136	0.19232892033836146
enhancers::chr2:157557200-157561600::NA::NA	1907	3.5980681058357476e-06	4	0.0332422945798791	0.11130607232928852	4	4	0.0332422945798791	0.11389458563927198	4.0	4.0	14.498749999999998	2.1998747844463537e-06	0.006646276519993993	0.19232892033836146
enhancers::chr20:1075200-1076000::NA::NA	246	3.4376112439764115e-06	2	0.009819841539455384	0.09456398581446454	2	2	0.009819841539455384	0.10183813856942335	2.0	2.0	10.602500000000001	2.874138046060202e-06	0.006974446221540142	0.19232892033836146
enhancers::chr7:17735400-17737000::NA::NA	418	3.1555308041408807e-06	2	0.02263362391078579	0.10613782521001347	2	2	0.02263362391078579	0.11295112301939478	2.0	2.0	16.235	1.722976185179381e-06	0.0072257436118099445	0.19232892033836146
enhancers::chrX:133866000-133867600::NA::NA	1007	3.6274639895683597e-06	4	0.004112467208984821	0.09456398581446454	4	4	0.004112467208984821	0.10183813856942335	4.0	4.0	7.1930000000000005	4.470459791731917e-06	0.008454153691909088	0.19232892033836146
enhancers::chr12:115540400-115542200::NA::NA	594	3.5976737865133484e-06	3	0.006500467788402561	0.09456398581446454	3	3	0.006500467788402561	0.10183813856942335	3.0	3.0	7.865333333333333	4.054747293769227e-06	0.008988720229229077	0.19232892033836146
enhancers::chr5:128071600-128073400::NA::NA	493	3.717611393583449e-06	2	0.04122863199509336	0.11130607232928852	2	2	0.04122863199509336	0.11389458563927198	2.0	2.0	19.935000000000002	1.6531295690774935e-06	0.009152890307734035	0.19232892033836146
enhancers::chr1:98395800-98396600::NA::NA	534	3.529518279955335e-06	2	0.043345513995889325	0.11130607232928852	2	2	0.043345513995889325	0.11389458563927198	2.0	2.0	20.275	1.5431698024410387e-06	0.009347811866190459	0.19232892033836146
enhancers::chr9:84402200-84405000::NA::NA	390	2.919382732093345e-06	2	0.017214485587927663	0.10165100732873321	2	2	0.017214485587927663	0.11072627188475931	2.0	2.0	12.04	2.149431907551052e-06	0.009657556910745482	0.19232892033836146
enhancers::chr21:34949000-34949800::NA::NA	318	2.9160605135167013e-06	2	0.0116979521056734	0.09456398581446454	2	2	0.0116979521056734	0.10183813856942335	2.0	2.0	9.5465	2.707768294989802e-06	0.010163255597467722	0.19232892033836146
enhancers::chr9:32876600-32877400::NA::NA	343	3.320076363206582e-06	2	0.017220876535691272	0.10165100732873321	2	2	0.017220876535691272	0.11072627188475931	2.0	2.0	11.4	2.5816797306386897e-06	0.010718482304877002	0.19232892033836146
enhancers::chr1:192602000-192603200::NA::NA	346	3.2980820614049002e-06	3	0.0011249696775460982	0.06830173042244167	3	3	0.0011249696775460982	0.09562242259141834	3.0	3.0	3.9199999999999995	7.458208735084153e-06	0.010815409641036607	0.19232892033836146
enhancers::chr22:41225200-41226600::NA::NA	210	3.1189927079019355e-06	2	0.006021241423268018	0.09456398581446454	2	2	0.006021241423268018	0.10183813856942335	2.0	2.0	6.4985	4.254616105019235e-06	0.01090185858348968	0.19232892033836146
enhancers::chr5:124174000-124175600::NA::NA	440	3.443803383668038e-06	2	0.029211799683033803	0.11081604623213098	2	2	0.029211799683033803	0.11389458563927198	2.0	2.0	14.629999999999999	2.086667086456848e-06	0.011479734486916164	0.19232892033836146
enhancers::chr15:90974400-90976200::NA::NA	217	3.445437643585147e-06	2	0.007762592461879956	0.09456398581446454	2	2	0.007762592461879956	0.10183813856942335	2.0	2.0	7.1129999999999995	4.293888167485575e-06	0.011804799687227887	0.19232892033836146
enhancers::chr17:15785200-15786400::NA::NA	739	3.057885364873052e-06	3	0.007566564023629949	0.09456398581446454	3	3	0.007566564023629949	0.10183813856942335	3.0	3.0	7.3950000000000005	3.665575470649581e-06	0.012307791843508395	0.19232892033836146
enhancers::chr5:145840400-145841200::NA::NA	256	3.651932921990939e-06	2	0.011879810751485713	0.09456398581446454	2	2	0.011879810751485713	0.10183813856942335	2.0	2.0	8.3905	3.858283127379879e-06	0.013180396605134587	0.19232892033836146
enhancers::chr5:95901200-95903400::NA::NA	325	3.3331545481412897e-06	2	0.015681912190083584	0.09801195118802239	2	2	0.015681912190083584	0.10749697872234715	2.0	2.0	9.6975	3.0468761853522326e-06	0.013243826687114692	0.19232892033836146
enhancers::chr20:47600000-47601600::NA::NA	440	3.751146571900941e-06	2	0.03413157386991403	0.11130607232928852	2	2	0.03413157386991403	0.11389458563927198	2.0	2.0	14.326	2.3211234050867707e-06	0.01403779617636549	0.19232892033836146
enhancers::chr6:37447000-37450600::NA::NA	1069	2.8090181735517e-06	3	0.016150617286654737	0.09947843980910527	3	3	0.016150617286654737	0.10895257693378196	3.0	3.0	9.332666666666666	2.668135849124909e-06	0.014107759412017149	0.19232892033836146
enhancers::chr16:20443800-20444400::NA::NA	144	3.6845224921591845e-06	2	0.004007879823708527	0.09456398581446454	2	2	0.004007879823708527	0.10183813856942335	2.0	2.0	4.57	7.147006145294158e-06	0.014241989845526368	0.19232892033836146
enhancers::chr12:106234200-106235000::NA::NA	231	3.3563964454676336e-06	2	0.008321302708455774	0.09456398581446454	2	2	0.008321302708455774	0.10183813856942335	2.0	2.0	6.4955	4.580573001384402e-06	0.015004802142790406	0.19232892033836146
enhancers::chr1:243616000-243617200::NA::NA	466	3.3298330921045557e-06	2	0.030507005668610174	0.11081604623213098	2	2	0.030507005668610174	0.11389458563927198	2.0	2.0	12.67	2.329726789918709e-06	0.01574661180825225	0.19232892033836146
enhancers::chr1:99165600-99166400::NA::NA	253	3.6674749818579434e-06	2	0.011711385404468063	0.09456398581446454	2	2	0.011711385404468063	0.10183813856942335	2.0	2.0	7.567	4.296378845536926e-06	0.015782727619817742	0.19232892033836146
enhancers::chr10:11019600-11021200::NA::NA	277	3.550935688301049e-06	3	0.0007352497236515186	0.05208018875864923	3	3	0.0007352497236515186	0.07812028313797385	3.0	3.0	2.925333333333333	1.0760354775243898e-05	0.01583885226315918	0.19232892033836146
enhancers::chr2:38962200-38963600::NA::NA	176	3.914578519526969e-06	2	0.0066361672520139775	0.09456398581446454	2	2	0.0066361672520139775	0.10183813856942335	2.0	2.0	5.437499999999999	6.381824872496326e-06	0.016782352817136827	0.1981249985356431
enhancers::chr8:122842200-122843800::NA::NA	529	3.977597327418019e-06	2	0.052705803655339514	0.11206706966593258	2	2	0.052705803655339514	0.11434254316168757	2.0	2.0	15.79	2.233046818785926e-06	0.018440617779448467	0.21038787841693607
enhancers::chr2:228079200-228079800::NA::NA	388	3.347063734804561e-06	2	0.021991418833147102	0.10613782521001347	2	2	0.021991418833147102	0.11295112301939478	2.0	2.0	9.642	3.0772019480967136e-06	0.018811151481984874	0.21038787841693607
enhancers::chr2:112761200-112764200::NA::NA	621	3.065174957008275e-06	2	0.04411728097633891	0.11130607232928852	2	2	0.04411728097633891	0.11389458563927198	2.0	2.0	13.83	1.964681845545593e-06	0.01958471303333411	0.2134231548504358
enhancers::chr5:178635000-178638400::NA::NA	407	3.980052397474968e-06	2	0.032990921075326286	0.11130607232928852	2	2	0.032990921075326286	0.11389458563927198	2.0	2.0	11.3035	3.1212962783789625e-06	0.02111150732054795	0.22430976528082197
enhancers::chr18:306600-308200::NA::NA	556	3.6202310002865943e-06	3	0.005518980202534926	0.09456398581446454	3	3	0.005518980202534926	0.10183813856942335	3.0	3.0	5.277333333333334	6.081082565400557e-06	0.021975649867842353	0.22760891495462862
enhancers::chr10:90299000-90300400::NA::NA	414	3.8111581677118575e-06	2	0.031449349933301576	0.11130607232928852	2	2	0.031449349933301576	0.11389458563927198	2.0	2.0	10.495000000000001	3.2190941108621748e-06	0.023070038427650215	0.22760891495462862
enhancers::chr2:15770400-15771600::NA::NA	537	2.7412328149536764e-06	2	0.027704306460060488	0.1106009048230757	2	2	0.027704306460060488	0.11389458563927198	2.0	2.0	9.725999999999999	2.4984507928684312e-06	0.023357630952552003	0.22760891495462862
