binID	Length	Mu	nMut	PvalRaw	QvalRaw	nSample	nMutSample	PvalM	QvalM	nCaddAll	nCadd	fscore	MuAdj	Pval	Qval
gc19_pc.promCore::gencode::TERT::ENSG00000164362.14	252	5.114700243236804e-06	42	1.8672969800500785e-79	6.871652886584289e-77	42	42	1.8672969800500785e-79	6.871652886584289e-77	42.0	42.0	6.031166666666668	1.0281463377417761e-05	8.169271505620618e-67	3.0062919140683878e-64
gc19_pc.promCore::gencode::A4GNT::ENSG00000118017.3	394	1.8253114405738668e-06	3	0.00028757473727657445	0.016795077949465418	3	3	0.00028757473727657445	0.044786874531907786	3.0	3.0	14.17	1.5617201090240932e-06	0.00018252982069273625	0.03358548700746347
gc19_pc.promCore::gencode::BMF::ENSG00000104081.9	1281	1.1019959087369222e-06	4	0.00011934265921487148	0.014639366197024235	3	3	0.0019907487348314106	0.06322583605297538	4.0	4.0	18.464999999999996	7.235469996561897e-07	0.0005994578902357718	0.07353350120225467
gc19_pc.promCore::gencode::IFT81::ENSG00000122970.11	309	9.681946190777157e-07	2	0.001279366811795446	0.03621592205697878	2	2	0.001279366811795446	0.06322583605297538	2.0	2.0	12.715	9.231714752794319e-07	0.001164995856673489	0.1020978293290579
gc19_pc.promCore::gencode::AK1::ENSG00000106992.13	1444	1.6658338230854063e-06	4	0.0008789348936858877	0.029404367352400606	4	4	0.0008789348936858877	0.06322583605297538	4.0	4.0	10.48925	1.9254104122588472e-06	0.0014909743252218143	0.1020978293290579
gc19_pc.promCore::gencode::ALOXE3::ENSG00000179148.5	625	6.58522876991357e-07	2	0.0023905040947478505	0.04503989099030695	2	2	0.0023905040947478505	0.06322583605297538	2.0	2.0	12.0045	6.650631235663325e-07	0.0024370876466405875	0.1020978293290579
gc19_pc.promCore::gencode::GPR157::ENSG00000180758.10	184	1.0950302354208799e-06	2	0.0005867895651407039	0.0215938559971779	2	2	0.0005867895651407039	0.053984639992944755	2.0	2.0	5.747999999999999	2.3096460405233135e-06	0.002544733382805529	0.1020978293290579
gc19_pc.promCore::gencode::SIDT2::ENSG00000149577.11	1407	1.2976394749935854e-06	3	0.004086053067960835	0.054220239560670944	3	3	0.004086053067960835	0.06322583605297538	3.0	3.0	14.014333333333333	1.1225809868919872e-06	0.0027295236850791087	0.1020978293290579
gc19_pc.promCore::gencode::GALNTL5::ENSG00000106648.9	410	1.9043644104829443e-06	3	0.00036511039020576996	0.016795077949465418	3	3	0.00036511039020576996	0.044786874531907786	3.0	3.0	5.973333333333333	3.86517696637539e-06	0.002754930250062738	0.1020978293290579
gc19_pc.promCore::gencode::PEG10::ENSG00000242265.1	381	1.9210420380018433e-06	2	0.007289344486076399	0.0543098065705863	2	2	0.007289344486076399	0.06418431685614745	2.0	2.0	18.825	1.2371944426121591e-06	0.0031142435293258857	0.1020978293290579
gc19_pc.promCore::gencode::HSPA1A::ENSG00000204389.8	423	1.3862859276441097e-06	2	0.004756956752950819	0.0543098065705863	2	2	0.004756956752950819	0.06322583605297538	1.0	1.0	13.03	1.289865645289876e-06	0.004137394984283745	0.1020978293290579
gc19_pc.promCore::gencode::TNFRSF11B::ENSG00000164761.4	400	1.028299525155825e-06	2	0.0023875783712364253	0.04503989099030695	2	2	0.0023875783712364253	0.06322583605297538	2.0	2.0	8.9685	1.3900675319863748e-06	0.004291748974826274	0.1020978293290579
gc19_pc.promCore::gencode::UBE2D1::ENSG00000072401.10	400	1.856168519694467e-06	2	0.007492039367882749	0.0543098065705863	2	2	0.007492039367882749	0.06418431685614745	1.0	1.0	16.06	1.4012251984080202e-06	0.004358709544154396	0.1020978293290579
gc19_pc.promCore::gencode::DHRS1::ENSG00000157379.9	688	6.160204981648837e-07	2	0.0025313321540626735	0.04503989099030695	2	2	0.0025313321540626735	0.06322583605297538	2.0	2.0	9.120000000000001	8.189104291791724e-07	0.004402808686859489	0.1020978293290579
gc19_pc.promCore::gencode::CD9::ENSG00000010278.7	1089	5.020794647433676e-07	2	0.004154361599760647	0.054220239560670944	2	2	0.004154361599760647	0.06322583605297538	2.0	2.0	11.5855	5.254044589094803e-07	0.004536199681838785	0.1020978293290579
gc19_pc.promCore::gencode::H3F3B::ENSG00000132475.4	1162	6.66731591173859e-07	2	0.008127807975296329	0.0543098065705863	2	2	0.008127807975296329	0.06418431685614745	2.0	2.0	16.175	4.997385137684261e-07	0.004667943993392428	0.1020978293290579
gc19_pc.promCore::gencode::MARCKS::ENSG00000155130.5	400	1.6306345151880462e-06	2	0.005841517461416204	0.0543098065705863	2	2	0.005841517461416204	0.06322583605297538	2.0	2.0	13.545	1.4595322582243037e-06	0.004716475811396696	0.1020978293290579
gc19_pc.promCore::gencode::VSIG2::ENSG00000019102.7	378	1.132508208718297e-06	2	0.002581275697534522	0.04503989099030695	2	2	0.002581275697534522	0.06322583605297538	2.0	2.0	8.4985	1.6156048811841188e-06	0.005145131971510591	0.1051893647508832
