binID	Length	Mu	nMut	PvalRaw	QvalRaw	nSample	nMutSample	PvalM	QvalM	nCaddAll	nCadd	fscore	MuAdj	Pval	Qval
gc19_pc.cds::gencode::BRAF::ENSG00000157764.8	2324	5.055580265071713e-06	10	3.4387249921256935e-11	1.547426246456562e-09	10	10	3.4387249921256935e-11	1.547426246456562e-09	10.0	10.0	32.0	4.664088768295221e-06	1.5821391524309683e-11	7.119626185939357e-10
gc19_pc.cds::gencode::HYPK::ENSG00000242028.1	401	6.1055385984109066e-06	2	0.003663195930368576	0.054947938955528644	2	2	0.003663195930368576	0.054947938955528644	2.0	2.0	26.6	6.776229718131082e-06	0.004483399053198944	0.07293980027430695
gc19_pc.cds::gencode::NRAS::ENSG00000213281.4	570	3.974247417963237e-06	2	0.0031498112621962653	0.054947938955528644	2	2	0.0031498112621962653	0.054947938955528644	2.0	2.0	23.6	4.971514079369096e-06	0.004862653351620463	0.07293980027430695
gc19_pc.cds::gencode::SERF2::ENSG00000140264.15	1273	3.906256919888925e-06	2	0.014233290642401808	0.10923469457851312	2	2	0.014233290642401808	0.10923469457851312	2.0	2.0	26.6	4.335357774021084e-06	0.01730736605599722	0.1891958050660436
gc19_pc.cds::gencode::MPPED1::ENSG00000186732.9	1080	4.803429852932322e-06	2	0.01541236608322096	0.10923469457851312	2	2	0.01541236608322096	0.10923469457851312	2.0	2.0	25.0	5.67227424473072e-06	0.021021756118449288	0.1891958050660436
gc19_pc.cds::gencode::PDK3::ENSG00000067992.8	1252	4.3649574979519846e-06	2	0.01699206360110204	0.10923469457851312	2	2	0.01699206360110204	0.10923469457851312	2.0	2.0	23.2	5.5544084161439e-06	0.02656646412634645	0.19466087118481182
gc19_pc.cds::gencode::PITX2::ENSG00000164093.11	1543	4.197695835202819e-06	2	0.023306398951244332	0.13109849410074936	2	2	0.023306398951244332	0.13109849410074936	2.0	2.0	25.6	4.840795954955376e-06	0.03028057996208184	0.19466087118481182
gc19_pc.cds::gencode::U2AF2::ENSG00000063244.8	1428	3.713111041762881e-06	2	0.016057490178795222	0.10923469457851312	2	2	0.016057490178795222	0.10923469457851312	2.0	2.0	15.059000000000001	7.279265832719553e-06	0.05477382304798385	0.2745366496759675
gc19_pc.cds::gencode::LSAMP::ENSG00000185565.7	1331	7.3877491735783295e-06	2	0.04965856189488226	0.20314866229724562	2	2	0.04965856189488226	0.20314866229724562	2.0	2.0	25.95	8.404667865216934e-06	0.06228153139596837	0.2745366496759675
gc19_pc.cds::gencode::PPM1D::ENSG00000170836.7	1860	7.236690413297553e-06	2	0.0855603706776116	0.24507834069963177	2	2	0.0855603706776116	0.24507834069963177	2.0	2.0	35.0	6.104044982324867e-06	0.06390655564075427	0.2745366496759675
gc19_pc.cds::gencode::TMC1::ENSG00000165091.11	2283	4.851621314092467e-06	2	0.06121537570155518	0.2295576588808319	2	2	0.06121537570155518	0.2295576588808319	2.0	2.0	28.0	5.11534158695135e-06	0.06710895880968094	0.2745366496759675
gc19_pc.cds::gencode::MTX1::ENSG00000173171.10	1031	7.93088747523919e-06	2	0.03569113889934543	0.16061012504705444	2	2	0.03569113889934543	0.16061012504705444	2.0	2.0	18.03	1.2985893513256314e-05	0.0847896169234979	0.3085939176022272
