binID	Length	Mu	nMut	PvalRaw	QvalRaw	nSample	nMutSample	PvalM	QvalM	nCaddAll	nCadd	fscore	MuAdj	Pval	Qval
enhancers::chr1:5951800-5952800::NA::NA	193	7.694713025995685e-06	2	0.001533491307990572	0.045128588356736866	2	2	0.001533491307990572	0.048352058953646644	2.0	2.0	10.3595	7.055114842040386e-06	0.0012931719184175728	0.08588432100995265
enhancers::chr6:127484000-127485600::NA::NA	292	9.678023210656551e-06	2	0.00536896382725835	0.045128588356736866	2	2	0.00536896382725835	0.048352058953646644	2.0	2.0	13.91	6.608607883831787e-06	0.002560481278251263	0.08588432100995265
enhancers::chr13:72286600-72287800::NA::NA	320	9.605101957507436e-06	2	0.0063118941378258655	0.045128588356736866	2	2	0.0063118941378258655	0.048352058953646644	1.0	1.0	12.83	7.110919753171364e-06	0.0035294926442446294	0.08588432100995265
enhancers::chr8:107610000-107610800::NA::NA	350	1.1660044876156548e-05	2	0.010850251352782943	0.045710733242843575	2	2	0.010850251352782943	0.04839959990418732	2.0	2.0	10.301	1.0751555213249714e-05	0.009298993331018341	0.09838824818458178
enhancers::chr22:22042400-22046400::NA::NA	293	1.2464760918247615e-05	2	0.008783353637904504	0.045128588356736866	2	2	0.008783353637904504	0.048352058953646644	2.0	2.0	9.043	1.3092478724525392e-05	0.009645777583571994	0.09838824818458178
enhancers::chr3:129150800-129151800::NA::NA	437	6.220897367924554e-06	2	0.004981993835876954	0.045128588356736866	2	2	0.004981993835876954	0.048352058953646644	2.0	2.0	6.6419999999999995	8.896201680140705e-06	0.009894202384391235	0.09838824818458178
enhancers::chr18:25654400-25657400::NA::NA	259	8.979394079944383e-06	2	0.0036821297195618525	0.045128588356736866	2	2	0.0036821297195618525	0.048352058953646644	2.0	2.0	5.6105	1.5201831695739008e-05	0.01013552666044627	0.09838824818458178
enhancers::chr1:201288600-201290000::NA::NA	335	9.623473151149399e-06	2	0.006917902488707985	0.045128588356736866	2	2	0.006917902488707985	0.048352058953646644	2.0	2.0	6.936	1.3178719345282212e-05	0.012592601813736613	0.09838824818458178
enhancers::chr16:9691800-9692800::NA::NA	362	1.3353917132487848e-05	2	0.014940745263004951	0.047420626269537455	2	2	0.014940745263004951	0.04957610928178916	2.0	2.0	10.146	1.2501561846168195e-05	0.013195530265970416	0.09838824818458178
enhancers::chr5:75637600-75638600::NA::NA	227	1.5624807652568175e-05	2	0.008305664788726137	0.045128588356736866	2	2	0.008305664788726137	0.048352058953646644	2.0	2.0	7.361	2.016175424631891e-05	0.013477842217065996	0.09838824818458178
enhancers::chr2:101853800-101857400::NA::NA	383	1.1954535367973465e-05	2	0.013488718390226173	0.04642208383728977	2	2	0.013488718390226173	0.04863265925811309	2.0	2.0	8.2125	1.3826357228512526e-05	0.01772389345865169	0.1176222020437794
enhancers::chr5:74305600-74307200::NA::NA	595	1.2713214785862956e-05	2	0.03418650239030475	0.0670479164795444	2	2	0.03418650239030475	0.07048627117080308	2.0	2.0	10.7425	1.1240884274800155e-05	0.027312474523657773	0.15939469311534302
enhancers::chr5:134679000-134683800::NA::NA	833	7.244193120136647e-06	2	0.022596791863787744	0.057615490279151756	2	2	0.022596791863787744	0.05967318636055003	2.0	2.0	7.9014999999999995	8.708250829881151e-06	0.031680976078475705	0.15939469311534302
enhancers::chr5:148316800-148319600::NA::NA	465	1.003895493917275e-05	2	0.01399021704685445	0.04642208383728977	2	2	0.01399021704685445	0.04863265925811309	2.0	2.0	5.89	1.618913575453963e-05	0.033888362591257985	0.15939469311534302
enhancers::chr9:81585000-81588000::NA::NA	730	1.0504667195213514e-05	2	0.0350433866589768	0.0670479164795444	2	2	0.0350433866589768	0.07048627117080308	2.0	2.0	9.24	1.0798434078681386e-05	0.036835196146546165	0.15939469311534302
enhancers::chr9:90468800-90470200::NA::NA	260	9.249468310127369e-06	2	0.003929354891374167	0.045128588356736866	2	2	0.003929354891374167	0.048352058953646644	2.0	2.0	2.809	3.127630822246841e-05	0.03895717213662764	0.15939469311534302
enhancers::chr3:167694800-167696800::NA::NA	1000	1.2659250239540917e-05	2	0.08451209613908908	0.10823478979216672	2	2	0.08451209613908908	0.11016755389559828	2.0	2.0	14.559999999999999	8.258421873300509e-06	0.04005607365333989	0.15939469311534302
enhancers::chr9:6247600-6248600::NA::NA	633	1.0483194340630632e-05	2	0.026920705934822108	0.061412860413812935	2	2	0.026920705934822108	0.06339392042716174	2.0	2.0	7.6285	1.3052837795771903e-05	0.04009076777178091	0.15939469311534302
enhancers::chrX:13382200-13383200::NA::NA	549	7.4652647124498145e-06	2	0.010938525823457742	0.045710733242843575	2	2	0.010938525823457742	0.04839959990418732	2.0	2.0	4.6225000000000005	1.533976643477194e-05	0.04148628998892489	0.15939469311534302
