binID	Length	Mu	nMut	PvalRaw	QvalRaw	nSample	nMutSample	PvalM	QvalM	nEigenAll	nEigen	fscore	MuAdj	Pval	Qval
enhancers::chr2:66248400-66249600::NA::NA	278	2.6885634746833373e-06	2	0.00031744157078367994	0.001927423697596381	2	2	0.00031744157078367994	0.0023129084371156573	2.0	2.0	8.360895	4.754808816666461e-06	0.0009800597675531306	0.008602534150832406
enhancers::chr2:69077200-69081400::NA::NA	631	2.2880403534360506e-06	3	1.899927004185436e-05	0.0003609861307952328	2	2	0.001166035549254763	0.0023769575774912825	3.0	3.0	12.640706666666667	2.6764421498284315e-06	0.0015867135537945614	0.008602534150832406
enhancers::chr17:57843600-57845200::NA::NA	686	2.501673372788948e-06	2	0.0016374479026635394	0.002413506010329138	2	2	0.0016374479026635394	0.002413506010329138	1.0	1.0	14.5871	2.5358711351201158e-06	0.001681631588894484	0.008602534150832406
enhancers::chr5:33049600-33051600::NA::NA	624	2.249708913890564e-06	2	0.0011034148709013812	0.0023769575774912825	2	2	0.0011034148709013812	0.0023769575774912825	2.0	2.0	11.489335	2.895322671311036e-06	0.0018110598212278748	0.008602534150832406
enhancers::chr7:147883600-147885200::NA::NA	578	2.7174556867501546e-06	2	0.0013761333343370583	0.0023769575774912825	2	2	0.0013761333343370583	0.0023769575774912825	1.0	1.0	9.97697	4.0274424098107534e-06	0.0029715478034773595	0.010027605766361395
enhancers::chr3:189872600-189874600::NA::NA	532	1.8885278076079335e-06	2	0.0005702939947578004	0.001927423697596381	2	2	0.0005702939947578004	0.0023129084371156573	2.0	2.0	6.045515	4.6190813966773284e-06	0.0033016822437917336	0.010027605766361395
enhancers::chr6:114751600-114754000::NA::NA	1197	2.439125995837385e-06	2	0.004612685138905427	0.004868945424400173	2	2	0.004612685138905427	0.004868945424400173	2.0	2.0	16.58115	2.175129513518632e-06	0.003694381071817356	0.010027605766361395
enhancers::chr10:54515000-54515800::NA::NA	464	2.2378028989803095e-06	2	0.000608660115030436	0.001927423697596381	2	2	0.000608660115030436	0.0023129084371156573	2.0	2.0	4.85036	6.822026355731704e-06	0.00539196254571413	0.012285799911860698
enhancers::chr4:139232200-139233400::NA::NA	466	2.4769152083731757e-06	2	0.0007501570551460401	0.0020361405782535376	2	2	0.0007501570551460401	0.0023754973412957936	2.0	2.0	5.18245	7.067105155512546e-06	0.005819589431934015	0.012285799911860698
enhancers::chr1:159478800-159480200::NA::NA	953	2.560350304184363e-06	2	0.0032565989598723017	0.003639728249269043	2	2	0.0032565989598723017	0.003639728249269043	1.0	1.0	6.54288	5.786233673026801e-06	0.015525309686759673	0.028948900359266158
enhancers::chr14:69691600-69694000::NA::NA	885	2.249165791960584e-06	2	0.0021892984550011393	0.0027077329455001227	2	2	0.0021892984550011393	0.0027077329455001227	1.0	1.0	4.85036	6.8566665626168225e-06	0.01857004691229427	0.028948900359266158
enhancers::chr8:22147000-22150000::NA::NA	818	2.48456550194339e-06	2	0.002280196164631682	0.0027077329455001227	2	2	0.002280196164631682	0.0027077329455001227	2.0	2.0	4.85036	7.574291437607402e-06	0.01930438907455343	0.028948900359266158
enhancers::chr5:166785600-166786400::NA::NA	538	2.682292041870322e-06	2	0.0011649459673960703	0.0023769575774912825	2	2	0.0011649459673960703	0.0023769575774912825	2.0	2.0	3.39669	1.1676580638379043e-05	0.019807142351076844	0.028948900359266158
enhancers::chr2:7847200-7848800::NA::NA	760	2.2678373203473534e-06	2	0.0016513462175936208	0.002413506010329138	2	2	0.0016513462175936208	0.002413506010329138	2.0	2.0	3.2875342499999998	1.0200163808636437e-05	0.029194009362723643	0.03722347041033998
enhancers::chr4:74928200-74928800::NA::NA	359	2.6134664467052944e-06	2	0.0004980727907545605	0.001927423697596381	2	2	0.0004980727907545605	0.0023129084371156573	2.0	2.0	1.7831350000000001	2.1671962404159e-05	0.029386950323952617	0.03722347041033998
enhancers::chr13:80561000-80563600::NA::NA	1312	2.3804645850923872e-06	2	0.005254153067708027	0.005254153067708027	2	2	0.005254153067708027	0.005254153067708027	2.0	2.0	4.85036	7.25693587481991e-06	0.0423499003431206	0.050290506657455714
enhancers::chr17:61674600-61676800::NA::NA	723	2.638540236112193e-06	2	0.002014594016899059	0.0027077329455001227	2	2	0.002014594016899059	0.0027077329455001227	1.0	1.0	2.6459	1.4745375257558527e-05	0.051780949277974116	0.05787282566361813
enhancers::chr7:286800-287800::NA::NA	751	2.025082069497035e-06	2	0.001291630577194943	0.0023769575774912825	2	2	0.001291630577194943	0.0023769575774912825	2.0	2.0	1.86812205	1.6028870354604644e-05	0.06405637198963254	0.06761505932238991
enhancers::chr4:25640600-25641200::NA::NA	168	2.5216777077011227e-06	2	0.00010272665497672086	0.0009759032222788482	2	2	0.00010272665497672086	0.0019518064445576964	1.0	1.0	0.170487	0.00021870758493792007	0.3551081192405106	0.3551081192405106
