chr	start	end	element_ID	p-value
chr7	140426293	140624503	gc19_pc.cds::gencode::BRAF::ENSG00000157764.8	0.00409836065573771
chr2	25457147	25536853	gc19_pc.cds::gencode::DNMT3A::ENSG00000119772.12	0.00589970501474926
chr15	91509808	91537647	gc19_pc.cds::gencode::PRC1::ENSG00000198901.9	0.00593471810089021
chr9	130830598	130869723	gc19_pc.cds::gencode::SLC25A25::ENSG00000148339.8	0.00887573964497041
chr1	115251155	115258781	gc19_pc.cds::gencode::NRAS::ENSG00000213281.4	0.0220319572449147
chr15	88420165	88799384	gc19_pc.cds::gencode::NTRK3::ENSG00000140538.12	0.03
chr11	113669961	113746223	gc19_pc.cds::gencode::USP28::ENSG00000048028.7	0.0328947368421053
chr11	30032263	30034225	gc19_pc.cds::gencode::KCNA4::ENSG00000182255.6	0.0333333333333333
chr4	144435077	144474337	gc19_pc.cds::gencode::SMARCA5::ENSG00000153147.5	0.034965034965035
chr12	115109645	115121005	gc19_pc.cds::gencode::TBX3::ENSG00000135111.10	0.0395480225988701
chr16	46990940	47007483	gc19_pc.cds::gencode::DNAJA2::ENSG00000069345.7	0.0413793103448276
chr12	13715716	14019142	gc19_pc.cds::gencode::GRIN2B::ENSG00000273079.1	0.0490196078431373
chr7	77648631	79082636	gc19_pc.cds::gencode::MAGI2::ENSG00000187391.13	0.0533980582524272
chr1	120457928	120612020	gc19_pc.cds::gencode::NOTCH2::ENSG00000134250.13	0.0572687224669604
chr19	38924469	39078060	gc19_pc.cds::gencode::RYR1::ENSG00000196218.7	0.0630993690063099
chr1	67786051	67861772	gc19_pc.cds::gencode::IL12RB2::ENSG00000081985.6	0.0688259109311741
chr4	87869685	88056853	gc19_pc.cds::gencode::AFF1::ENSG00000172493.16	0.0717131474103586
chr4	170557079	170641216	gc19_pc.cds::gencode::CLCN3::ENSG00000109572.9	0.0743801652892562
chr8	30915963	31030618	gc19_pc.cds::gencode::WRN::ENSG00000165392.5	0.0763052208835341
chr9	133884601	133967174	gc19_pc.cds::gencode::LAMC3::ENSG00000050555.13	0.0804597701149425
chr1	112233982	112251857	gc19_pc.cds::gencode::RAP1A::ENSG00000116473.10	0.0813953488372093
chr5	112043414	112179823	gc19_pc.cds::gencode::APC::ENSG00000134982.12	0.08300395256917
chr12	69979301	69995232	gc19_pc.cds::gencode::CCT2::ENSG00000166226.8	0.0895522388059701
chr1	51822371	51984903	gc19_pc.cds::gencode::EPS15::ENSG00000085832.12	0.0899653979238754
chr16	56782159	56878586	gc19_pc.cds::gencode::NUP93::ENSG00000102900.8	0.0899653979238754
chr6	3850045	3851023	gc19_pc.cds::gencode::FAM50B::ENSG00000145945.5	0.0906344410876133
chr20	5107738	5170880	gc19_pc.cds::gencode::CDS2::ENSG00000101290.9	0.0909090909090909
chr20	47538426	47649736	gc19_pc.cds::gencode::ARFGEF2::ENSG00000124198.8	0.0919881305637982
chr1	204913443	204985667	gc19_pc.cds::gencode::NFASC::ENSG00000163531.11	0.0967741935483871
chr10	99218448	99258141	gc19_pc.cds::gencode::MMS19::ENSG00000155229.16	0.0969826214272073
chr11	74977206	75062651	gc19_pc.cds::gencode::ARRB1::ENSG00000137486.12	0.102040816326531
chr14	23067215	23079854	gc19_pc.cds::gencode::ABHD4::ENSG00000100439.6	0.109467455621302
chr14	105235922	105258980	gc19_pc.cds::gencode::AKT1::ENSG00000142208.11	0.109467455621302
chr19	42388534	42433895	gc19_pc.cds::gencode::ARHGEF1::ENSG00000076928.13	0.109467455621302
chr17	7788124	7815022	gc19_pc.cds::gencode::CHD3::ENSG00000170004.12	0.109467455621302
chr12	6679841	6715539	gc19_pc.cds::gencode::CHD4::ENSG00000111642.10	0.109467455621302
chr17	40834847	40850928	gc19_pc.cds::gencode::CNTNAP1::ENSG00000108797.7	0.109467455621302
chr10	70661140	70706386	gc19_pc.cds::gencode::DDX50::ENSG00000107625.8	0.109467455621302
chr14	102431028	102516900	gc19_pc.cds::gencode::DYNC1H1::ENSG00000197102.6	0.109467455621302
chr11	64621804	64647102	gc19_pc.cds::gencode::EHD1::ENSG00000110047.13	0.109467455621302
chr22	31835865	31884704	gc19_pc.cds::gencode::EIF4ENIF1::ENSG00000184708.13	0.109467455621302
chr19	16466515	16582756	gc19_pc.cds::gencode::EPS15L1::ENSG00000127527.9	0.109467455621302
chr17	40854549	40880959	gc19_pc.cds::gencode::EZH1::ENSG00000108799.8	0.109467455621302
chr11	532635	534322	gc19_pc.cds::gencode::HRAS::ENSG00000174775.12	0.109467455621302
chr11	65479738	65486652	gc19_pc.cds::gencode::KAT5::ENSG00000172977.8	0.109467455621302
chr19	1383925	1395487	gc19_pc.cds::gencode::NDUFS7::ENSG00000115286.15	0.109467455621302
chr12	56498521	56507662	gc19_pc.cds::gencode::PA2G4::ENSG00000170515.9	0.109467455621302
chr3	48445892	48466020	gc19_pc.cds::gencode::PLXNB1::ENSG00000164050.8	0.109467455621302
chr19	47177779	47219627	gc19_pc.cds::gencode::PRKD2::ENSG00000105287.8	0.109467455621302
chr14	35747905	35786512	gc19_pc.cds::gencode::PSMA6::ENSG00000100902.6	0.109467455621302
chr17	40985648	40993595	gc19_pc.cds::gencode::PSME3::ENSG00000131467.6	0.109467455621302
chr20	30697543	30753247	gc19_pc.cds::gencode::TM9SF4::ENSG00000101337.11	0.109467455621302
chr3	48507889	48508999	gc19_pc.cds::gencode::TREX1::ENSG00000213689.5	0.109467455621302
