chr	start	end	element_ID	p-value
chr14	36738234	36767769	lncrna.ncrna::mitranscriptome::G024271::G024271	0.0062111801242236
chr5	141179704	141208330	lncrna.ncrna::mitranscriptome::G067876::G067876	0.0114285714285714
chr4	48990	50018	lncrna.ncrna::gencode::Z95704.4::ENSG00000248302.2	0.0134228187919463
chr8	94339228	94358970	lncrna.ncrna::mitranscriptome::G081976::G081976	0.0170454545454545
chr6	85836325	85837522	lncrna.ncrna::mitranscriptome::G071910::G071910	0.0180722891566265
chr2	43003038	43024425	lncrna.ncrna::mitranscriptome::G043277::G043277	0.0182926829268293
chr16	54399918	54404611	lncrna.ncrna::gencode::RP11-434E6.2::ENSG00000261803.1	0.0182926829268293
chr6	102651663	102652427	lncrna.ncrna::mitranscriptome::G072256::G072256	0.0185185185185185
chr20	44947509	44978166	lncrna.ncrna::mitranscriptome::G050601::G050601	0.0192433994483121
chr6	72084870	72102363	lncrna.ncrna::mitranscriptome::G071585::G071585	0.0227272727272727
chr6	106601572	106604925	lncrna.ncrna::mitranscriptome::G072349::G072349	0.0254777070063694
chr12	54375292	54378622	lncrna.ncrna::gencode::HOXC-AS3::ENSG00000251151.2	0.027129728702713
chr2	60735979	60773099	lncrna.ncrna::mitranscriptome::G043732::G043732	0.027979720202798
chr1	51440575	51470721	lncrna.ncrna::mitranscriptome::G002281::G002281	0.0304878048780488
chr12	123848414	123850660	lncrna.ncrna::gencode::hsa-mir-8072::ENSG00000256092.2	0.0304878048780488
chr2	60248807	60294643	lncrna.ncrna::mitranscriptome::G043709::G043709	0.03125
chr11	6696418	6700076	lncrna.ncrna::mitranscriptome::G012496::G012496	0.0318471337579618
chr5	87803362	87986858	lncrna.ncrna::gencode::LINC00461::ENSG00000245526.4	0.032258064516129
chr6	45522855	45530994	lncrna.ncrna::mitranscriptome::G071016::G071016	0.0340909090909091
chr16	90039142	90068569	lncrna.ncrna::gencode::AFG3L1P::ENSG00000223959.4	0.0365853658536585
chr10	23460141	23463911	lncrna.ncrna::mitranscriptome::G008754::G008754	0.0404624277456647
chr1	110600961	110605177	lncrna.ncrna::gencode::RP4-773N10.4::ENSG00000258634.2	0.0479041916167665
chr12	92641758	92758677	lncrna.ncrna::mitranscriptome::G019474::G019474	0.049079754601227
chr2	164098669	164198062	lncrna.ncrna::mitranscriptome::G046679::G046679	0.0505050505050505
chr18	29522537	29524119	lncrna.ncrna::gencode::RP11-326K13.4::ENSG00000263823.1	0.0523255813953488
chr15	80487825	80544555	lncrna.ncrna::gencode::RP11-2E17.1::ENSG00000259417.2	0.0540540540540541
chr7	121944759	121950131	lncrna.ncrna::gencode::FEZF1-AS1::ENSG00000230316.2	0.0593220338983051
chr11	34682615	34707159	lncrna.ncrna::mitranscriptome::G013190::G013190	0.0611111111111111
chr18	3190394	3247275	lncrna.ncrna::gencode::RP13-270P17.2::ENSG00000265399.1	0.0628930817610063
chr3	107844667	107857457	lncrna.ncrna::gencode::RP11-861A13.4::ENSG00000271856.1	0.06875
chr14	26583281	26601827	lncrna.ncrna::mitranscriptome::G024015::G024015	0.0714285714285714
