binID	Length	Mu	nMut	PvalRaw	QvalRaw	nSample	nMutSample	PvalM	QvalM	nCaddAll	nCadd	fscore	MuAdj	Pval	Qval
lncrna.ncrna::gencode::CTD-2128A3.2::ENSG00000258902.1	558	1.134663678626443e-05	2	0.019011711712637745	0.717916702427672	2	2	0.019011711712637745	0.9999999995775228	2.0	2.0	8.515	1.6542303745922012e-05	0.037965058352798016	0.9999999999999999
lncrna.ncrna::gencode::AC096570.2::ENSG00000234207.1	569	1.3397023665624958e-05	2	0.02680168327121001	0.717916702427672	2	2	0.02680168327121001	0.9999999995775228	2.0	2.0	9.8125	1.6948924497961937e-05	0.041076036924357774	0.9999999999999999
lncrna.ncrna::gencode::RP11-232C2.3::ENSG00000258719.1	597	1.2028475558973993e-05	2	0.0240118695779491	0.717916702427672	2	2	0.0240118695779491	0.9999999995775228	2.0	2.0	8.602	1.735899756020473e-05	0.046708797917309045	0.9999999999999999
lncrna.ncrna::gencode::AC073628.1::ENSG00000233605.1	635	1.536943536248966e-05	3	0.004381203696019513	0.717916702427672	3	3	0.004381203696019513	0.9999999995775228	3.0	3.0	4.945333333333333	3.858120903108279e-05	0.04864472263890343	0.9999999999999999
lncrna.ncrna::mitranscriptome::G027084::G027084	1018	9.782907218906192e-06	2	0.04351010317743467	0.717916702427672	2	2	0.04351010317743467	0.9999999995775228	2.0	2.0	10.1175	1.200350870875833e-05	0.06242339224258542	0.9999999999999999
lncrna.ncrna::mitranscriptome::G045587::G045587	873	1.222923075601905e-05	2	0.049241530736536386	0.7294076571198841	2	2	0.049241530736536386	0.9999999995775228	2.0	2.0	8.804	1.7243784878096124e-05	0.0892266126525195	0.9999999999999999
lncrna.ncrna::mitranscriptome::G020151::G020151	1969	1.1034436391433946e-05	2	0.16172940433280925	0.9340599344002204	2	2	0.16172940433280925	0.9999999995775228	2.0	2.0	16.990000000000002	8.0625100108935e-06	0.09752910618214701	0.9999999999999999
lncrna.ncrna::mitranscriptome::G019768::G019768	722	1.0784703475549111e-05	2	0.02786668289342565	0.717916702427672	2	2	0.02786668289342565	0.9999999995775228	2.0	2.0	6.008	2.2283929457496743e-05	0.09972516282600115	0.9999999999999999
lncrna.ncrna::mitranscriptome::G071913::G071913	1573	1.0382089106433657e-05	2	0.10222845122256964	0.8830484989732905	2	2	0.10222845122256964	0.9999999995775228	2.0	2.0	12.07	1.0678025954575207e-05	0.10708934195763382	0.9999999999999999
lncrna.ncrna::gencode::LINC00467::ENSG00000153363.8	851	1.1119845227496756e-05	2	0.039703009977595904	0.717916702427672	2	2	0.039703009977595904	0.9999999995775228	2.0	2.0	6.8965000000000005	2.0016285745871978e-05	0.10959031084751102	0.9999999999999999
lncrna.ncrna::mitranscriptome::G031136::G031136	1014	1.3420210163972891e-05	2	0.07517058597191348	0.8830484989732905	2	2	0.07517058597191348	0.9999999995775228	2.0	2.0	9.464	1.7603461536989397e-05	0.11830686654360141	0.9999999999999999
lncrna.ncrna::gencode::RP4-684O24.5::ENSG00000233896.1	1802	1.19325222977739e-05	2	0.15914100233835343	0.9340599344002204	2	2	0.15914100233835343	0.9999999995775228	2.0	2.0	14.505	1.0212404579846955e-05	0.12430728610927529	0.9999999999999999
lncrna.ncrna::gencode::RP11-53O19.1::ENSG00000251141.1	2128	1.3178740957491e-05	3	0.06711343730184438	0.8607676053767951	3	3	0.06711343730184438	0.9999999995775228	3.0	3.0	9.285000000000002	1.76199837569565e-05	0.12870923743182971	0.9999999999999999
lncrna.ncrna::mitranscriptome::G053448::G053448	1332	7.397382412223902e-06	2	0.04268809304584695	0.717916702427672	2	2	0.04268809304584695	0.9999999995775228	2.0	2.0	6.41	1.432628317230392e-05	0.13178258054912595	0.9999999999999999
lncrna.ncrna::mitranscriptome::G057119::G057119	1326	1.1673162820980927e-05	2	0.09349413752590037	0.8830484989732905	2	2	0.09349413752590037	0.9999999995775228	2.0	2.0	8.1205	1.7845111374644207e-05	0.1843464196007536	0.9999999999999999
lncrna.ncrna::mitranscriptome::G042656::G042656	2269	1.179653548762058e-05	2	0.2214087241274422	0.9340599344002204	2	2	0.2214087241274422	0.9999999995775228	2.0	2.0	12.629000000000001	1.1595754324973968e-05	0.21592448467437098	0.9999999999999999
lncrna.ncrna::mitranscriptome::G084041::G084041	614	1.2547006880783405e-05	2	0.027326386936447174	0.717916702427672	2	2	0.027326386936447174	0.9999999995775228	2.0	2.0	3.6195	4.303333907124996e-05	0.21726735937488342	0.9999999999999999
lncrna.ncrna::mitranscriptome::G031971::G031971	4393	1.37224124972803e-05	6	0.016180676855181802	0.717916702427672	3	4	0.14095407711825883	0.9999999995775228	5.0	5.0	10.0988	1.686841157977804e-05	0.2308170184643512	0.9999999999999999
lncrna.ncrna::mitranscriptome::G031024::G031024	2673	1.7120334330055247e-05	3	0.19370868245652426	0.9340599344002204	3	3	0.19370868245652426	0.9999999995775228	3.0	3.0	11.299	1.8809866925393603e-05	0.23204630751323577	0.9999999999999999
lncrna.ncrna::mitranscriptome::G069829::G069829	1493	1.4001873944663866e-05	2	0.15228666228129895	0.9340599344002204	2	2	0.15228666228129895	0.9999999995775228	2.0	2.0	9.288	1.8714466326739282e-05	0.23559229515758112	0.9999999999999999
lncrna.ncrna::mitranscriptome::G051614::G051614	1965	1.202568961537664e-05	2	0.18396740630658667	0.9340599344002204	2	2	0.18396740630658667	0.9999999995775228	2.0	2.0	9.8495	1.5156861989925007e-05	0.2579310413407243	0.9999999999999999
lncrna.ncrna::gencode::RP1-45N11.1::ENSG00000260271.1	1431	1.206024820107246e-05	2	0.11196987973374045	0.8830484989732905	2	2	0.11196987973374045	0.9999999995775228	2.0	2.0	6.716	2.229251402330607e-05	0.2836269623354741	0.9999999999999999
lncrna.ncrna::mitranscriptome::G043523::G043523	1489	1.4513226433748733e-05	2	0.16038321023996865	0.9340599344002204	2	2	0.16038321023996865	0.9999999995775228	2.0	2.0	8.225	2.190491411670255e-05	0.2922997282785063	0.9999999999999999
lncrna.ncrna::mitranscriptome::G036916::G036916	2128	1.2740992947874199e-05	3	0.0619897537757854	0.8607676053767951	2	2	0.22558723571655961	0.9999999995775228	3.0	3.0	9.473333333333333	1.6696058075780195e-05	0.32739884345063236	0.9999999999999999
lncrna.ncrna::mitranscriptome::G018080::G018080	2824	9.98054896515796e-06	2	0.23855059031113185	0.9340599344002204	2	2	0.23855059031113185	0.9999999995775228	2.0	2.0	9.84	1.2591365231800727e-05	0.3277437326519084	0.9999999999999999
lncrna.ncrna::mitranscriptome::G069659::G069659	4817	1.1636394601369836e-05	5	0.040111121604069405	0.717916702427672	2	3	0.2827298775270663	0.9999999995775228	5.0	5.0	10.9464	1.3196556347395967e-05	0.34975795672732624	0.9999999999999999
lncrna.ncrna::mitranscriptome::G038471::G038471	954	1.625111950017097e-05	2	0.09374628172033693	0.8830484989732905	2	2	0.09374628172033693	0.9999999995775228	2.0	2.0	5.1450000000000005	3.921131390303157e-05	0.3497886073039657	0.9999999999999999
lncrna.ncrna::mitranscriptome::G017925::G017925	3057	7.572147369228037e-06	3	0.04237087486265502	0.717916702427672	3	3	0.04237087486265502	0.9999999995775228	3.0	3.0	4.321333333333333	2.1752780634595493e-05	0.3757961721451419	0.9999999999999999
lncrna.ncrna::mitranscriptome::G060637::G060637	2305	1.53485619929616e-05	2	0.3255919914186532	0.9504450695330242	2	2	0.3255919914186532	0.9999999995775228	2.0	2.0	11.056999999999999	1.723232486286741e-05	0.37699115857627064	0.9999999999999999
lncrna.ncrna::mitranscriptome::G090219::G090219	3439	1.8997729374172067e-05	2	0.6345767092811047	0.9544900489436935	2	2	0.6345767092811047	0.9999999995775228	2.0	2.0	19.555	1.2060279332009242e-05	0.39730938487919076	0.9999999999999999
lncrna.ncrna::mitranscriptome::G055248::G055248	1142	1.3794974805233499e-05	2	0.0962898499961654	0.8830484989732905	2	2	0.0962898499961654	0.9999999995775228	2.0	2.0	4.489	3.814914390307617e-05	0.421110259581945	0.9999999999999999
lncrna.ncrna::mitranscriptome::G047014::G047014	1950	1.6779135142063836e-05	2	0.2935452194307654	0.9504450695330242	2	2	0.2935452194307654	0.9999999995775228	2.0	2.0	9.0425	2.303533564947056e-05	0.4362430212821123	0.9999999999999999
lncrna.ncrna::mitranscriptome::G006782::G006782	1744	1.1841683096159812e-05	2	0.14940405905761325	0.9340599344002204	2	2	0.14940405905761325	0.9999999995775228	2.0	2.0	4.922	2.9866567663527575e-05	0.5125985681656177	0.9999999999999999
lncrna.ncrna::mitranscriptome::G019059::G019059	1526	1.5293293702177068e-05	2	0.18051604367247515	0.9340599344002204	2	2	0.18051604367247515	0.9999999995775228	2.0	2.0	5.512499999999999	3.4440219987938546e-05	0.5173474825362534	0.9999999999999999
lncrna.ncrna::mitranscriptome::G053447::G053447	5149	1.0598014356096528e-05	2	0.5373972490913255	0.9504450695330242	2	2	0.5373972490913255	0.9999999995775228	2.0	2.0	12.866000000000001	1.0225732948647606e-05	0.5183192436207441	0.9999999999999999
lncrna.ncrna::mitranscriptome::G011736::G011736	4774	1.152845668633146e-05	2	0.5419720057221971	0.9504450695330242	2	2	0.5419720057221971	0.9999999995775228	2.0	2.0	12.827499999999999	1.1156876844821911e-05	0.5244536088789822	0.9999999999999999
lncrna.ncrna::gencode::SYN2::ENSG00000157152.12	5264	1.014714764308527e-05	2	0.5259687743444177	0.9504450695330242	2	2	0.5259687743444177	0.9999999995775228	2.0	2.0	12.43	1.0134126966906091e-05	0.5252843440388846	0.9999999999999999
lncrna.ncrna::mitranscriptome::G059224::G059224	2547	1.3900735162077598e-05	3	0.11372594304959044	0.8830484989732905	2	2	0.32591244280717646	0.9999999995775228	3.0	3.0	8.135666666666667	2.121085196936814e-05	0.5320264132694577	0.9999999999999999
lncrna.ncrna::mitranscriptome::G084491::G084491	5155	1.4502113857808989e-05	2	0.7058711037635181	0.9884323822771356	2	2	0.7058711037635181	0.9999999995775228	2.0	2.0	17.065	1.0549661092091043e-05	0.5355723124869415	0.9999999999999999
lncrna.ncrna::mitranscriptome::G078074::G078074	3284	9.974465454594819e-06	3	0.09577706229787829	0.8830484989732905	2	2	0.2939908834374188	0.9999999995775228	3.0	3.0	7.43	1.6665344936287053e-05	0.5389647960798348	0.9999999999999999
lncrna.ncrna::mitranscriptome::G031167::G031167	2885	1.3688947292493576e-05	2	0.37433082932873835	0.9504450695330242	2	2	0.37433082932873835	0.9999999995775228	2.0	2.0	8.9265	1.9037167550146176e-05	0.5408546188403084	0.9999999999999999
lncrna.ncrna::mitranscriptome::G047485::G047485	6711	1.2091764448915168e-05	3	0.5009420810888586	0.9504450695330242	3	3	0.5009420810888586	0.9999999995775228	3.0	3.0	11.395666666666665	1.317235514584977e-05	0.5580046867027872	0.9999999999999999
lncrna.ncrna::gencode::RP11-319E16.1::ENSG00000256115.1	1387	1.2304835526970108e-05	2	0.10993937133009317	0.8830484989732905	2	2	0.10993937133009317	0.9999999995775228	2.0	2.0	3.7304999999999997	4.094701607655362e-05	0.5588754796423142	0.9999999999999999
lncrna.ncrna::gencode::CASC7::ENSG00000259758.1	9346	1.119895137330485e-05	4	0.4534008535252162	0.9504450695330242	4	4	0.4534008535252162	0.9999999995775228	4.0	4.0	10.596	1.3120455105301536e-05	0.5755788756341653	0.9999999999999999
lncrna.ncrna::mitranscriptome::G036067::G036067	4965	1.0521753551855192e-05	2	0.5141527315267502	0.9504450695330242	2	2	0.5141527315267502	0.9999999995775228	2.0	2.0	10.9965	1.1878104367790474e-05	0.5792289324117039	0.9999999999999999
lncrna.ncrna::gencode::AC074391.1::ENSG00000204929.7	3652	1.1000185574782952e-05	2	0.3822546861004073	0.9504450695330242	2	2	0.3822546861004073	0.9999999995775228	2.0	2.0	8.316500000000001	1.641999082963197e-05	0.5882473101722698	0.9999999999999999
lncrna.ncrna::mitranscriptome::G011735::G011735	6442	9.914847047040878e-06	2	0.6223773783645281	0.9504450695330242	2	2	0.6223773783645281	0.9999999995775228	2.0	2.0	12.827499999999999	9.595276319182835e-06	0.604666667968857	0.9999999999999999
lncrna.ncrna::mitranscriptome::G070099::G070099	6545	1.2639086542837204e-05	3	0.5136610473633597	0.9504450695330242	3	3	0.5136610473633597	0.9999999995775228	3.0	3.0	10.623	1.4770051049337118e-05	0.6180300970777775	0.9999999999999999
lncrna.ncrna::gencode::CTD-3006G17.2::ENSG00000258932.1	1654	1.673226097874002e-05	2	0.2323802112864564	0.9340599344002204	2	2	0.2323802112864564	0.9999999995775228	2.0	2.0	5.246	3.9594953183973985e-05	0.6358701304339904	0.9999999999999999
lncrna.ncrna::mitranscriptome::G081195::G081195	4240	1.3377322969198566e-05	2	0.5581723825380345	0.9504450695330242	2	2	0.5581723825380345	0.9999999995775228	2.0	2.0	10.6895	1.5535502708805786e-05	0.6389818362294635	0.9999999999999999
lncrna.ncrna::mitranscriptome::G079824::G079824	2716	9.45397605556681e-06	2	0.20831630780027358	0.9340599344002204	2	2	0.20831630780027358	0.9999999995775228	2.0	2.0	4.7715000000000005	2.4596485686389845e-05	0.6465373244535713	0.9999999999999999
lncrna.ncrna::mitranscriptome::G081205::G081205	2764	1.3927124658636113e-05	3	0.13610708797094312	0.9340599344002204	2	2	0.36262733495731386	0.9999999995775228	3.0	3.0	7.115666666666666	2.429737506935986e-05	0.6493679978339759	0.9999999999999999
lncrna.ncrna::gencode::RMST::ENSG00000255794.2	5054	1.3864163824701783e-05	3	0.4072190113447576	0.9504450695330242	2	2	0.6719727621082594	0.9999999995775228	3.0	3.0	12.282666666666666	1.4012463872777832e-05	0.6775970423164173	0.9999999999999999
lncrna.ncrna::mitranscriptome::G081564::G081564	5734	1.624658344841081e-05	2	0.8116675666675301	0.9884323822771356	2	2	0.8116675666675301	0.9999999995775228	2.0	2.0	15.91	1.2676675000486753e-05	0.6912790061289524	0.9999999999999999
lncrna.ncrna::mitranscriptome::G046688::G046688	3315	1.245098103409796e-05	2	0.39500547487125753	0.9504450695330242	2	2	0.39500547487125753	0.9999999995775228	2.0	2.0	6.957	2.2217493331370385e-05	0.698140308271138	0.9999999999999999
lncrna.ncrna::mitranscriptome::G056210::G056210	7079	1.0598778691991304e-05	3	0.4500033795238338	0.9504450695330242	3	3	0.4500033795238338	0.9999999995775228	3.0	3.0	8.500666666666666	1.5478052931689434e-05	0.700039797972192	0.9999999999999999
lncrna.ncrna::gencode::CTD-2366F13.1::ENSG00000247796.2	2861	1.225831695418572e-05	2	0.32190435975977805	0.9504450695330242	2	2	0.32190435975977805	0.9999999995775228	2.0	2.0	5.861	2.5964060669699578e-05	0.7025753230739991	0.9999999999999999
lncrna.ncrna::mitranscriptome::G011898::G011898	3826	1.4875125223396123e-05	3	0.29037165856047703	0.9504450695330242	3	3	0.29037165856047703	0.9999999995775228	3.0	3.0	6.308	2.9274024774809867e-05	0.7139070762233284	0.9999999999999999
lncrna.ncrna::mitranscriptome::G050123::G050123	4719	9.298594632622516e-06	2	0.42463741628973617	0.9504450695330242	2	2	0.42463741628973617	0.9999999995775228	2.0	2.0	7.0280000000000005	1.6424760771073926e-05	0.724357770126421	0.9999999999999999
lncrna.ncrna::gencode::RP11-175K6.1::ENSG00000245812.2	3197	1.2431926503280805e-05	2	0.377274962586004	0.9504450695330242	2	2	0.377274962586004	0.9999999995775228	2.0	2.0	6.314500000000001	2.4440661526336696e-05	0.7284422449446646	0.9999999999999999
lncrna.ncrna::mitranscriptome::G043952::G043952	6948	1.4034777503830847e-05	2	0.8311277199857818	0.9884323822771356	2	2	0.8311277199857818	0.9999999995775228	2.0	2.0	15.39	1.1320885618676498e-05	0.7317849902806863	0.9999999999999999
lncrna.ncrna::mitranscriptome::G007241::G007241	3330	1.1859126380412724e-05	2	0.3743106120356504	0.9504450695330242	2	2	0.3743106120356504	0.9999999995775228	2.0	2.0	6.2125	2.369735015577667e-05	0.7334098859359495	0.9999999999999999
lncrna.ncrna::mitranscriptome::G053300::G053300	2114	1.0972962507794113e-05	3	0.042589701788841125	0.717916702427672	3	3	0.042589701788841125	0.9999999995775228	3.0	3.0	2.4436666666666667	5.574365238843876e-05	0.7451524608285651	0.9999999999999999
lncrna.ncrna::gencode::GUSBP5::ENSG00000236296.3	2815	1.202242666632516e-05	3	0.10299379357106377	0.8830484989732905	2	2	0.30712603311726844	0.9999999995775228	3.0	3.0	5.173666666666667	2.8847433623560436e-05	0.7476520489579517	0.9999999999999999
lncrna.ncrna::mitranscriptome::G090085::G090085	2785	1.2494151310348576e-05	2	0.31860307591250886	0.9504450695330242	2	2	0.31860307591250886	0.9999999995775228	2.0	2.0	5.249	2.954906059711045e-05	0.7541801010495433	0.9999999999999999
lncrna.ncrna::mitranscriptome::G083976::G083976	5689	1.3415754858513324e-05	5	0.1113239945552699	0.8830484989732905	3	3	0.4609585916119334	0.9999999995775228	5.0	5.0	7.693600000000001	2.164706400142031e-05	0.7711218369094887	0.9999999999999999
lncrna.ncrna::mitranscriptome::G059334::G059334	4067	1.1024115870281287e-05	2	0.43531037157329877	0.9504450695330242	2	2	0.43531037157329877	0.9999999995775228	2.0	2.0	6.476999999999999	2.1129215009952978e-05	0.7749463397879365	0.9999999999999999
lncrna.ncrna::gencode::CTA-211A9.5::ENSG00000244625.1	2819	9.680253269081536e-06	2	0.22770955111658636	0.9340599344002204	2	2	0.22770955111658636	0.9999999995775228	2.0	2.0	3.941	3.049255216824198e-05	0.7750904162380992	0.9999999999999999
lncrna.ncrna::mitranscriptome::G017335::G017335	7602	1.3316184041201716e-05	4	0.4286092340533721	0.9504450695330242	3	3	0.6486593045605467	0.9999999995775228	4.0	4.0	9.957	1.6602166766765102e-05	0.7850818259308538	0.9999999999999999
lncrna.ncrna::mitranscriptome::G004060::G004060	3805	1.0354750047081514e-05	2	0.37324622483534536	0.9504450695330242	2	2	0.37324622483534536	0.9999999995775228	2.0	2.0	5.5335	2.3230213214416242e-05	0.7880950256176736	0.9999999999999999
