chr	start	end	element_ID	p-value
chr17	36981368	36981934	gc19_pc.promCore::gencode::CWC25::ENSG00000108296.7	0.0263157894736842
chr2	118845849	118846249	gc19_pc.promCore::gencode::INSIG2::ENSG00000125629.10	0.0434782608695652
chr7	100181404	100187451	gc19_pc.promCore::gencode::FBXO24::ENSG00000106336.8	0.0526315789473684
chr12	121124471	121132169	gc19_pc.promCore::gencode::MLEC::ENSG00000110917.3	0.0789473684210526
chr6	32121017	32122143	gc19_pc.promCore::gencode::PPT2::ENSG00000221988.8	0.0833333333333333
chr13	60737700	60738321	gc19_pc.promCore::gencode::DIAPH3::ENSG00000139734.13	0.0869565217391304
chr15	65759330	65810242	gc19_pc.promCore::gencode::DPP8::ENSG00000074603.14	0.105263157894737
chr18	22006379	22028302	gc19_pc.promCore::gencode::IMPACT::ENSG00000154059.5	0.105263157894737
chr5	111091748	111333361	gc19_pc.promCore::gencode::NREP::ENSG00000134986.9	0.142857142857143
chr7	142976849	142982249	gc19_pc.promCore::gencode::TMEM139::ENSG00000178826.6	0.153846153846154
chr16	30064210	30081098	gc19_pc.promCore::gencode::ALDOA::ENSG00000149925.12	0.162162162162162
chrX	1455308	1460858	gc19_pc.promCore::gencode::IL3RA::ENSG00000185291.6	0.166666666666667
chrY	1405308	1410858	gc19_pc.promCore::gencode::IL3RA::ENSGR0000185291.6	0.166666666666667
chr22	31795308	31795669	gc19_pc.promCore::gencode::DRG1::ENSG00000185721.7	0.179487179487179
chr4	140812141	141075538	gc19_pc.promCore::gencode::MAML3::ENSG00000196782.8	0.179487179487179
chr11	62600339	62609481	gc19_pc.promCore::gencode::WDR74::ENSG00000133316.11	0.205128205128205
chr12	29596969	29650819	gc19_pc.promCore::gencode::OVCH1::ENSG00000187950.4	0.227272727272727
chr12	6561037	6561414	gc19_pc.promCore::gencode::TAPBPL::ENSG00000139192.7	0.236842105263158
chr19	15490403	15490803	gc19_pc.promCore::gencode::AKAP8::ENSG00000105127.4	0.25
chr5	133706669	133707494	gc19_pc.promCore::gencode::UBE2B::ENSG00000119048.3	0.263157894736842
chr19	58038492	58038993	gc19_pc.promCore::gencode::ZNF549::ENSG00000121406.4	0.269230769230769
chr2	237993754	237994785	gc19_pc.promCore::gencode::COPS8::ENSG00000198612.6	0.291666666666667
chr12	53693269	53697151	gc19_pc.promCore::gencode::C12orf10::ENSG00000139637.9	0.297297297297297
chr17	7164324	7167502	gc19_pc.promCore::gencode::CLDN7::ENSG00000181885.14	0.324324324324324
chr17	79225872	79269547	gc19_pc.promCore::gencode::SLC38A10::ENSG00000157637.8	0.351351351351351
chr1	172627953	172628341	gc19_pc.promCore::gencode::FASLG::ENSG00000117560.6	0.352941176470588
chr5	176559879	176693787	gc19_pc.promCore::gencode::NSD1::ENSG00000165671.14	0.405405405405405
chr12	68696672	68726361	gc19_pc.promCore::gencode::MDM1::ENSG00000111554.10	0.409090909090909
chr16	66637576	66639623	gc19_pc.promCore::gencode::CMTM3::ENSG00000140931.15	0.41025641025641
chr15	63481467	63482004	gc19_pc.promCore::gencode::RAB8B::ENSG00000166128.8	0.41025641025641
chr11	60223024	60229847	gc19_pc.promCore::gencode::MS4A1::ENSG00000156738.13	0.428571428571429
chrX	48334348	48336579	gc19_pc.promCore::gencode::FTSJ1::ENSG00000068438.10	0.5
chr2	209118846	209130998	gc19_pc.promCore::gencode::IDH1::ENSG00000138413.9	0.5
chr1	109234744	109235162	gc19_pc.promCore::gencode::PRPF38B::ENSG00000134186.7	0.5
chr1	67895983	67896298	gc19_pc.promCore::gencode::SERBP1::ENSG00000142864.10	0.5
chr3	53189824	53199344	gc19_pc.promCore::gencode::PRKCD::ENSG00000163932.9	0.525
chr16	23313390	23359892	gc19_pc.promCore::gencode::SCNN1B::ENSG00000168447.6	0.526315789473684
chr9	93563868	93589969	gc19_pc.promCore::gencode::SYK::ENSG00000165025.10	0.529411764705882
chr1	150970446	150981051	gc19_pc.promCore::gencode::FAM63A::ENSG00000143409.11	0.538461538461538
chrX	48822965	48828176	gc19_pc.promCore::gencode::KCND1::ENSG00000102057.5	0.545454545454545
chr6	52916588	52958474	gc19_pc.promCore::gencode::FBXO9::ENSG00000112146.12	0.560975609756098
chr12	7022708	7030723	gc19_pc.promCore::gencode::ENO2::ENSG00000111674.4	0.586206896551724
chr19	45349231	45385794	gc19_pc.promCore::gencode::PVRL2::ENSG00000130202.5	0.621621621621622
chrX	9733917	9754537	gc19_pc.promCore::gencode::GPR143::ENSG00000101850.8	0.625
chr15	26874037	27184886	gc19_pc.promCore::gencode::GABRB3::ENSG00000166206.9	0.666666666666667
chr17	7017359	7019219	gc19_pc.promCore::gencode::ASGR2::ENSG00000161944.12	0.675675675675676
chr2	238393870	238449707	gc19_pc.promCore::gencode::MLPH::ENSG00000115648.9	0.682926829268293
chr5	32688975	32711882	gc19_pc.promCore::gencode::NPR3::ENSG00000113389.11	0.685714285714286
chr18	32073053	32455400	gc19_pc.promCore::gencode::DTNA::ENSG00000134769.17	0.7
