binID	Length	Mu	nMut	PvalRaw	QvalRaw	nSample	nMutSample	PvalM	QvalM	nCaddAll	nCadd	fscore	MuAdj	Pval	Qval
enhancers::chr17:26457000-26457800::NA::NA	142	9.187976160969621e-06	2	0.0014473992361530405	0.047512246993274	2	2	0.0014473992361530405	0.06378057643884305	2.0	2.0	13.735	9.297683339011043e-06	0.001481527165127296	0.3721266500315762
enhancers::chr2:123273800-123276200::NA::NA	664	1.3345539276924183e-05	5	4.3688426542037435e-05	0.011053171915135471	5	5	4.3688426542037435e-05	0.011053171915135471	5.0	5.0	4.8198	3.848492684550585e-05	0.004910279996590531	0.3721266500315762
enhancers::chr5:167613600-167614600::NA::NA	293	1.049848442808273e-05	2	0.007659925182613111	0.05024977765513788	2	2	0.007659925182613111	0.06532471095167924	2.0	2.0	15.73	9.276442152951162e-06	0.006040085762868475	0.3721266500315762
enhancers::chr18:12586400-12589800::NA::NA	260	1.1375496148569544e-05	2	0.007104675530834528	0.05024977765513788	2	2	0.007104675530834528	0.06532471095167924	2.0	2.0	11.96	1.3219734194729762e-05	0.009468582345183984	0.3721266500315762
enhancers::chr11:86724600-86725600::NA::NA	417	1.0732756952352183e-05	2	0.015600921942421539	0.06622345998142394	2	2	0.015600921942421539	0.0741702751791948	2.0	2.0	15.405000000000001	9.683517616406548e-06	0.012853864720390918	0.3721266500315762
enhancers::chr3:57612800-57614200::NA::NA	595	8.768622485717702e-06	2	0.020772725000776204	0.06622345998142394	2	2	0.020772725000776204	0.0741702751791948	2.0	2.0	17.535	6.950389730766482e-06	0.013445765594638195	0.3721266500315762
enhancers::chr2:158037000-158039200::NA::NA	336	1.0046600112196583e-05	2	0.009148615458480003	0.052604538886260016	2	2	0.009148615458480003	0.06613142031415545	2.0	2.0	11.16	1.2512338258012564e-05	0.013869340918071432	0.3721266500315762
enhancers::chr1:93594600-93595400::NA::NA	204	9.24051060465187e-06	2	0.0029732295906731757	0.047512246993274	2	2	0.0029732295906731757	0.06532471095167924	2.0	2.0	5.7385	2.2381085108313366e-05	0.016194950041097868	0.3721266500315762
enhancers::chr4:121630800-121631600::NA::NA	200	1.5623769965042668e-05	3	0.000341426854290432	0.04319049706773965	3	3	0.000341426854290432	0.04319049706773965	3.0	3.0	3.135	6.92678720076963e-05	0.021355658902518403	0.3721266500315762
enhancers::chr5:33049600-33051600::NA::NA	624	1.4913587054089334e-05	3	0.007444265900435346	0.05024977765513788	3	3	0.007444265900435346	0.06532471095167924	3.0	3.0	9.000666666666666	2.3029843692850998e-05	0.023467437036795703	0.3721266500315762
