binID	Length	Mu	nMut	PvalRaw	QvalRaw	nSample	nMutSample	PvalM	QvalM	nCaddAll	nCadd	fscore	MuAdj	Pval	Qval
lncrna.ncrna::gencode::LINC00176::ENSG00000196421.3	3893	7.405111591024433e-07	3	0.001276549946880211	0.08425229649409392	3	3	0.001276549946880211	0.08425229649409392	3.0	3.0	5.549666666666667	1.301326381712079e-06	0.006168097841567636	0.40709445754346396
lncrna.ncrna::mitranscriptome::G008782::G008782	866	3.933780867177501e-06	2	0.02558610982254922	0.5420278230720871	2	2	0.02558610982254922	0.5420278230720871	2.0	2.0	11.864	3.233706138718559e-06	0.01779033665565668	0.5870811096366704
lncrna.ncrna::mitranscriptome::G028994::G028994	1614	4.614027839543414e-06	2	0.10136940539018495	0.7195723571440215	2	2	0.10136940539018495	0.7195723571440215	2.0	2.0	19.775	2.2755440333060483e-06	0.029369811978789257	0.6461358635333636
lncrna.ncrna::gencode::RP11-1007O24.3::ENSG00000261423.1	1744	8.988140026589771e-07	2	0.005909382744118388	0.19500963055590678	2	2	0.005909382744118388	0.19500963055590678	2.0	2.0	3.0935	2.8336175570331367e-06	0.05011194875666711	0.8268471544850072
lncrna.ncrna::gencode::RP5-1198O20.4::ENSG00000230615.2	3710	3.39870228594902e-06	3	0.06415728776211184	0.5651075375128997	3	3	0.06415728776211184	0.5651075375128997	3.0	3.0	9.210666666666667	3.598682927204354e-06	0.07331859978212829	0.9579255870363852
lncrna.ncrna::mitranscriptome::G084276::G084276	1398	4.216171692699955e-06	2	0.06820635000174947	0.5651075375128997	2	2	0.06820635000174947	0.5651075375128997	2.0	2.0	8.4525	4.864683993436013e-06	0.08708414427603502	0.9579255870363852
lncrna.ncrna::mitranscriptome::G010760::G010760	7067	1.8376623510210053e-06	2	0.24036347323636492	0.9375936118030038	2	2	0.24036347323636492	0.9375936118030038	2.0	2.0	14.915	1.2016112494888525e-06	0.1256721192834544	0.9999999999999999
lncrna.ncrna::gencode::RP11-486B10.4::ENSG00000230638.3	2294	3.392616166603281e-06	2	0.10902611471879113	0.7195723571440215	2	2	0.10902611471879113	0.7195723571440215	2.0	2.0	5.3125	6.228124845518932e-06	0.27479305337427296	0.9999999999999999
lncrna.ncrna::gencode::MTHFD2P1::ENSG00000244681.1	2702	6.32054045617143e-06	4	0.03639524238693108	0.5420278230720871	4	4	0.03639524238693108	0.5420278230720871	4.0	4.0	4.285500000000001	1.4383820059822399e-05	0.30768090645391344	0.9999999999999999
lncrna.ncrna::gencode::RP11-30P6.6::ENSG00000234155.1	2512	4.677905629424185e-06	2	0.20785305012744779	0.9375936118030038	2	2	0.20785305012744779	0.9375936118030038	2.0	2.0	6.874999999999999	6.635906820241899e-06	0.33744404886159884	0.9999999999999999
lncrna.ncrna::mitranscriptome::G017367::G017367	3581	3.818765901666508e-06	2	0.25857600744162257	0.9375936118030038	2	2	0.25857600744162257	0.9375936118030038	2.0	2.0	7.836500000000001	4.752503260606179e-06	0.3465143258523736	0.9999999999999999
lncrna.ncrna::mitranscriptome::G068521::G068521	5116	3.6680020977151196e-06	2	0.3911760957554947	0.9929854738408712	2	2	0.3911760957554947	0.9929854738408712	2.0	2.0	10.657	3.3567278744702004e-06	0.35050785562568393	0.9999999999999999
lncrna.ncrna::gencode::FZD10-AS1::ENSG00000250208.2	5432	2.7257122897441473e-06	2	0.28851771240266283	0.9375936118030038	2	2	0.28851771240266283	0.9375936118030038	2.0	2.0	6.2435	4.257683962483546e-06	0.4958694674734055	0.9999999999999999
lncrna.ncrna::mitranscriptome::G086434::G086434	9728	3.2732274535632166e-06	2	0.6674411640835789	0.9999999377917695	2	2	0.6674411640835789	0.9999999377917695	2.0	2.0	12.4435	2.565400401358699e-06	0.5362247688247381	0.9999999999999999
lncrna.ncrna::mitranscriptome::G046301::G046301	4196	3.617126019072051e-06	2	0.2983252401191376	0.9375936118030038	2	2	0.2983252401191376	0.9375936118030038	2.0	2.0	5.771000000000001	6.112714198882787e-06	0.5509212522565563	0.9999999999999999
lncrna.ncrna::mitranscriptome::G046537::G046537	4731	4.555837446600326e-06	2	0.4593811107454446	0.9999999377917695	2	2	0.4593811107454446	0.9999999377917695	2.0	2.0	7.372	6.027044788069793e-06	0.6081516301366177	0.9999999999999999
lncrna.ncrna::gencode::TUSC7::ENSG00000243197.3	3280	4.597209641285987e-06	2	0.29572305657135767	0.9375936118030038	2	2	0.29572305657135767	0.9375936118030038	2.0	2.0	4.725	9.488859614359103e-06	0.6552878148336162	0.9999999999999999
lncrna.ncrna::mitranscriptome::G081564::G081564	5734	5.356803045313654e-06	2	0.6482362159184054	0.9999999377917695	2	2	0.6482362159184054	0.9999999377917695	2.0	2.0	9.456000000000001	5.524840450486683e-06	0.6647229665680607	0.9999999999999999
lncrna.ncrna::mitranscriptome::G031126::G031126	12787	1.8745706325432054e-06	3	0.2496155313807172	0.9375936118030038	3	3	0.2496155313807172	0.9375936118030038	3.0	3.0	4.875333333333333	3.7498942462477817e-06	0.6702580187559393	0.9999999999999999
lncrna.ncrna::mitranscriptome::G026989::G026989	5921	4.378454442116882e-06	2	0.5566813856118858	0.9999999377917695	2	2	0.5566813856118858	0.9999999377917695	2.0	2.0	7.804	5.471735552735798e-06	0.6766100269191917	0.9999999999999999
