chr	start	end	element_ID	pvalue
chr1	120457928	120612020	gc19_pc.cds::gencode::NOTCH2::ENSG00000134250.13	9.99990000099999e-06
chr7	117120148	117355913	gc19_pc.cds::gencode::CFTR::ENSG00000001626.10	0.00072992700729927
chr5	67522503	67593429	gc19_pc.cds::gencode::PIK3R1::ENSG00000145675.10	0.00108131487889273
chr3	178916613	178952152	gc19_pc.cds::gencode::PIK3CA::ENSG00000121879.3	0.00175131348511384
chr17	7565256	7579912	gc19_pc.cds::gencode::TP53::ENSG00000141510.11	0.001879981200188
chr17	39679994	39684499	gc19_pc.cds::gencode::KRT19::ENSG00000171345.9	0.00408065290446471
chr1	160259946	160312960	gc19_pc.cds::gencode::COPA::ENSG00000122218.10	0.00648989430743556
chr1	156278989	156337637	gc19_pc.cds::gencode::CCT3::ENSG00000163468.10	0.00675675675675676
chr9	33462179	33473840	gc19_pc.cds::gencode::NOL6::ENSG00000165271.12	0.00675675675675676
chr8	27455757	27472298	gc19_pc.cds::gencode::CLU::ENSG00000120885.15	0.0078740157480315
chr12	32832297	32896344	gc19_pc.cds::gencode::DNM1L::ENSG00000087470.13	0.00809716599190283
chr5	110560181	110820164	gc19_pc.cds::gencode::CAMK4::ENSG00000152495.6	0.0163453478625314
chr1	237205821	237995947	gc19_pc.cds::gencode::RYR2::ENSG00000198626.11	0.023869175055801
chr8	71025866	71128980	gc19_pc.cds::gencode::NCOA2::ENSG00000140396.8	0.0294117647058824
chr16	68771318	68867402	gc19_pc.cds::gencode::CDH1::ENSG00000039068.14	0.0322067945519966
chr7	24663286	24727233	gc19_pc.cds::gencode::MPP6::ENSG00000105926.11	0.0328947368421053
chr19	10597327	10610709	gc19_pc.cds::gencode::KEAP1::ENSG00000079999.9	0.0338983050847458
chr1	111770351	111785844	gc19_pc.cds::gencode::CHI3L2::ENSG00000064886.9	0.0414507772020725
chr1	156905791	157014122	gc19_pc.cds::gencode::ARHGEF11::ENSG00000132694.14	0.0438898953889311
chr1	236141166	236228379	gc19_pc.cds::gencode::NID1::ENSG00000116962.10	0.0465069225655404
chr1	78470794	78481931	gc19_pc.cds::gencode::DNAJB4::ENSG00000162616.8	0.0607287449392713
chr14	105235922	105258980	gc19_pc.cds::gencode::AKT1::ENSG00000142208.11	0.0608108108108108
chr1	1322610	1334686	gc19_pc.cds::gencode::CCNL2::ENSG00000221978.7	0.0608108108108108
chr20	35381190	35399861	gc19_pc.cds::gencode::DSN1::ENSG00000149636.11	0.0608108108108108
chr17	78109288	78120760	gc19_pc.cds::gencode::EIF4A3::ENSG00000141543.5	0.0608108108108108
chr7	44663942	44747598	gc19_pc.cds::gencode::OGDH::ENSG00000105953.10	0.0608108108108108
chr14	23389889	23398570	gc19_pc.cds::gencode::PRMT5::ENSG00000100462.11	0.0608108108108108
chr7	99654629	99662274	gc19_pc.cds::gencode::ZSCAN21::ENSG00000166529.10	0.0608108108108108
chr5	78293904	78365443	gc19_pc.cds::gencode::DMGDH::ENSG00000132837.10	0.0612244897959184
chr20	44995998	45023121	gc19_pc.cds::gencode::ELMO2::ENSG00000062598.13	0.064
chr20	57570703	57582183	gc19_pc.cds::gencode::CTSZ::ENSG00000101160.9	0.0642201834862385
chr1	108115952	108507491	gc19_pc.cds::gencode::VAV3::ENSG00000134215.11	0.0655737704918033
chr14	51324806	51411121	gc19_pc.cds::gencode::PYGL::ENSG00000100504.12	0.0666666666666667
chr7	150873198	150884809	gc19_pc.cds::gencode::ASB10::ENSG00000146926.6	0.0669144981412639
chr3	195591051	195623097	gc19_pc.cds::gencode::TNK2::ENSG00000061938.12	0.0670926517571885
chr2	216226277	216300525	gc19_pc.cds::gencode::FN1::ENSG00000115414.14	0.0676156583629893
chr11	2426166	2444266	gc19_pc.cds::gencode::TRPM5::ENSG00000070985.9	0.0682730923694779
chr2	198436731	198540182	gc19_pc.cds::gencode::RFTN2::ENSG00000162944.6	0.0697674418604651
chr17	79826254	79827806	gc19_pc.cds::gencode::ARHGDIA::ENSG00000141522.7	0.0699300699300699
chr17	37618324	37687569	gc19_pc.cds::gencode::CDK12::ENSG00000167258.9	0.0699300699300699
chr14	55509759	55511082	gc19_pc.cds::gencode::SOCS4::ENSG00000180008.8	0.0699300699300699
chr17	40441429	40462687	gc19_pc.cds::gencode::STAT5A::ENSG00000126561.12	0.0699300699300699
chr17	40353755	40384145	gc19_pc.cds::gencode::STAT5B::ENSG00000173757.5	0.0699300699300699
chr22	36678713	36745281	gc19_pc.cds::gencode::MYH9::ENSG00000100345.16	0.0719692803071969
chr6	110421724	110448804	gc19_pc.cds::gencode::WASF1::ENSG00000112290.8	0.0738399655221951
chr20	47538426	47649736	gc19_pc.cds::gencode::ARFGEF2::ENSG00000124198.8	0.0746753246753247
chr2	109336062	109400357	gc19_pc.cds::gencode::RANBP2::ENSG00000153201.11	0.0748898678414097
chr4	48069653	48136187	gc19_pc.cds::gencode::TXK::ENSG00000074966.6	0.0769230769230769
chr17	19186432	19238761	gc19_pc.cds::gencode::EPN2::ENSG00000072134.11	0.0776699029126214
chr1	113244082	113248261	gc19_pc.cds::gencode::RHOC::ENSG00000155366.12	0.0781758957654723
chr22	22311485	22330081	gc19_pc.cds::gencode::TOP3B::ENSG00000100038.15	0.078740157480315
chr10	123239094	123353331	gc19_pc.cds::gencode::FGFR2::ENSG00000066468.16	0.0789473684210526
chr2	203745582	203776199	gc19_pc.cds::gencode::WDR12::ENSG00000138442.5	0.0789473684210526
chr9	35792405	35809661	gc19_pc.cds::gencode::NPR2::ENSG00000159899.10	0.0844155844155844
chr12	112843027	112846460	gc19_pc.cds::gencode::RPL6::ENSG00000089009.11	0.0847457627118644
chr7	92861780	92987748	gc19_pc.cds::gencode::CCDC132::ENSG00000004766.11	0.0851063829787234
chr9	94171627	94173016	gc19_pc.cds::gencode::NFIL3::ENSG00000165030.3	0.0859375
chr11	77034181	77103565	gc19_pc.cds::gencode::PAK1::ENSG00000149269.5	0.0878378378378378
chr5	130762958	130970723	gc19_pc.cds::gencode::RAPGEF6::ENSG00000158987.15	0.0882352941176471
chr3	38738839	38835501	gc19_pc.cds::gencode::SCN10A::ENSG00000185313.6	0.0887096774193548
chr12	50898923	51138622	gc19_pc.cds::gencode::DIP2B::ENSG00000066084.8	0.0909090909090909
chr12	19282733	19522721	gc19_pc.cds::gencode::PLEKHA5::ENSG00000052126.10	0.0909090909090909
chr13	27845081	27847631	gc19_pc.cds::gencode::RASL11A::ENSG00000122035.6	0.0909090909090909
chr14	31091544	31204815	gc19_pc.cds::gencode::SCFD1::ENSG00000092108.16	0.0909090909090909
chr2	191894565	192012929	gc19_pc.cds::gencode::STAT4::ENSG00000138378.13	0.0909090909090909
chr1	145592689	145609336	gc19_pc.cds::gencode::POLR3C::ENSG00000186141.4	0.0915492957746479
