binID	Length	Mu	nMut	PvalRaw	QvalRaw	nSample	nMutSample	PvalM	QvalM	nCaddAll	nCadd	fscore	MuAdj	Pval	Qval
enhancers::chr11:35232600-35239800::NA::NA	318	1.1315052381208696e-05	2	0.005079406137751292	0.03139832402316061	2	2	0.005079406137751292	0.03532311452605569	2.0	2.0	7.0405	1.150180177211793e-05	0.005242487867635015	0.08711480480939023
enhancers::chr4:175378400-175379400::NA::NA	535	1.3205956874966506e-05	2	0.018330811187647168	0.044618026193090084	2	2	0.018330811187647168	0.04709680542603953	2.0	2.0	13.815000000000001	6.841192295843127e-06	0.005249507568802501	0.08711480480939023
enhancers::chr6:18056200-18057400::NA::NA	765	1.4884889707038683e-05	3	0.004694217109977543	0.03139832402316061	3	3	0.004694217109977543	0.03532311452605569	3.0	3.0	6.294999999999999	1.6922428938262708e-05	0.006672061558082426	0.08711480480939023
enhancers::chr11:26593600-26595800::NA::NA	909	1.131630700739516e-05	3	0.0035430781169416684	0.03139832402316061	3	3	0.0035430781169416684	0.03532311452605569	3.0	3.0	5.351666666666667	1.5133120092150409e-05	0.007868117535031461	0.08711480480939023
enhancers::chr10:117975200-117976200::NA::NA	654	1.2398133788795312e-05	2	0.023670693734642777	0.0477436284611001	2	2	0.023670693734642777	0.0477436284611001	2.0	2.0	11.523499999999999	7.699893616199195e-06	0.009679422756598914	0.08711480480939023
enhancers::chr14:85903200-85906000::NA::NA	285	1.2411111020405536e-05	2	0.0049142774031356315	0.03139832402316061	2	2	0.0049142774031356315	0.03532311452605569	2.0	2.0	4.016	2.2117180836587724e-05	0.014803201585958423	0.09445615140561249
enhancers::chr5:67373400-67374000::NA::NA	374	1.0243348281954278e-05	2	0.005732471040678642	0.03139832402316061	2	2	0.005732471040678642	0.03532311452605569	2.0	2.0	3.6390000000000002	2.0145251621176746e-05	0.020660749909897656	0.09445615140561249
enhancers::chr9:81637000-81639200::NA::NA	918	1.369032107738871e-05	3	0.006154112068056183	0.03139832402316061	3	3	0.006154112068056183	0.03532311452605569	3.0	3.0	4.535	2.1604745502656622e-05	0.020731279973230547	0.09445615140561249
enhancers::chr11:10071200-10071800::NA::NA	600	1.0738818017520567e-05	2	0.015427192037596791	0.044618026193090084	2	2	0.015427192037596791	0.04709680542603953	2.0	2.0	5.86	1.3115102202387277e-05	0.022395309814876373	0.09445615140561249
enhancers::chr9:123815400-123816200::NA::NA	317	1.1563291522506518e-05	2	0.005264611206763589	0.03139832402316061	2	2	0.005264611206763589	0.03532311452605569	2.0	2.0	3.306999999999999	2.502419366166387e-05	0.022730573036635907	0.09445615140561249
enhancers::chr2:182709200-182711400::NA::NA	1130	1.218273310269416e-05	2	0.061344124413651675	0.07276312146037171	2	2	0.061344124413651675	0.07276312146037171	2.0	2.0	12.3155	7.079547399297739e-06	0.023089281454705273	0.09445615140561249
enhancers::chr1:109045200-109046200::NA::NA	357	1.125164362752876e-05	2	0.006279664804632123	0.03139832402316061	2	2	0.006279664804632123	0.03532311452605569	2.0	2.0	3.214	2.505433663632081e-05	0.028350471681976217	0.10386836133708297
enhancers::chr1:72105600-72106200::NA::NA	521	1.2593485878967839e-05	2	0.015961059047205708	0.044618026193090084	2	2	0.015961059047205708	0.04709680542603953	2.0	2.0	5.0184999999999995	1.795911136594782e-05	0.030784250785910003	0.10386836133708297
enhancers::chr16:24830400-24834600::NA::NA	1298	6.323076304738085e-06	2	0.024207099932690254	0.0477436284611001	2	2	0.024207099932690254	0.0477436284611001	2.0	2.0	5.8870000000000005	7.686828637696458e-06	0.034597951498396826	0.10386836133708297
enhancers::chr11:27693800-27695800::NA::NA	630	1.398735842023797e-05	3	0.0022988726195912993	0.03139832402316061	2	2	0.027587343562510788	0.0477436284611001	3.0	3.0	6.282333333333334	1.5934100069950187e-05	0.0349812692794098	0.10386836133708297
enhancers::chr8:101758800-101760200::NA::NA	726	1.0903083767631746e-05	2	0.022641373571336863	0.0477436284611001	2	2	0.022641373571336863	0.0477436284611001	2.0	2.0	5.4765	1.4248169378217862e-05	0.03693097291985172	0.10386836133708297
enhancers::chr2:36881000-36885600::NA::NA	1115	1.1709464828178387e-05	2	0.05591353707073928	0.0706305905660632	2	2	0.05591353707073928	0.0706305905660632	2.0	2.0	8.5	9.858956110096971e-06	0.04120153807634068	0.10906289490796063
enhancers::chr2:200904400-200906200::NA::NA	1109	1.0496125370605913e-05	2	0.045639264919665565	0.0641802162932797	2	2	0.045639264919665565	0.0641802162932797	2.0	2.0	7.331	1.0246572151113808e-05	0.043721540363919294	0.10930385090979823
enhancers::chr13:81966800-81969800::NA::NA	888	1.5676858376769136e-05	2	0.0625483122926912	0.07276312146037171	2	2	0.0625483122926912	0.07276312146037171	2.0	2.0	8.126000000000001	1.380686344388674e-05	0.050046931630623105	0.11407433660582736
